query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7300747"", ""7672368"", ""7622515"", ""7217353"", ""7272695"", ""7659466"", ""1335588"", ""7968171"", ""7408024""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""1878861"", ""7396043"", ""7292184"", ""7105678"", ""7957524"", ""7531201"", ""7246021""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""1033337"", ""7452987"", ""7112464"", ""1163812"", ""7959219"", ""7579869"", ""7801066"", ""1623640"", ""7795418""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""4191529"", ""7704366"", ""7146364"", ""4805879"", ""7308077"", ""7679312"", ""7397248"", ""7903969"", ""541662""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""5584747"", ""764872"", ""7531239"", ""7966808"", ""7641338"", ""7205952"", ""7067901"", ""7966805"", ""7966804"", ""7452653""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7824464"", ""7636646"", ""7623844"", ""7239171"", ""1757350"", ""7125398"", ""270380"", ""7209022"", ""7327050"", ""7805080""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""991142"", ""7438345"", ""7562831"", ""7187280"", ""7108043"", ""7131335"", ""1455862""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""67588"", ""8003099"", ""7466996"", ""7178601"", ""7435832"", ""7082559"", ""7626410"", ""7626411"", ""7943543""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""7491456"", ""7674848"", ""3349239"", ""7777896"", ""7240603"", ""6876770""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7880839"", ""7124323"", ""7290260"", ""7290399"", ""7451471"", ""7915665"", ""7764195"", ""7642657""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7621537"", ""7150228"", ""7717805"", ""7333096"", ""7929939"", ""7570912"", ""7855122"", ""7825218"", ""7971951""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""1192808"", ""7861394"", ""7358221"", ""7864191"", ""7079907"", ""7671386"", ""1192810"", ""7601153""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""7433792"", ""7992043"", ""7623591"", ""7695522"", ""7196833"", ""7104245"", ""7833470"", ""7728289"", ""6093010""]",
