query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate,ret_top1_lang
1000012,zh-en,weston在哪里,"[""7942175|en"", ""7942175|es"", ""7942175|zh""]","[""7942175|zh"", ""7509598|zh"", ""7495093|zh"", ""7832965|zh"", ""565636|zh"", ""7089181|zh"", ""3999090|zh"", ""7946605|zh"", ""7090449|zh"", ""7447340|zh""]",0.5,zh
1000030,zh-en,微管形成在哪里occur,"[""7264233|en"", ""7264233|es"", ""7264233|zh""]","[""7264233|zh"", ""7554389|zh"", ""772912|zh"", ""7870036|zh"", ""7224101|zh"", ""7257787|zh"", ""7570136|zh"", ""7398013|zh"", ""7460915|zh"", ""7654668|zh""]",0.19999999999999996,zh
1000061,zh-en,define ：拖延,"[""7264199|en"", ""7264199|es"", ""7264199|zh""]","[""7264199|zh"", ""7993251|zh"", ""7610318|zh"", ""7134646|zh"", ""7322809|zh"", ""4305606|zh"", ""7659370|zh"", ""7750059|zh"", ""7940839|zh"", ""3524076|zh""]",0.5,zh
1000185,zh-en,植物病理学家在哪里works,"[""7264001|en"", ""7264001|es"", ""7264001|zh""]","[""7264001|zh"", ""7341497|zh"", ""7592671|zh"", ""7462471|zh"", ""7269623|zh"", ""7266960|zh"", ""7230718|zh"", ""7448849|zh"", ""7976839|zh"", ""7094853|zh""]",0.19999999999999996,zh
1000202,zh-en,驼鹿live在哪里,"[""4526068|en"", ""4526068|es"", ""4526068|zh""]","[""7234247|zh"", ""7097131|zh"", ""4526068|zh"", ""7728323|zh"", ""7215878|zh"", ""7913785|zh"", ""7509598|zh"", ""7088691|zh"", ""7097135|zh"", ""7603149|zh""]",0.25,zh
1000232,zh-en,鳗鲡在哪里shelter ？,"[""7263962|en"", ""7263962|es"", ""7263962|zh""]","[""7661475|zh"", ""7769895|zh"", ""7224348|zh"", ""7723876|zh"", ""7287774|zh"", ""7114297|zh"", ""7335283|zh"", ""7224343|zh"", ""7638397|zh"", ""7889359|zh""]",0.25,zh
1000246,zh-en,你在哪里place海湾照明,"[""7263923|en"", ""7263923|es"", ""7263923|zh""]","[""7263923|zh"", ""7944569|zh"", ""7780009|zh"", ""7100726|zh"", ""7837162|zh"", ""7078672|zh"", ""7095246|zh"", ""7871055|zh"", ""7526830|zh"", ""977611|zh""]",0.16666666666666663,zh
1000270,zh-en,define ：海洋,"[""7263764|en"", ""7263764|es"", ""7263764|zh""]","[""7263764|zh"", ""7767920|zh"", ""7874712|zh"", ""7993251|zh"", ""7416742|zh"", ""7487314|zh"", ""7792955|zh"", ""7199352|zh"", ""7184269|zh"", ""7959617|zh""]",0.5,zh
1000334,zh-en,定义： logos,"[""7263655|en"", ""7263655|es"", ""7263655|zh""]","[""7630225|zh"", ""7266627|zh"", ""7044609|zh"", ""7993251|zh"", ""7199557|zh"", ""7938563|zh"", ""7634475|zh"", ""7993599|zh"", ""1632809|zh"", ""7349276|zh""]",0.5,zh
1000373,zh-en,wovoka埋在哪里,"[""7732653|en"", ""7732653|es"", ""7732653|zh""]","[""7732653|zh"", ""7620721|zh"", ""7896317|zh"", ""7268317|zh"", ""7516558|zh"", ""7119703|zh"", ""3003239|zh"", ""7946605|zh"", ""7800377|zh"", ""7945986|zh""]",0.5,zh
