query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate,ret_top1_lang
1000012,zh,佛罗里达州韦斯顿在哪里,"[""7942175|en"", ""7942175|es"", ""7942175|zh""]","[""7942175|zh"", ""7942175|es"", ""7942175|en"", ""7832965|zh"", ""7609681|zh"", ""3999090|zh"", ""7609681|en"", ""7427403|zh"", ""3999090|es"", ""7606349|es""]",,zh
1000030,zh,微管形成在哪里发生,"[""7264233|en"", ""7264233|es"", ""7264233|zh""]","[""7264233|zh"", ""7731956|zh"", ""7731956|es"", ""7259658|zh"", ""7431358|zh"", ""7201773|zh"", ""4099943|zh"", ""7731956|en"", ""7943897|zh"", ""7894792|zh""]",,zh
1000061,zh,定义：拖延,"[""7264199|en"", ""7264199|es"", ""7264199|zh""]","[""7264199|zh"", ""7264199|es"", ""7264199|en"", ""7207135|zh"", ""4250974|zh"", ""7207135|en"", ""4250974|es"", ""7134646|zh"", ""7750059|zh"", ""7207135|es""]",,zh
1000185,zh,植物病理学家在哪里工作,"[""7264001|en"", ""7264001|es"", ""7264001|zh""]","[""7264001|zh"", ""7264001|en"", ""7341497|zh"", ""7264001|es"", ""7592671|zh"", ""7341792|zh"", ""7266960|zh"", ""7219019|zh"", ""7592671|en"", ""7224094|zh""]",,zh
1000202,zh,驼鹿住在哪里,"[""4526068|en"", ""4526068|es"", ""4526068|zh""]","[""7234247|zh"", ""4526068|zh"", ""7097131|zh"", ""7097135|zh"", ""7845492|zh"", ""7845492|en"", ""7097131|es"", ""7234247|en"", ""7845382|zh"", ""7845382|es""]",,zh
1000232,zh,鳗鲡在哪里栖息？,"[""7263962|en"", ""7263962|es"", ""7263962|zh""]","[""7263962|zh"", ""7376324|en"", ""7263962|es"", ""7264405|es"", ""7376324|zh"", ""7376324|es"", ""7263962|en"", ""7223303|zh"", ""7845492|en"", ""7830872|es""]",,zh
1000246,zh,你在哪里放置海湾照明,"[""7263923|en"", ""7263923|es"", ""7263923|zh""]","[""977611|zh"", ""7263923|zh"", ""7081897|zh"", ""7263923|en"", ""7263923|es"", ""7081897|es"", ""977611|es"", ""7837162|zh"", ""7150209|zh"", ""7081897|en""]",,zh
1000270,zh,定义：海洋,"[""7263764|en"", ""7263764|es"", ""7263764|zh""]","[""7263764|zh"", ""7767920|zh"", ""7263764|en"", ""7767920|en"", ""7263764|es"", ""7487314|zh"", ""7487314|es"", ""7767920|es"", ""7487314|en"", ""7815670|es""]",,zh
1000334,zh,定义：标志,"[""7263655|en"", ""7263655|es"", ""7263655|zh""]","[""7334427|es"", ""7334427|zh"", ""7558949|zh"", ""428683|zh"", ""7334427|en"", ""795960|zh"", ""7558949|en"", ""7887243|zh"", ""7416894|zh"", ""7266627|zh""]",,es
1000373,zh,沃沃卡埋在哪里,"[""7732653|en"", ""7732653|es"", ""7732653|zh""]","[""7732653|zh"", ""7732653|en"", ""7458213|zh"", ""7732653|es"", ""7872201|es"", ""7763592|zh"", ""7217365|es"", ""7516558|zh"", ""7117874|zh"", ""7923213|zh""]",,zh
1000422,zh,纽约州怀俄明县在哪里,"[""7930357|en"", ""7930357|es"", ""7930357|zh""]","[""7930357|zh"", ""7107732|zh"", ""7930357|en"", ""2107598|en"", ""7116939|zh"", ""7930357|es"", ""7775781|zh"", ""2107598|zh"", ""7893851|en"", ""7116939|en""]",,zh
1000459,zh,黑寡妇蜘蛛生活在美国的什么地方？,"[""7263355|en"", ""7263355|es"", ""7263355|zh"", ""7263359|en"", ""7263359|es"", ""7263359|zh""]","[""7263359|zh"", ""7263355|zh"", ""7578709|zh"", ""7263359|en"", ""7263355|en"", ""7263355|es"", ""7263359|es"", ""7264405|zh"", ""7264405|en"", ""7523861|en""]",,zh
1000462,zh,有氧运动在哪里进行,"[""7263327|en"", ""7263327|es"", ""7263327|zh""]","[""1520189|zh"", ""7119390|zh"", ""7698731|zh"", ""7263327|en"", ""7127625|zh"", ""7653499|en"", ""7314821|zh"", ""7263327|zh"", ""1520189|en"", ""7406660|es""]",,zh
1000495,zh,加拿大黄刀镇在哪里,"[""7734091|en"", ""7734091|es"", ""7734091|zh""]","[""7268317|zh"", ""7734091|en"", ""7077970|es"", ""7734091|zh"", ""7945890|en"", ""7734091|es"", ""7268317|es"", ""7945890|es"", ""7746801|zh"", ""7077970|en""]",,zh
1000528,zh,定义：臀部,"[""7263134|en"", ""7263134|es"", ""7263134|zh""]","[""7263134|zh"", ""7263134|en"", ""4969080|es"", ""7459670|es"", ""7459670|zh"", ""7631642|es"", ""7263134|es"", ""7984054|zh"", ""7813171|zh"", ""7226212|en""]",,zh
1000555,zh,莱克斯之战在哪里,"[""7263043|en"", ""7263043|es"", ""7263043|zh""]","[""7263043|zh"", ""7263043|en"", ""7263043|es"", ""7958213|zh"", ""7934636|zh"", ""7934636|en"", ""7958213|en"", ""7958213|es"", ""7907487|zh"", ""7927019|zh""]",,zh
1000564,zh,定义：farfetch,"[""7262976|en"", ""7262976|es"", ""7262976|zh""]","[""7262976|zh"", ""7262976|es"", ""7262976|en"", ""7240406|en"", ""7240406|es"", ""7261129|zh"", ""7176091|zh"", ""7134119|zh"", ""7723320|en"", ""7992939|zh""]",,zh
1000568,zh,马拉拉在哪里发表她的诺贝尔奖演讲,"[""7262932|en"", ""7262932|es"", ""7262932|zh""]","[""7262932|zh"", ""7262932|en"", ""7262932|es"", ""7259638|zh"", ""7272917|es"", ""7259638|en"", ""7272917|zh"", ""7259638|es"", ""7272917|en"", ""2252799|zh""]",,zh
1000585,zh,颌骨发生在哪里,"[""7262837|en"", ""7262837|es"", ""7262837|zh""]","[""7765557|zh"", ""7277597|zh"", ""7363058|zh"", ""7765557|es"", ""7441402|zh"", ""7765557|en"", ""7956558|zh"", ""7363058|es"", ""7103604|zh"", ""3613076|zh""]",,zh
1000670,zh,克里斯·霍根 (chris hogan) 的本科学位是从哪里获得的,"[""7262650|en"", ""7262650|es"", ""7262650|zh""]","[""7262650|zh"", ""7262650|en"", ""7262650|es"", ""7262575|zh"", ""7262575|en"", ""7262575|es"", ""7849528|en"", ""7843061|zh"", ""7812373|es"", ""7843061|es""]",,zh
1000671,zh,你的胰腺在身体的哪个位置,"[""7949238|en"", ""7949238|es"", ""7949238|zh""]","[""7949238|zh"", ""7949238|es"", ""7949238|en"", ""3326733|zh"", ""480701|zh"", ""7245866|zh"", ""480701|es"", ""3529255|zh"", ""7188728|zh"", ""3529255|es""]",,zh
1000678,zh,詹姆斯库克船长去哪里探索了？,"[""7262611|en"", ""7262611|es"", ""7262611|zh""]","[""7262611|zh"", ""7262611|es"", ""7262611|en"", ""3769822|zh"", ""7090935|zh"", ""7090935|en"", ""7887735|en"", ""3769822|es"", ""7723876|zh"", ""7090935|es""]",,zh
1000679,zh,定义：死眼,"[""7262592|en"", ""7262592|es"", ""7262592|zh""]","[""7262592|zh"", ""7262592|en"", ""7658037|zh"", ""7658037|es"", ""7247711|en"", ""7245910|en"", ""7658037|en"", ""7307864|zh"", ""7245910|zh"", ""7898301|zh""]",,zh
1000681,zh,巴拉克奥巴马是从哪里接受教育的,"[""7262574|en"", ""7262574|es"", ""7262574|zh"", ""7262575|en"", ""7262575|es"", ""7262575|zh""]","[""7262575|zh"", ""7262575|es"", ""7262575|en"", ""7262574|zh"", ""7262574|es"", ""7262574|en"", ""7092632|zh"", ""7247907|es"", ""7295827|zh"", ""7092632|es""]",,zh
1000697,zh,你在哪里可以看太空发射,"[""7262540|en"", ""7262540|es"", ""7262540|zh""]","[""7262540|zh"", ""7262540|en"", ""7262540|es"", ""7249235|zh"", ""7249235|en"", ""7249235|es"", ""7459245|zh"", ""7459250|zh"", ""7293950|en"", ""7445896|zh""]",,zh
1000709,zh,你在哪里可以从农场池塘中获取土壤样本进行碱度测试,"[""7262522|en"", ""7262522|es"", ""7262522|zh""]","[""7262522|zh"", ""7262522|en"", ""7262522|es"", ""7924615|zh"", ""7620582|zh"", ""7620582|en"", ""7922855|zh"", ""7924615|en"", ""7620582|es"", ""7509942|en""]",,zh
1000715,zh,你在哪里可以找到可可,"[""7262482|en"", ""7262482|es"", ""7262482|zh""]","[""7262482|zh"", ""7886401|en"", ""7262482|en"", ""7886401|es"", ""7207015|zh"", ""7886401|zh"", ""7913785|zh"", ""7089128|zh"", ""7089128|en"", ""7262482|es""]",,zh
1000718,zh,定义：宫廷爱情,"[""7262478|en"", ""7262478|es"", ""7262478|zh""]","[""7262478|zh"", ""7262478|en"", ""7171962|zh"", ""7262478|es"", ""7171962|en"", ""7154168|en"", ""7028429|zh"", ""7028429|es"", ""7154168|es"", ""7171962|es""]",,zh
1000849,zh,莱昂纳多出生的地方,"[""7782982|en"", ""7782982|es"", ""7782982|zh""]","[""7782982|en"", ""7782982|es"", ""7782982|zh"", ""7272020|zh"", ""7946480|zh"", ""7181058|zh"", ""7262574|zh"", ""7262574|es"", ""7602462|zh"", ""7967448|zh""]",,en
1000875,zh,定义：保密,"[""7262309|en"", ""7262309|es"", ""7262309|zh""]","[""7262309|zh"", ""7262309|en"", ""7687342|zh"", ""7262309|es"", ""7199358|en"", ""7199358|zh"", ""7687342|es"", ""7695210|zh"", ""7187968|zh"", ""7883028|zh""]",,zh
1000961,zh,哪里或什么是主要银行,"[""7772721|en"", ""7772721|es"", ""7772721|zh""]","[""7772721|zh"", ""7772721|en"", ""7772721|es"", ""7544274|zh"", ""7427166|es"", ""7936514|zh"", ""7787022|zh"", ""7200386|en"", ""7200386|zh"", ""7200386|es""]",,zh
1001008,zh,感觉坐骨神经痛的地方,"[""7791718|en"", ""7791718|es"", ""7791718|zh"", ""7791719|en"", ""7791719|es"", ""7791719|zh""]","[""7791719|zh"", ""7791718|zh"", ""5293044|zh"", ""88335|zh"", ""7985787|zh"", ""7791719|en"", ""7861883|zh"", ""4485441|zh"", ""4485434|zh"", ""7791719|es""]",,zh
1001059,zh,甘油三酯储存在哪里以满足未来的能源需求,"[""7262137|en"", ""7262137|es"", ""7262137|zh""]","[""7262137|zh"", ""7262137|es"", ""7262137|en"", ""7907089|zh"", ""7781959|es"", ""7781959|zh"", ""634276|en"", ""7781959|en"", ""7499007|zh"", ""7499007|es""]",,zh
1001108,zh,染色体向细胞两极移动的地方,"[""7870036|en"", ""7870036|es"", ""7870036|zh""]","[""7870036|zh"", ""7870036|es"", ""2196128|zh"", ""7134979|en"", ""7870036|en"", ""7534069|zh"", ""7171168|zh"", ""7134979|zh"", ""7134979|es"", ""7559587|en""]",,zh
100119,zh,cortana 高达奶酪来自哪里。,"[""7300657|en"", ""7300657|es"", ""7300657|zh""]","[""7300657|zh"", ""7442986|zh"", ""7275759|zh"", ""7300657|en"", ""7300657|es"", ""7242802|zh"", ""7750358|zh"", ""7823298|zh"", ""7823298|en"", ""7842686|zh""]",,zh
1001329,zh,伦敦哪里吃贵,"[""7871089|en"", ""7871089|es"", ""7871089|zh""]","[""7871089|es"", ""7871089|en"", ""7871089|zh"", ""7883957|zh"", ""7750740|es"", ""7883957|es"", ""7750740|en"", ""7714162|zh"", ""7396462|en"", ""7768743|es""]",,es
1001367,zh,哪里可以买到亚克力粉,"[""7913884|en"", ""7913884|es"", ""7913884|zh""]","[""7913884|zh"", ""7913884|en"", ""7445055|zh"", ""7355451|es"", ""7428189|es"", ""7445055|es"", ""7931445|es"", ""7211336|es"", ""7070398|es"", ""7628775|es""]",,zh
1001397,zh,定义：弹幕,"[""7261899|en"", ""7261899|es"", ""7261899|zh""]","[""7261899|zh"", ""7835784|zh"", ""7522375|zh"", ""2392352|es"", ""7698518|es"", ""7803062|zh"", ""7249735|en"", ""2392352|en"", ""7522375|es"", ""7522375|en""]",,zh
1001438,zh,哪里可以找到金鳟鱼,"[""7886545|en"", ""7886545|es"", ""7886545|zh""]","[""7886545|zh"", ""7886545|es"", ""7698480|zh"", ""7886545|en"", ""7737065|zh"", ""7970512|zh"", ""7458323|zh"", ""7223303|zh"", ""7970512|en"", ""7376324|es""]",,zh
1001443,zh,定义：委托,"[""7261869|en"", ""7261869|es"", ""7261869|zh""]","[""7261869|zh"", ""7598541|zh"", ""7147274|zh"", ""6584738|es"", ""7300227|es"", ""7098904|zh"", ""7423417|zh"", ""7355654|es"", ""7261869|en"", ""7313355|en""]",,zh
1001470,zh,哪里可以找到野生半边莲,"[""7789885|en"", ""7789885|es"", ""7789885|zh""]","[""7789885|zh"", ""7271429|en"", ""7173316|zh"", ""7264405|zh"", ""7376324|es"", ""7891626|es"", ""7909574|en"", ""7173316|en"", ""7882013|en"", ""7891626|en""]",,zh
1001483,zh,在哪里可以找到兽人天际,"[""7830872|en"", ""7830872|es"", ""7830872|zh""]","[""7830872|zh"", ""7830872|es"", ""7889359|zh"", ""7830872|en"", ""7707923|zh"", ""7848684|zh"", ""7889359|es"", ""7889359|en"", ""7848684|en"", ""7848684|es""]",,zh
1001485,zh,快照存储在哪里,"[""7261836|en"", ""7261836|es"", ""7261836|zh""]","[""7261836|zh"", ""7876259|zh"", ""7261836|es"", ""7420401|en"", ""7396514|es"", ""7876259|es"", ""7923013|zh"", ""7470363|en"", ""7420401|es"", ""7261836|en""]",,zh
1001553,zh,哪里可以找到天际的夜门旅馆,"[""7889359|en"", ""7889359|es"", ""7889359|zh""]","[""7889359|zh"", ""7889359|en"", ""7889359|es"", ""7226413|zh"", ""7714162|zh"", ""7270281|zh"", ""4926856|es"", ""7865631|zh"", ""7893135|zh"", ""4926856|zh""]",,zh
1001585,zh,哪里可以找到整片月桂叶,"[""7829476|en"", ""7829476|es"", ""7829476|zh""]","[""7829476|zh"", ""7553392|zh"", ""7506835|zh"", ""7829476|en"", ""7154420|zh"", ""7829476|es"", ""7388135|es"", ""7891626|zh"", ""7909574|es"", ""7405784|es""]",,zh
1001614,zh,内森的热狗是在哪里做的,"[""7261688|en"", ""7261688|es"", ""7261688|zh""]","[""7261688|zh"", ""7261688|en"", ""7578826|zh"", ""7261688|es"", ""7926959|en"", ""7926959|es"", ""7321874|zh"", ""7619331|zh"", ""7321874|en"", ""7926959|zh""]",,zh
1001754,zh,mdt 任务序列存储在哪里,"[""7261645|en"", ""7261645|es"", ""7261645|zh""]","[""7261645|zh"", ""7261645|es"", ""7261645|en"", ""7261836|en"", ""7396514|es"", ""7396514|zh"", ""7409686|zh"", ""7261836|zh"", ""7555352|es"", ""7911487|es""]",,zh
1001774,zh,卖车时在哪里签名,"[""7959460|en"", ""7959460|es"", ""7959460|zh""]","[""7959460|es"", ""7959460|en"", ""7959460|zh"", ""7671936|es"", ""7369408|es"", ""7661963|zh"", ""7917141|es"", ""7661963|es"", ""7671936|en"", ""7446254|es""]",,es
1001867,zh,定义：allo,"[""7261535|en"", ""7261535|es"", ""7261535|zh""]","[""7016640|es"", ""7273234|en"", ""7273234|es"", ""7261535|en"", ""7182356|en"", ""7261535|es"", ""7182356|zh"", ""7182356|es"", ""7552122|en"", ""7552122|es""]",,es
1001903,zh,定义：（取消）,"[""7261459|en"", ""7261459|es"", ""7261459|zh""]","[""7261459|zh"", ""6166672|zh"", ""7261459|en"", ""5283593|zh"", ""7261459|es"", ""8006164|es"", ""7346319|zh"", ""7518802|zh"", ""7565974|zh"", ""7881215|zh""]",,zh
1001904,zh,杜克能源发电厂在哪里,"[""7261449|en"", ""7261449|es"", ""7261449|zh""]","[""7261449|zh"", ""7261449|en"", ""7261449|es"", ""7087940|zh"", ""7117874|zh"", ""7087940|en"", ""7524544|zh"", ""7089181|es"", ""2310949|zh"", ""7079952|zh""]",,zh
1001929,zh,轴突丘在哪里,"[""4202492|en"", ""4202492|es"", ""4202492|zh""]","[""4202492|zh"", ""7957957|zh"", ""7548556|zh"", ""7270447|en"", ""7896317|zh"", ""7981359|en"", ""7220119|es"", ""7588985|zh"", ""7217365|es"", ""288288|zh""]",,zh
1001997,zh,当你是一名土木工程师时，你会做什么,"[""7261245|en"", ""7261245|es"", ""7261245|zh""]","[""7261245|zh"", ""7782410|zh"", ""7600559|en"", ""7987755|zh"", ""7948317|en"", ""4426686|zh"", ""7238782|zh"", ""7860885|zh"", ""7289632|es"", ""7600559|es""]",,zh
1002022,zh,定义 zarf,"[""7261129|en"", ""7261129|es"", ""7261129|zh""]","[""7261129|zh"", ""7261129|en"", ""7261129|es"", ""7262976|zh"", ""7410576|zh"", ""7410576|en"", ""7410576|es"", ""7262976|es"", ""7300227|zh"", ""7142956|es""]",,zh
1002140,zh,我什么时候能收到我的退款 irs,"[""4005338|en"", ""4005338|es"", ""4005338|zh""]","[""2206887|zh"", ""3860357|zh"", ""7901388|zh"", ""4005338|zh"", ""7359458|zh"", ""3844092|zh"", ""7901388|es"", ""7359458|en"", ""3860357|en"", ""7901388|en""]",,zh
1002146,zh,什么时候开局,"[""7260903|en"", ""7260903|es"", ""7260903|zh""]","[""7497502|zh"", ""7803318|zh"", ""7765898|zh"", ""7144713|zh"", ""7250826|zh"", ""7260903|zh"", ""7255377|en"", ""7969008|en"", ""7257078|en"", ""7250826|es""]",,zh
1002148,zh,富士康什么时候开始生产,"[""7260887|en"", ""7260887|es"", ""7260887|zh""]","[""7260887|zh"", ""7260887|en"", ""7255880|zh"", ""7260887|es"", ""7255880|es"", ""7255880|en"", ""7255617|zh"", ""1720664|zh"", ""7776514|es"", ""7880418|zh""]",,zh
1002169,zh,速度与激情什么时候全面开放,"[""7260852|en"", ""7260852|es"", ""7260852|zh""]","[""7260852|zh"", ""7260852|en"", ""7260852|es"", ""7438194|es"", ""7260903|zh"", ""7438194|en"", ""7803318|zh"", ""7161120|zh"", ""7255418|zh"", ""7289859|zh""]",,zh
1002184,zh,wurlitzer 蝴蝶钢琴是什么时候制造的,"[""7260775|en"", ""7260775|es"", ""7260775|zh""]","[""7260775|zh"", ""7260775|en"", ""7260775|es"", ""7792843|en"", ""7924808|zh"", ""7792843|zh"", ""7792843|es"", ""7664768|zh"", ""7924808|es"", ""7880418|zh""]",,zh
1002190,zh,康妮麦克体育场在哪里,"[""7749434|en"", ""7749434|es"", ""7749434|zh""]","[""7749434|zh"", ""7749434|en"", ""7821862|en"", ""7821862|zh"", ""7749434|es"", ""7509891|zh"", ""7821862|es"", ""7823940|zh"", ""7823940|es"", ""7803067|zh""]",,zh
1002216,zh,丹尼尔雷德克里夫出生在哪里,"[""7913227|en"", ""7913227|es"", ""7913227|zh""]","[""7913227|zh"", ""7913227|es"", ""7913227|en"", ""7247907|zh"", ""7383399|zh"", ""47970|zh"", ""7858147|en"", ""5165408|zh"", ""47970|es"", ""7281031|zh""]",,zh
1002225,zh,迪士尼乐园美元什么时候停产,"[""7260682|en"", ""7260682|es"", ""7260682|zh""]","[""7260682|zh"", ""7260682|es"", ""7260682|en"", ""7768743|es"", ""7909732|zh"", ""7768743|en"", ""7831044|es"", ""7909732|es"", ""7768743|zh"", ""7619450|es""]",,zh
1002325,zh,什么时候被扭曲释放,"[""7260471|en"", ""7260471|es"", ""7260471|zh""]","[""7253966|zh"", ""7879859|zh"", ""7260471|zh"", ""7260342|en"", ""7216788|zh"", ""7176056|zh"", ""7323684|zh"", ""7260342|zh"", ""7892118|zh"", ""7107547|zh""]",,zh
1002345,zh,芒果街的房子是什么时候发表的,"[""7260450|en"", ""7260450|es"", ""7260450|zh""]","[""7260450|zh"", ""7260450|en"", ""7260450|es"", ""7259101|es"", ""7269399|zh"", ""815013|zh"", ""7259101|en"", ""7870634|es"", ""7767788|zh"", ""7870634|zh""]",,zh
1002373,zh,你的眼睛只在哪儿拍的？,"[""7747666|en"", ""7747666|es"", ""7747666|zh""]","[""7747666|en"", ""7747666|zh"", ""7747666|es"", ""1310066|zh"", ""7607116|zh"", ""7607116|en"", ""1310066|es"", ""7588579|es"", ""3176369|zh"", ""7225891|zh""]",,en
