query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7305462"", ""7492132"", ""7165807"", ""1335588"", ""7217353"", ""2038018"", ""7220288"", ""7358221"", ""7322251""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7292184"", ""7318694"", ""7152404"", ""7105678"", ""7396043"", ""7730364"", ""7942489"", ""7245028"", ""7858842""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7795418"", ""7801066"", ""7112464"", ""7670160"", ""1033337"", ""7630491"", ""1623640"", ""7455776"", ""7312387"", ""4436062""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7856336"", ""1159597"", ""7148904"", ""7688312"", ""4191529"", ""7133842"", ""7375334"", ""7808278"", ""7240277""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7531239"", ""7199795"", ""7103054"", ""7399600"", ""588235"", ""7512430"", ""7183848"", ""2445166"", ""7067829"", ""7199794""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7694677"", ""270380"", ""7239171"", ""3394798"", ""7789644"", ""4212829"", ""7983669"", ""7327050"", ""7872329"", ""7490735""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""7245877"", ""7420461"", ""7619857"", ""7108043"", ""991142"", ""7567949"", ""2917712"", ""7216092"", ""7926476""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7763743"", ""7082559"", ""67588"", ""7626411"", ""7435832"", ""7815026"", ""7474496"", ""145831"", ""7810625"", ""7466996""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7965476"", ""7206592"", ""7217195"", ""7977659"", ""7151598"", ""3349239"", ""7777896""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7858559"", ""7383642"", ""7292304"", ""7412014"", ""7290260"", ""7290270"", ""7287518"", ""3394798""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7026760"", ""7111419"", ""7984373"", ""7687498"", ""7541371"", ""7487159"", ""7519486"", ""7115754"", ""7717805""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7861394"", ""7944469"", ""7244910"", ""7305462"", ""7239751"", ""7358221"", ""7649887"", ""7217353""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7992043"", ""110910"", ""7905618"", ""7433925"", ""7273604"", ""6093010"", ""7211660"", ""7623591"", ""7418762"", ""170827""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7601337"", ""7973805"", ""7237444"", ""7853910"", ""7809074"", ""924613"", ""4404202"", ""7083275"", ""4484371""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7974596"", ""7389316"", ""7076146"", ""7073109"", ""2951555"", ""7700487"", ""7312387"", ""3041398"", ""7311939"", ""7493757""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7069399"", ""7649080"", ""7355625"", ""7555333"", ""889435"", ""7826945"", ""7639975"", ""7736154"", ""7773595""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7214220"", ""7742103"", ""7081759"", ""960180"", ""7254097"", ""7405220"", ""3970387"", ""7829864"", ""7234971"", ""7843451""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7122052"", ""7502930"", ""7493514"", ""1903885"", ""4948097"", ""7573009"", ""7471105"", ""5200958"", ""7502444"", ""7493507""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7196833"", ""7872590"", ""7332142"", ""7380886"", ""7510610"", ""7442410"", ""7399071"", ""7105534"", ""157069""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7616620"", ""7384736"", ""7645183"", ""7714548"", ""7535426"", ""7077855"", ""7531298"", ""7856336"", ""7395889""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7956784"", ""4772781"", ""7435832"", ""7912439"", ""7217405"", ""7886668"", ""7815026"", ""7929116"", ""7577963""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7167740"", ""7900321"", ""6395661"", ""7358369"", ""7790637"", ""7962748"", ""7996617"", ""5194464"", ""7221882""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""1365882"", ""7275935"", ""7289144"", ""7574541"", ""7645327"", ""7966632"", ""7971459"", ""7415038"", ""7285551""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""6720313"", ""7776376"", ""7563235"", ""7461178"", ""7438982"", ""7297131"", ""7364616"", ""684240"", ""7096348"", ""7439924""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""714998"", ""7837801"", ""7951365"", ""7567998"", ""2304767"", ""7370392"", ""1460244"", ""7617550"", ""7515703"", ""3545260""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7152217"", ""7204388"", ""7645562"", ""7907059"", ""3789036"", ""7156119"", ""7292841"", ""7152404"", ""7433620""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7863564"", ""7360526"", ""7743190"", ""7360530"", ""7901950"", ""6348579"", ""7944021"", ""7697006"", ""7267535"", ""7153558""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7325759"", ""7087019"", ""7747072"", ""7816796"", ""7414858"", ""5561579"", ""7228683"", ""7290198"", ""7113185"", ""7659221""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7465375"", ""7580483"", ""7687708"", ""7290399"", ""7861828"", ""7884823"", ""7286222"", ""7586385"", ""7077987"", ""7820645""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7569446"", ""7573749"", ""7966632"", ""7859734"", ""7864039"", ""7340726"", ""489053"", ""7284753"", ""7307861"", ""7946505""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7140020"", ""7615041"", ""4920146"", ""7486505"", ""7683174"", ""7525733"", ""7173651"", ""7803981"", ""7486503""]",
931029,es,¿Cuál es el tamaño promedio de pepino?,"[""7812195""]","[""7812195"", ""7277294"", ""7096154"", ""7926379"", ""7695693"", ""7318783"", ""7357414"", ""7565794"", ""7264376"", ""7718257""]",
924580,es,de que se hace el whisky de trigo,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""7232337"", ""7949132"", ""7533967"", ""6666760"", ""1676911"", ""7290457"", ""7109056"", ""1539468""]",
837702,es,¿Qué es lo opuesto al helio?,"[""7799527""]","[""7799527"", ""644710"", ""7217535"", ""7965476"", ""7145855"", ""7492132"", ""2988522"", ""7690130"", ""7076046"", ""7204541""]",
1033156,es,¿Cuál es el verdadero nombre del jefe maestro?,"[""7212940""]","[""1285360"", ""7231956"", ""7287029"", ""7212940"", ""7972112"", ""7181095"", ""7226965"", ""7121598"", ""7284160"", ""7958566""]",
1079185,es,¿Qué pasa cuando una corporación se disuelve y tiene deudas?,"[""53048""]","[""53048"", ""7397256"", ""7838074"", ""7282233"", ""7172263"", ""7943121"", ""6417290"", ""7241543"", ""7183175"", ""7814471""]",
171534,es,¿Algún automóvil usa aire acondicionado para ayudar a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7067759"", ""7630433"", ""7215725"", ""7106893"", ""7629794"", ""7969449"", ""7261150"", ""7544748""]",
838500,es,¿Cómo se llama la parte de tu brazo donde extraen sangre?,"[""4707882""]","[""4707882"", ""7630376"", ""7706332"", ""7561515"", ""7342887"", ""7273733"", ""7342775"", ""7242222"", ""7647720"", ""7330328""]",
361285,es,cómo quitar la mancha de orina de gato de la alfombra,"[""7401706""]","[""7401706"", ""3464191"", ""7980571"", ""8000759"", ""7392272"", ""7085272"", ""7646847"", ""7902167"", ""7211336"", ""7345932""]",
1074603,es,por qué usar videos para marketing y promociones,"[""7845422""]","[""7845422"", ""7544522"", ""7482263"", ""7380009"", ""5400265"", ""613301"", ""7803595"", ""7659801"", ""7656121"", ""7734910""]",
931783,es,¿Cuál es la diferencia entre la autoimagen y el autoconcepto?,"[""7830900""]","[""7830900"", ""7164081"", ""7192480"", ""7552122"", ""7850739"", ""7696309"", ""7104622"", ""7447985"", ""7376225"", ""7461776""]",
1096025,es,¿Cuánto paga el estado a las enfermeras en md?,"[""7541711""]","[""7959134"", ""7310747"", ""7447492"", ""7195763"", ""7658002"", ""7463865"", ""7381791"", ""7541711"", ""7587536"", ""7531267""]",
1037612,es,cual es la longitud de un armadillo,"[""7205573""]","[""7601989"", ""7601992"", ""7460416"", ""7334481"", ""7205573"", ""7374886"", ""7594460"", ""7217353"", ""7447712"", ""7370061""]",
1004565,es,¿Cuándo comienza el festival de comida y vino en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7116824"", ""7884647"", ""7813102"", ""7629808"", ""7257190"", ""7980047"", ""7402685"", ""7754238""]",
630172,es,¿Qué significa un anillo en el dedo medio?,"[""7469958""]","[""7534457"", ""7469958"", ""7830330"", ""7199248"", ""7553085"", ""7610400"", ""7785056"", ""7519106"", ""7070429"", ""7308987""]",
650157,es,¿Qué dice la expresión eres un buen huevo?,"[""7453899""]","[""7453899"", ""7674619"", ""7244486"", ""7523816"", ""7675212"", ""7783462"", ""7134705"", ""7681560"", ""7662630"", ""7937421""]",
1031761,es,cual es la estructura de una cola de caballo,"[""7215190""]","[""7229117"", ""4860839"", ""7275572"", ""7474106"", ""7632606"", ""7467345"", ""7251229"", ""7436902"", ""7311549"", ""7991454""]",
