query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7217353"", ""7692857"", ""7985667"", ""7555272"", ""7206684"", ""7527060"", ""7150677"", ""7933971"", ""7640838"", ""1335588""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7224927"", ""7292184"", ""7531201"", ""7396043"", ""7266832"", ""7128290"", ""7725799""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7679596"", ""7452987"", ""7112464"", ""7795418"", ""7089741"", ""7630491"", ""7476284"", ""1163812"", ""7837036""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7308077"", ""7871824"", ""7735648"", ""7854955"", ""7595500"", ""7658420"", ""4805879"", ""1159597"", ""7240277""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7375386"", ""7966808"", ""7413718"", ""7641338"", ""7951649"", ""5060022"", ""2816450"", ""7128896"", ""7385074"", ""7617714""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7329333"", ""7755756"", ""7890349"", ""7239171"", ""7287434"", ""7286801"", ""7283346"", ""1086058"", ""7305571"", ""7259526""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""991142"", ""4582296"", ""2468148"", ""3353086"", ""7847593"", ""2013367"", ""7926476"", ""7386744"", ""7535365""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""7435832"", ""7626411"", ""7541544"", ""7943543"", ""7742702"", ""7934813"", ""7253236"", ""2343447""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7402796"", ""7674848"", ""3349239"", ""7107654"", ""7143675"", ""7777896"", ""3139046""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7302021"", ""7642657"", ""7935110"", ""7755756"", ""7085516"", ""5398743"", ""7957869"", ""7750201"", ""2494135""]",
