query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7527060"", ""1335588"", ""7659466"", ""7492132"", ""7272695"", ""7206684"", ""331907"", ""7566992"", ""7953416"", ""7422548""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7105678"", ""7152404"", ""7396043"", ""1878861"", ""7028429"", ""7085238"", ""7128290"", ""7858842"", ""7318694""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7452987"", ""1033337"", ""7089741"", ""7455776"", ""7679596"", ""7670160"", ""7112464"", ""7837036"", ""1623640"", ""7314613""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7704366"", ""4191529"", ""7148904"", ""7595500"", ""7272684"", ""7240277"", ""7962108"", ""7480666"", ""7688312""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7112652"", ""7375710"", ""7430482"", ""382685"", ""5099300"", ""7113662"", ""7533102"", ""7512430"", ""570442"", ""7325629""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7805080"", ""7239171"", ""7490735"", ""7679168"", ""7572869"", ""4783316"", ""7950004"", ""7789644"", ""7983669"", ""7125366""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7926476"", ""991142"", ""2468148"", ""3353086"", ""7187280"", ""8005523"", ""1455862"", ""7420461""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""7213343"", ""67588"", ""7763140"", ""67596"", ""7907440"", ""7257833"", ""7200796"", ""7082559"", ""8003099""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7080008"", ""3349239"", ""7158898"", ""7777896"", ""7969020"", ""7491456"", ""7917844"", ""7166774"", ""7206592""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7124323"", ""7286801"", ""7383642"", ""7287518"", ""7764195"", ""7491398"", ""7258598"", ""7121598"", ""7812781""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7760322"", ""7108979"", ""7475526"", ""7026760"", ""7206766"", ""1103496"", ""7919768"", ""7108984"", ""7212910""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7239751"", ""7684288"", ""7915135"", ""7558643"", ""7240126"", ""5268318"", ""7525705"", ""1304949"", ""7349096""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7433925"", ""7433792"", ""7848437"", ""7890349"", ""7416687"", ""7303270"", ""7992043"", ""7196833"", ""5625491"", ""7773479""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7410122"", ""166256"", ""256757"", ""7236525"", ""7121801"", ""7204196"", ""7236909"", ""7889379"", ""7679151""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7700487"", ""7389316"", ""7974596"", ""7311939"", ""7076146"", ""7493757"", ""7487520"", ""7187607"", ""11527"", ""7249604""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7933515"", ""7170449"", ""7069399"", ""7647619"", ""7882791"", ""5170594"", ""7421911"", ""7814282"", ""3900009"", ""7171569""]",0.19999999999999996
