query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7217353"", ""7985667"", ""7272695"", ""7408024"", ""7322251"", ""7210335"", ""7933812"", ""2008909"", ""7220288""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7396043"", ""7858842"", ""1878861"", ""7292184"", ""7224927"", ""7934611"", ""7246021""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7959219"", ""4973544"", ""7112464"", ""7452987"", ""7679596"", ""7576393"", ""7455776"", ""7089741"", ""7837036""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""1159597"", ""7308077"", ""7148904"", ""7697631"", ""4191529"", ""7637830"", ""7100572"", ""7854955"", ""7133583""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7139764"", ""7531239"", ""7272534"", ""7139156"", ""5584747"", ""7958004"", ""7471105"", ""163907"", ""2816450"", ""7112336""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""7287434"", ""7723876"", ""7283346"", ""7239171"", ""7090935"", ""4506030"", ""7190874"", ""7754210"", ""7947880""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7420461"", ""7386744"", ""7945442"", ""7624848"", ""991142"", ""7846219"", ""7245877"", ""7127941"", ""7219984""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7318902"", ""7257833"", ""7626411"", ""7876093"", ""5910812"", ""7435832"", ""7773767"", ""8003099""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7107654"", ""7977659"", ""7182995"", ""7965476"", ""7210335"", ""7402796"", ""7871931""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7292304"", ""7085516"", ""7124323"", ""7764195"", ""7291282"", ""7889259"", ""7858559"", ""7872329"", ""7302021""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7503056"", ""7157199"", ""2753653"", ""7511266"", ""7717805"", ""7026760"", ""7091474"", ""7106893"", ""7209225""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7229862"", ""7358221"", ""7220288"", ""7861394"", ""7895510"", ""7657465"", ""7165807"", ""7296810"", ""7944469""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7273604"", ""7433925"", ""7433792"", ""110910"", ""7992043"", ""7806346"", ""7695522"", ""5730265"", ""7833470"", ""7196833""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""924613"", ""7809074"", ""7601337"", ""256757"", ""4484371"", ""7083613"", ""7812355"", ""7410122"", ""7236909""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7076146"", ""7974596"", ""7700487"", ""7311939"", ""609254"", ""7187607"", ""6723094"", ""3041398"", ""7493757""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7555333"", ""7171569"", ""7647619"", ""7170449"", ""4902384"", ""7155719"", ""7857342"", ""7069399"", ""7421911""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7081759"", ""3429513"", ""7234971"", ""7598385"", ""7214220"", ""960180"", ""7814471"", ""7389537"", ""7899750"", ""1798522""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7122052"", ""7502930"", ""7493514"", ""5200958"", ""480677"", ""1903885"", ""7852029"", ""7573009"", ""7139764"", ""651395""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""7490121"", ""7510610"", ""7674001"", ""7196833"", ""7903942"", ""7229862"", ""7156685"", ""7859347"", ""7757058""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7934632"", ""7645183"", ""7834912"", ""7531298"", ""7714548"", ""7155303"", ""7996617"", ""7394645"", ""7901905""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7773767"", ""4772781"", ""7720711"", ""7886668"", ""7466996"", ""7272235"", ""7730985"", ""7259308"", ""7951476""]",0.23529411764705888
829915,es-en,¿ Cuál es la edad para contraer marriage en Kansas con el consentimiento de parental?,"[""7787972""]","[""7787972"", ""7900321"", ""7167740"", ""3799029"", ""7962748"", ""7723393"", ""6395661"", ""4586411"", ""7100617"", ""7106774""]",0.19999999999999996
987767,es-en,con quien Roy Moore lost,"[""7290624""]","[""7290624"", ""7574541"", ""7761845"", ""7842616"", ""7718324"", ""7461249"", ""7946505"", ""8004401"", ""7181095"", ""1365882""]",0.19999999999999996
299128,es-en,cuántas unidades de water por mes,"[""6720313""]","[""7229678"", ""6720313"", ""7563235"", ""7073976"", ""7297131"", ""7249833"", ""7776376"", ""7096348"", ""7485559"", ""434133""]",0.16666666666666663
814132,es-en,cuál es el limit diario de sodio,"[""7951365""]","[""7951365"", ""714998"", ""7837801"", ""7567998"", ""2304767"", ""3545260"", ""7595065"", ""7485559"", ""5504239"", ""7528795""]",0.1428571428571429
874257,es-en,¿ Qué recurso literario utiliza the author para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7433620"", ""7102190"", ""7292841"", ""7743539"", ""1100911"", ""7471665"", ""7244994"", ""7276446"", ""7538644""]",0.1333333333333333
868598,es-en,¿ Qué notas necesitas para ser hygienist dental?,"[""7743190""]","[""7360526"", ""7743190"", ""7360530"", ""7688776"", ""7863564"", ""7944021"", ""7545801"", ""7356690"", ""7371307"", ""7600628""]",0.1428571428571429
1071609,es-en,¿ Por qué el ruido es un problem?,"[""7816796""]","[""7747072"", ""7915201"", ""7216983"", ""7816796"", ""7953291"", ""7312683"", ""1011107"", ""7128451"", ""1119603"", ""7113138""]",0.1428571428571429
663595,es-en,que genre es rob thomas,"[""7465375""]","[""7465375"", ""7689707"", ""7733821"", ""2123320"", ""7481478"", ""7580483"", ""7212783"", ""7755756"", ""7204388"", ""7886754""]",0.19999999999999996
1062203,es-en,¿ Por qué Brad Pitt y Angelina Jolie se divorce?,"[""7569446""]","[""7569446"", ""7946505"", ""7841583"", ""7677002"", ""7864039"", ""7842616"", ""7859734"", ""7284753"", ""7946481"", ""7901881""]",0.11111111111111116
182644,es-en,examples de síntomas de abstinencia de drogas,"[""7935405""]","[""7173651"", ""7935405"", ""7759718"", ""7140020"", ""7615041"", ""8000498"", ""7486505"", ""4631846"", ""7227332"", ""7364216""]",0.1428571428571429
931029,es-en,¿ Cuál es el size promedio de pepino?,"[""7812195""]","[""7874158"", ""7277294"", ""7205573"", ""7195770"", ""7383364"", ""4509893"", ""7812195"", ""1126640"", ""7318783"", ""7352846""]",0.1428571428571429
924580,es-en,de que se hace el whisky de wheat,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7897090"", ""7077056"", ""7986348"", ""7232337"", ""7160730"", ""7251041"", ""7109056"", ""294372""]",0.125
837702,es-en,¿ Qué es lo opuesto al helium?,"[""7799527""]","[""7799527"", ""7135073"", ""7156685"", ""644710"", ""4555656"", ""706654"", ""7201584"", ""7674924"", ""7235859"", ""7492132""]",0.16666666666666663
1033156,es-en,¿ Cuál es el real nombre del jefe maestro?,"[""7212940""]","[""7290002"", ""7181095"", ""7493710"", ""5225732"", ""7526367"", ""7248809"", ""497674"", ""7226965"", ""7227273"", ""7171329""]",0.125
1079185,es-en,¿ Qué pasa cuando una corporación se disuelve y has deudas?,"[""53048""]","[""53048"", ""3592709"", ""7683676"", ""6417290"", ""7871824"", ""7926523"", ""7128294"", ""7076640"", ""7531520"", ""3242324""]",0.09999999999999998
171534,es-en,¿ Algún automóvil use aire acondicionado para help a descongelar?,"[""7385189""]","[""7385189"", ""7492286"", ""7154781"", ""7211972"", ""7544748"", ""7127554"", ""7102244"", ""7161718"", ""7164232"", ""7091598""]",0.2222222222222222
838500,es-en,¿ Cómo se llama la parte de tu brazo donde extraen blood?,"[""4707882""]","[""4707882"", ""1440644"", ""7342775"", ""1062868"", ""2485932"", ""7273634"", ""7450249"", ""1077002"", ""7630376"", ""1143017""]",0.09090909090909094
361285,es-en,cómo quitar la mancha de orina de gato de carpet,"[""7401706""]","[""7401706"", ""7392272"", ""7211336"", ""7072465"", ""7561515"", ""7483017"", ""7365714"", ""7843599"", ""7902167"", ""4147645""]",0.18181818181818177
1074603,es-en,por qué usar videos para marketing y promotions,"[""7845422""]","[""7845422"", ""7659801"", ""7333378"", ""613301"", ""7826615"", ""7524448"", ""7194094"", ""7544522"", ""7896293"", ""7388532""]",0.125
931783,es-en,¿ Cuál es la diferencia entre la autoimagen y self concept?,"[""7830900""]","[""7830900"", ""7164081"", ""3764735"", ""7299175"", ""7594620"", ""7165664"", ""7104622"", ""7871793"", ""7471666"", ""7397248""]",0.19999999999999996
1096025,es-en,¿ Cuánto paga el estado a nurses en md?,"[""7541711""]","[""7541711"", ""7447492"", ""7195763"", ""7959134"", ""6584729"", ""363604"", ""7361787"", ""7310747"", ""7195729"", ""7463865""]",0.2222222222222222
1037612,es-en,cual es la length de un armadillo,"[""7205573""]","[""7205573"", ""7096250"", ""7669136"", ""7556559"", ""7215439"", ""7195770"", ""7460416"", ""7871033"", ""7784059"", ""7403702""]",0.1428571428571429
1004565,es-en,¿ Cuándo comienza el festival de comida y wine en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7226856"", ""7813102"", ""7402685"", ""7980047"", ""7828130"", ""7889800"", ""7088575"", ""7856084""]",0.09999999999999998
630172,es-en,¿ Qué mean un anillo en el dedo medio?,"[""7469958""]","[""7557929"", ""7469958"", ""7483978"", ""7932458"", ""2816450"", ""7651271"", ""3980321"", ""703196"", ""7417288"", ""7553085""]",0.125
650157,es-en,¿ Qué dice the expression eres un buen huevo?,"[""7453899""]","[""7453899"", ""7134705"", ""7470282"", ""1557854"", ""7156685"", ""7138760"", ""7178393"", ""7132734"", ""7823336"", ""7662630""]",0.25
1031761,es-en,cual es la estructura de una cola de horsetail,"[""7215190""]","[""7215190"", ""7771248"", ""7155236"", ""7632606"", ""7436902"", ""7711528"", ""7992187"", ""7793664"", ""7698182"", ""7512964""]",0.11111111111111116
339855,es-en,¿ Qué tan pronto debe an employee informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7399340"", ""1090781"", ""7877769"", ""7826865"", ""5576300"", ""7297354"", ""7373727"", ""7420870"", ""7513032""]",0.18181818181818177
1006724,es-en,¿ Cuándo fue el día de independence de Tailandia?,"[""7252753""]","[""7252753"", ""67027"", ""7253793"", ""3644878"", ""7193783"", ""621218"", ""7739212"", ""7802832"", ""7153209"", ""7904065""]",0.2222222222222222
411367,es-en,¿ Google está blocked en China?,"[""7633642""]","[""7633642"", ""7418884"", ""7491308"", ""7841769"", ""7966136"", ""7524067"", ""1333506"", ""7962187"", ""7653402"", ""7846219""]",0.19999999999999996
839488,es-en,cuál es el plural de kohlrabies,"[""7866009""]","[""7866009"", ""7721698"", ""7718257"", ""7690260"", ""7972821"", ""7255023"", ""7158555"", ""7355625"", ""3913650"", ""7210894""]",0.16666666666666663
1087202,es-en,¿ Cuáles son los symptoms de un nivel bajo de sangre?,"[""7103722""]","[""507491"", ""7273847"", ""7657649"", ""7518992"", ""7449503"", ""7103722"", ""7991336"", ""7173343"", ""7477820"", ""7450236""]",0.09999999999999998
1058513,es-en,para que se used el dojo de clase,"[""7171329""]","[""7171329"", ""7979516"", ""7503056"", ""7159264"", ""7640887"", ""7743723"", ""7991881"", ""294372"", ""7233203"", ""7706996""]",0.125
1054949,es-en,que es friends de la biblioteca,"[""7177052""]","[""7177052"", ""7217535"", ""7794580"", ""7740330"", ""7177292"", ""7799131"", ""7362321"", ""7387422"", ""6910071"", ""7199394""]",0.16666666666666663
190380,es-en,alimentos para keep sanas las encías,"[""5092256""]","[""7490179"", ""7621326"", ""1588461"", ""7785037"", ""3308241"", ""5092256"", ""1491677"", ""7361261"", ""7148584"", ""7301189""]",0.16666666666666663
739554,es-en,cual es la diferencia entre understand y captar,"[""7456010"", ""7044609""]","[""7126790"", ""7456010"", ""7711895"", ""7970442"", ""7471665"", ""7787994"", ""7880398"", ""7044609"", ""7138760"", ""7569988""]",0.125
1059812,es-en,cuya face está en el dinero,"[""7290835""]","[""7831820"", ""7561090"", ""7290835"", ""7171283"", ""7843298"", ""7738859"", ""7769264"", ""7839725"", ""7145341"", ""7612722""]",0.16666666666666663
1071161,es-en,¿ Qué es una estrategia larga en finance?,"[""7157744""]","[""7157744"", ""8001682"", ""4440198"", ""7228460"", ""7601275"", ""7100572"", ""7876098"", ""7733332"", ""7629668"", ""7830190""]",0.1428571428571429
69065,es-en,¿ Puedo obtener my my plates con un permiso de conducir?,"[""7392067""]","[""7392067"", ""7097756"", ""7770548"", ""7132332"", ""7773197"", ""7959460"", ""7619087"", ""7767922"", ""1558710"", ""7257114""]",0.2222222222222222
831034,es-en,¿ Cuál es el significado de fruta cuando se referring a cualquier planta con flores?,"[""2077415""]","[""2077415"", ""7662692"", ""7478005"", ""7638503"", ""7499186"", ""7638500"", ""7501202"", ""7662630"", ""7213486"", ""7285492""]",0.0714285714285714
1002373,es-en,¿ Dónde fue para tus ojos solo filmed?,"[""7747666""]","[""7747666"", ""7835634"", ""2890756"", ""4593851"", ""7095246"", ""7471665"", ""7659801"", ""7262837"", ""7783822"", ""7930097""]",0.1428571428571429
