query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7165807"", ""7122373"", ""7492132"", ""7622515"", ""7502195"", ""7305139"", ""7555272"", ""7672368"", ""7804101""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7105678"", ""7152404"", ""7851318"", ""1878861"", ""7858842"", ""7396043"", ""7292184"", ""7826216"", ""7085238""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""1033337"", ""7452987"", ""7795418"", ""7679596"", ""1163812"", ""7089741"", ""7455776"", ""663950"", ""7708442""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""4191529"", ""7146364"", ""7148904"", ""7375334"", ""7704366"", ""1159597"", ""7522344"", ""7688312"", ""7916202""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7531239"", ""7205952"", ""5584747"", ""764872"", ""7966808"", ""7110876"", ""1979597"", ""1932141"", ""7375386"", ""7533102""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""1757350"", ""7805080"", ""1285360"", ""7983669"", ""7694677"", ""3909183"", ""7383642"", ""7125366"", ""7906424"", ""7900419""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""1455862"", ""7797820"", ""991142"", ""7396947"", ""7216092"", ""7103978"", ""3353086""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""67588"", ""8003099"", ""67596"", ""7105483"", ""7257833"", ""7907439"", ""7082559"", ""7763140"", ""7213343""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7107654"", ""3349239"", ""7402796"", ""7777896"", ""7240603"", ""7674848"", ""34489""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7764195"", ""7124323"", ""7888038"", ""7290270"", ""7383642"", ""7412017"", ""7290399"", ""7623838"", ""7451471""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7150228"", ""7621537"", ""7634650"", ""7186693"", ""7327215"", ""7901200"", ""7154134"", ""7622705"", ""7279218""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7079907"", ""7966440"", ""7864191"", ""7268557"", ""7954743"", ""7196268"", ""1192808"", ""7220288""]",
