query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7423979"", ""7620658"", ""7159815"", ""7893851"", ""7757058"", ""319026"", ""7853359"", ""7212767"", ""7846290"", ""7687204""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7911253"", ""7797366"", ""7155125"", ""1637023"", ""7138502"", ""7949196"", ""7659441"", ""7122592"", ""7402399"", ""7292014""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7961544"", ""7797366"", ""7166303"", ""7477487"", ""7080479"", ""7270748"", ""7445313"", ""7838031"", ""7636087"", ""7836056""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""7145327"", ""7642073"", ""7637034"", ""7132930"", ""7636669"", ""7130562"", ""7160918"", ""7141089"", ""7092955"", ""7163370""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7802224"", ""7620658"", ""7439120"", ""7878622"", ""7130178"", ""7085374"", ""7893851"", ""7248275"", ""7970697"", ""7549452""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7166303"", ""8003474"", ""5397150"", ""7798562"", ""7679443"", ""5074011"", ""7909504"", ""7661839"", ""7888047"", ""7080479""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""7240931"", ""7874712"", ""7191778"", ""7276446"", ""7254447"", ""7245877"", ""7332881"", ""7176414"", ""7384636"", ""7871824""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7240931"", ""7384636"", ""7670327"", ""7856925"", ""7332881"", ""7156492"", ""7276446"", ""7824130"", ""7439120"", ""7961544""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7128779"", ""7207217"", ""7249128"", ""7545360"", ""7421395"", ""7770587"", ""1405259"", ""7212118"", ""7970206"", ""7218588""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""7502667"", ""7166303"", ""7601630"", ""5397150"", ""7508018"", ""7735509"", ""8003474"", ""7288893"", ""2523360"", ""7446955""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7711895"", ""7620658"", ""7134646"", ""7479947"", ""7707643"", ""7085374"", ""7803677"", ""7549452"", ""7466873"", ""7993251""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928694"", ""7928696""]","[""7158849"", ""7899122"", ""5561579"", ""7893851"", ""7846290"", ""7839403"", ""7358089"", ""2221813"", ""7185425"", ""8008770""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7446955"", ""7681560"", ""7549452"", ""7491462"", ""7878622"", ""7423979"", ""7130178"", ""7199301"", ""7770763"", ""7502667""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7961544"", ""7824130"", ""7893051"", ""7546569"", ""7444684"", ""3662861"", ""7276446"", ""7166303"", ""7278842"", ""7240931""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7841769"", ""7544784"", ""7964726"", ""7624797"", ""7265192"", ""7398443"", ""7972972"", ""5780078"", ""7915758"", ""7273497""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7466923"", ""7240931"", ""7636669"", ""7254447"", ""7234971"", ""7080132"", ""7874712"", ""7155882"", ""7144237"", ""7079782""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7234971"", ""7240931"", ""7636669"", ""7874712"", ""7155882"", ""7080132"", ""7254447"", ""7145990"", ""7144237"", ""7792955""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7166303"", ""7352309"", ""7080479"", ""5397150"", ""7118110"", ""7363684"", ""7446955"", ""7888047"", ""7248275"", ""7485241""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7446955"", ""7601630"", ""7454812"", ""7853359"", ""7255955"", ""7439120"", ""7159815"", ""7893051"", ""1625255"", ""7826327""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7264867"", ""7425485"", ""7437700"", ""7294981"", ""8008166"", ""7513994"", ""7454812"", ""7087868"", ""7846290"", ""7601630""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7166303"", ""7102160"", ""7888047"", ""7437700"", ""7531219"", ""7264867"", ""7298537"", ""7454812"", ""7230558"", ""7772602""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7182178"", ""7166303"", ""7666564"", ""7120780"", ""7798562"", ""7508018"", ""7472671"", ""7502667"", ""7119713"", ""7298537""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7446955"", ""7115236"", ""7437700"", ""7893851"", ""7102160"", ""7354572"", ""7601630"", ""7130178"", ""7454812"", ""7650402""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7166303"", ""7363684"", ""7502667"", ""7661839"", ""7545360"", ""7924594"", ""640559"", ""7756398"", ""2611288"", ""7334481""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7240931"", ""7797366"", ""7173239"", ""7961544"", ""7166303"", ""7292014"", ""7727579"", ""7916216"", ""7165350"", ""7352309""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7166303"", ""823470"", ""7584454"", ""7888047"", ""7207217"", ""7382828"", ""7836056"", ""7678033"", ""8007248"", ""7270748""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""8007248"", ""7508018"", ""7212118"", ""7270748"", ""7584454"", ""7472671"", ""7556581"", ""7104245"", ""7166303"", ""7841769""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7085374"", ""7893851"", ""7965665"", ""7130178"", ""7889414"", ""7240931"", ""7760322"", ""7865309"", ""7620658"", ""7246516""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7254447"", ""7634650"", ""7636669"", ""7080132"", ""7947278"", ""7760420"", ""7183229"", ""7466923"", ""7173239"", ""7964957""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7292014"", ""7425050"", ""8007248"", ""7472671"", ""7584454"", ""7266111"", ""7735509"", ""7774037"", ""7264056"", ""7800377""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7270748"", ""7531950"", ""7131535"", ""7477487"", ""7080479"", ""7178334"", ""7797366"", ""3962439"", ""7636087"", ""7223996""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7446955"", ""7201461"", ""8008166"", ""1099182"", ""7502667"", ""7601630"", ""7229252"", ""7314658"", ""7159815"", ""7325613""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853736"", ""7853738""]","[""7201461"", ""7893051"", ""7080132"", ""7226212"", ""7670327"", ""7240931"", ""7229252"", ""7278190"", ""7159815"", ""7144237""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7636669"", ""7079782"", ""7466923"", ""7167278"", ""7234971"", ""4969080"", ""7240931"", ""7155882"", ""7144237"", ""7550373""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7446955"", ""8003248"", ""7770763"", ""8002171"", ""7448849"", ""7130178"", ""7681560"", ""7883229"", ""7893051"", ""1099182""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""7166303"", ""2591569"", ""7448262"", ""7273499"", ""7432285"", ""7267095"", ""7350549"", ""2523360"", ""7245877"", ""7961544""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7909504"", ""7212118"", ""7160643"", ""7407140"", ""7818867"", ""7127894"", ""7950199"", ""7273497"", ""7469495"", ""7363684""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""7254447"", ""7634650"", ""7183229"", ""7157055"", ""7226212"", ""7965665"", ""7466923"", ""7466873"", ""7964957"", ""7856485""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7080479"", ""7166303"", ""7363684"", ""7888047"", ""7961544"", ""7270748"", ""5397150"", ""7354572"", ""7558571"", ""792775""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7166303"", ""7080479"", ""7506794"", ""7472671"", ""7888047"", ""7102160"", ""7200386"", ""7275888"", ""7558571"", ""7425485""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7890243"", ""7782209"", ""7500049"", ""7363684"", ""7321249"", ""7901302"", ""6976256"", ""7156492"", ""7777467"", ""7824968""]",
1096025,zh,国家在 md 支付护士多少钱,"[""7541711""]","[""7508018"", ""7207217"", ""8007248"", ""7671625"", ""7924594"", ""7182178"", ""7218588"", ""7633207"", ""7120780"", ""7584454""]",
1037612,zh,犰狳的长度是多少,"[""7205573""]","[""7446955"", ""7735509"", ""7893051"", ""7201461"", ""7240931"", ""7229252"", ""7292014"", ""7437700"", ""7601630"", ""7502667""]",
1004565,zh,epcot的美食美酒节什么时候开始,"[""7255591""]","[""7671184"", ""7838031"", ""7245877"", ""7276446"", ""7877718"", ""7091281"", ""7961544"", ""7445313"", ""7089128"", ""7273499""]",
630172,zh,中指戴戒指是什么意思？,"[""7469958""]","[""7636669"", ""7637034"", ""7170705"", ""7874712"", ""7080132"", ""7466923"", ""7145327"", ""7155882"", ""7240931"", ""7940839""]",
650157,zh,你是个好蛋的表情是什么,"[""7453899""]","[""7115236"", ""7085374"", ""3003239"", ""7097506"", ""7620658"", ""7893851"", ""7865309"", ""7666789"", ""7549452"", ""7246516""]",
1031761,zh,马尾的结构是什么,"[""7215190""]","[""7961544"", ""7824130"", ""7240931"", ""7856925"", ""7159815"", ""5219599"", ""7166303"", ""4781552"", ""7546569"", ""7670327""]",
339855,zh,在密歇根州，员工多久必须报告受伤情况,"[""7359547""]","[""7679443"", ""7120780"", ""7798562"", ""7661839"", ""7166303"", ""8003474"", ""7340784"", ""7924594"", ""7545360"", ""2422558""]",
1006724,zh,泰国的独立日是什么时候,"[""7252753""]","[""7961544"", ""7746801"", ""7670393"", ""7444684"", ""7671184"", ""7838031"", ""7245877"", ""7877718"", ""256424"", ""7445313""]",
411367,zh,谷歌在中国被屏蔽了吗,"[""7633642""]","[""7166303"", ""7584454"", ""7445313"", ""7270748"", ""7961544"", ""7888047"", ""7448262"", ""7938552"", ""7597092"", ""5397150""]",
839488,zh,kohlrabies的复数是什么,"[""7866009""]","[""7446955"", ""7893051"", ""7770763"", ""7226212"", ""7883229"", ""7130178"", ""7159815"", ""7878622"", ""7282233"", ""7549452""]",
1087202,zh,低血的症状是什么,"[""7103722""]","[""7240931"", ""7446955"", ""4969080"", ""7138502"", ""7727579"", ""3003239"", ""7144237"", ""7166303"", ""7234971"", ""7439120""]",
1058513,zh,什么是类 dojo 用于,"[""7171329""]","[""7965665"", ""7226212"", ""7495959"", ""7803677"", ""7183229"", ""7723320"", ""7636669"", ""7254447"", ""7080132"", ""7929410""]",
1054949,zh,什么是图书馆的朋友,"[""7177052""]","[""7292014"", ""7727579"", ""7352309"", ""4318651"", ""7240931"", ""7270748"", ""7138502"", ""7184466"", ""7735509"", ""7425050""]",
190380,zh,保持牙龈健康的食物,"[""5092256""]","[""7080479"", ""7166303"", ""7888047"", ""7446955"", ""7727579"", ""7270748"", ""7454812"", ""7354572"", ""7528131"", ""7425050""]",
739554,zh,理解和掌握有什么区别,"[""7044609"", ""7456010""]","[""7760322"", ""7131439"", ""7927712"", ""7236813"", ""7782209"", ""7511511"", ""3299247"", ""1207273"", ""7890243"", ""7926179""]",
1059812,zh,谁的脸在钱上,"[""7290835""]","[""7446955"", ""7115236"", ""7399923"", ""7166303"", ""7102160"", ""7248275"", ""7080479"", ""3003239"", ""7439120"", ""7878622""]",
1071161,zh,什么是金融的长期战略,"[""7157744""]","[""7240931"", ""7670327"", ""7446955"", ""7883229"", ""7723320"", ""7961544"", ""7538824"", ""7080479"", ""7130178"", ""7145990""]",
