query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7555272"", ""7933971"", ""1335588"", ""7672368"", ""7502195"", ""7492132"", ""7659466"", ""7272695"", ""7168247""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""1878861"", ""7028429"", ""7292184"", ""7085238"", ""7761431"", ""7105678"", ""7495093"", ""7858842"", ""7957524""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""1033337"", ""7670160"", ""7112464"", ""7508730"", ""5764941"", ""7679596"", ""7452987"", ""7959219"", ""7795418"", ""7696834""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""4191529"", ""7688312"", ""7375334"", ""7146364"", ""7439743"", ""7133583"", ""7308077"", ""7536026"", ""1159597""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""5584747"", ""7966805"", ""7641338"", ""7067901"", ""7492225"", ""764872"", ""1852257"", ""7452653"", ""7966808"", ""7310262""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""1757350"", ""270380"", ""7490735"", ""7572869"", ""7125366"", ""7209022"", ""7623844"", ""3909183"", ""7124323"", ""7289730""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""4582296"", ""7211302"", ""2468148"", ""7108043"", ""7144521"", ""3353086"", ""7505041"", ""991142"", ""1455862""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7763743"", ""7466996"", ""7943543"", ""8003099"", ""7626411"", ""7082559"", ""7213343"", ""7626410"", ""7810625""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7977659"", ""7206592"", ""7777896"", ""5990309"", ""7402796"", ""7458932""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7124323"", ""7880839"", ""3524188"", ""7642657"", ""7764195"", ""7915665"", ""4439219"", ""7123300""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7621537"", ""7150228"", ""7717805"", ""7855122"", ""7188873"", ""7167687"", ""7333096"", ""7125495"", ""7929939""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7358221"", ""7928696"", ""7079907"", ""1192808"", ""1192810"", ""7985667"", ""7864191"", ""7861394"", ""2038018""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""7433792"", ""7623591"", ""3748377"", ""7992043"", ""7695522"", ""7392437"", ""7210214"", ""7196833"", ""2263573""]",
