query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7692857"", ""7985667"", ""7206684"", ""7671426"", ""7150677"", ""3605846"", ""4798181"", ""7924840"", ""7944469"", ""7220288""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7224927"", ""7105678"", ""7691221"", ""7318694"", ""7928259"", ""7239458"", ""7396043"", ""7028429""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7679596"", ""7795418"", ""1163812"", ""8001916"", ""1033337"", ""7089741"", ""7959219"", ""7759517"", ""7676140"", ""7630491""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7595500"", ""7596461"", ""4191529"", ""7308077"", ""7871824"", ""7688312"", ""7735648"", ""7795529"", ""7240277""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7654699"", ""7297061"", ""7617714"", ""7205356"", ""7567731"", ""6285926"", ""7134736"", ""1738230"", ""670962"", ""7682806""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7120205"", ""7890349"", ""1285360"", ""7869733"", ""7382065"", ""7259526"", ""7287434"", ""270380"", ""7124323"", ""7283346""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""7396947"", ""7865401"", ""7445448"", ""2468148"", ""7144521"", ""3746862"", ""3353086"", ""2371093"", ""991142""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""7435832"", ""7626411"", ""7577963"", ""7541544"", ""7318902"", ""7082559"", ""7292014"", ""7907439""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7217195"", ""7080008"", ""7709283"", ""3349239"", ""7210335"", ""7100247"", ""7128834"", ""7158898"", ""7847504"", ""7343612""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7292304"", ""7382065"", ""7646041"", ""7935110"", ""7286801"", ""3645675"", ""4783316"", ""7383642""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7934144"", ""7420401"", ""7167848"", ""7681232"", ""7145212"", ""3003239"", ""7752264"", ""7733435"", ""7155076"", ""7680812""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7944469"", ""7165807"", ""7708657"", ""7691361"", ""7229862"", ""2038018"", ""7861394"", ""7122373"", ""7082136""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433792"", ""7433925"", ""7416687"", ""7273604"", ""7392714"", ""7297220"", ""1245188"", ""110910"", ""7856712"", ""7277497""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7095708"", ""7601337"", ""7936377"", ""7679151"", ""7856084"", ""7853910"", ""7850214"", ""964670"", ""7962715""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7187607"", ""7974596"", ""7700487"", ""7076146"", ""7493757"", ""7311939"", ""7492451"", ""7183383"", ""3041398""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7630225"", ""7550373"", ""7555333"", ""2158081"", ""2618061"", ""7427920"", ""7278913"", ""7376225"", ""7355625""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7393774"", ""7926327"", ""7081759"", ""7916578"", ""7186427"", ""7829864"", ""7234971"", ""7899750"", ""7389537"", ""7742103""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7122052"", ""7493514"", ""7502930"", ""7806257"", ""7104769"", ""4696351"", ""480677"", ""7765651"", ""7323291"", ""1903885""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""1501464"", ""7105534"", ""7510610"", ""7947909"", ""7399071"", ""7323291"", ""4595237"", ""7926351"", ""7677110""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7073772"", ""7422195"", ""7384736"", ""7395889"", ""7598745"", ""7394645"", ""7535426"", ""7400428"", ""7598017"", ""7645183""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7593959"", ""7247765"", ""7466996"", ""7615958"", ""7256507"", ""7292040"", ""7371209"", ""7217405"", ""7292014""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7900321"", ""5060899"", ""5194464"", ""7106774"", ""6395661"", ""7167740"", ""4586411"", ""7600840"", ""7100617""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7461249"", ""7593959"", ""7292014"", ""7289144"", ""7335515"", ""7860466"", ""7948245"", ""7283642"", ""7724584"", ""7688701""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""7440310"", ""2336191"", ""684240"", ""7364600"", ""7073976"", ""7229678"", ""7376730"", ""6720313"", ""7593769"", ""7249833""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""7951365"", ""7559170"", ""7837801"", ""2304767"", ""714998"", ""7439927"", ""6724191"", ""7621592"", ""7451575"", ""7686302""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7289422"", ""7857148"", ""7471665"", ""7125373"", ""7768851"", ""7098680"", ""7769264"", ""7173680"", ""7719848"", ""7659345""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7743190"", ""7863564"", ""4060391"", ""7360526"", ""7901950"", ""7360530"", ""1861429"", ""7411168"", ""7535069"", ""6348579""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7471105"", ""7571025"", ""7334348"", ""7511610"", ""7996955"", ""2285677"", ""7087019"", ""5561579"", ""7547448"", ""7647509""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7465375"", ""7860466"", ""7884823"", ""7286222"", ""7794142"", ""7555333"", ""7225980"", ""7916200"", ""7735117"", ""7869733""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7569446"", ""7573749"", ""7864039"", ""7841583"", ""8004401"", ""7281151"", ""7339164"", ""7294420"", ""7460506"", ""7864034""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7615041"", ""7299269"", ""7493839"", ""4920146"", ""7486505"", ""7173651"", ""8000498"", ""7581603"", ""7648407""]",
931029,es,¿Cuál es el tamaño promedio de pepino?,"[""7812195""]","[""7502667"", ""7334481"", ""4509893"", ""7806457"", ""7330021"", ""7541207"", ""7625327"", ""7594460"", ""7561164"", ""7812195""]",
924580,es,de que se hace el whisky de trigo,"[""7853738"", ""7853736""]","[""7952234"", ""7229117"", ""7937068"", ""7853738"", ""7472357"", ""7179705"", ""7084892"", ""7109056"", ""7986348"", ""7193798""]",
837702,es,¿Qué es lo opuesto al helio?,"[""7799527""]","[""7876784"", ""5271679"", ""7191357"", ""680323"", ""7407715"", ""7673287"", ""7975886"", ""7137257"", ""7642112"", ""7567652""]",
1033156,es,¿Cuál es el verdadero nombre del jefe maestro?,"[""7212940""]","[""2371093"", ""7490659"", ""7776521"", ""7972112"", ""7742808"", ""7243788"", ""7098048"", ""7793247"", ""7733835"", ""7722181""]",
1079185,es,¿Qué pasa cuando una corporación se disuelve y tiene deudas?,"[""53048""]","[""7871824"", ""7671936"", ""7128294"", ""7397256"", ""7369987"", ""7729920"", ""7449384"", ""7715057"", ""7076640"", ""3746862""]",
171534,es,¿Algún automóvil usa aire acondicionado para ayudar a descongelar?,"[""7385189""]","[""7385189"", ""289854"", ""7630433"", ""7592905"", ""7091344"", ""7629794"", ""7544748"", ""7338336"", ""7960849"", ""7067759""]",
838500,es,¿Cómo se llama la parte de tu brazo donde extraen sangre?,"[""4707882""]","[""7630376"", ""4707882"", ""7769148"", ""3003239"", ""7329467"", ""7091675"", ""1440644"", ""538189"", ""7264072"", ""299330""]",
361285,es,cómo quitar la mancha de orina de gato de la alfombra,"[""7401706""]","[""7401706"", ""7428189"", ""7539999"", ""7589379"", ""7305308"", ""8000759"", ""7086688"", ""7726837"", ""7462800"", ""1598069""]",
1074603,es,por qué usar videos para marketing y promociones,"[""7845422""]","[""7845422"", ""7659801"", ""7734910"", ""7544522"", ""613301"", ""7221542"", ""7078112"", ""7724880"", ""7656121"", ""7161875""]",
931783,es,¿Cuál es la diferencia entre la autoimagen y el autoconcepto?,"[""7830900""]","[""7830900"", ""7696309"", ""7164081"", ""7552122"", ""2459114"", ""7425382"", ""7544860"", ""7171844"", ""7456010"", ""7184269""]",
1096025,es,¿Cuánto paga el estado a las enfermeras en md?,"[""7541711""]","[""7541711"", ""7356987"", ""7195763"", ""7381791"", ""2438646"", ""7944021"", ""2673480"", ""7368020"", ""363604"", ""7447492""]",
1037612,es,cual es la longitud de un armadillo,"[""7205573""]","[""7617199"", ""5264767"", ""7601989"", ""7502667"", ""7817084"", ""7979967"", ""7812195"", ""7360261"", ""7334481"", ""7236918""]",
1004565,es,¿Cuándo comienza el festival de comida y vino en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""3532615"", ""7856084"", ""7970512"", ""7800680"", ""7213638"", ""7914114"", ""7980047"", ""7629808""]",
630172,es,¿Qué significa un anillo en el dedo medio?,"[""7469958""]","[""7932458"", ""7206869"", ""7552122"", ""7662030"", ""7871824"", ""7080132"", ""7852080"", ""7262592"", ""7655987"", ""7076046""]",
650157,es,¿Qué dice la expresión eres un buen huevo?,"[""7453899""]","[""7453899"", ""7244486"", ""7355625"", ""7657603"", ""7664235"", ""7135242"", ""7675212"", ""7939684"", ""7247993"", ""7435397""]",
1031761,es,cual es la estructura de una cola de caballo,"[""7215190""]","[""7467345"", ""3003239"", ""7188052"", ""7275572"", ""7322719"", ""7229117"", ""7620658"", ""7200993"", ""1584740"", ""7320245""]",
339855,es,¿Qué tan pronto debe un empleado informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7399340"", ""7420870"", ""7474233"", ""7069832"", ""7354280"", ""7342116"", ""7340167"", ""499891"", ""329164""]",
1006724,es,¿Cuándo fue el día de la independencia de Tailandia?,"[""7252753""]","[""7252753"", ""6794229"", ""621218"", ""7739212"", ""7257327"", ""7802832"", ""3644878"", ""4110696"", ""7253793"", ""157342""]",
411367,es,¿Google está bloqueado en China?,"[""7633642""]","[""7633642"", ""337255"", ""7272812"", ""7304125"", ""4241535"", ""7910918"", ""7294191"", ""7098058"", ""7163245"", ""7908936""]",
839488,es,cuál es el plural de colinabos,"[""7866009""]","[""7217535"", ""7684998"", ""5851905"", ""7205993"", ""7376225"", ""7136812"", ""7881754"", ""7134705"", ""7440580"", ""363824""]",
1087202,es,¿Cuáles son los síntomas de un nivel bajo de sangre?,"[""7103722""]","[""7657649"", ""7449503"", ""1738230"", ""7979212"", ""7581603"", ""7572965"", ""7581604"", ""7273847"", ""5184014"", ""7588705""]",
1058513,es,para que se usa el dojo de clase,"[""7171329""]","[""7171329"", ""7743723"", ""7088855"", ""7797742"", ""7174576"", ""7105479"", ""3003239"", ""7984546"", ""7917896"", ""7262592""]",
1054949,es,que es amigos de la biblioteca,"[""7177052""]","[""7217535"", ""7362321"", ""7177052"", ""7426703"", ""7177292"", ""7242879"", ""7171962"", ""7788744"", ""7954231"", ""7303666""]",
190380,es,alimentos para mantener sanas las encías,"[""5092256""]","[""7234862"", ""7411168"", ""2445156"", ""7126956"", ""5092256"", ""3308241"", ""7205001"", ""4060391"", ""7379859"", ""7237870""]",
739554,es,cual es la diferencia entre comprender y captar,"[""7456010"", ""7044609""]","[""7456010"", ""7544860"", ""7259271"", ""7570527"", ""7244486"", ""7044609"", ""5979595"", ""7728804"", ""7119756"", ""6417801""]",
1059812,es,cuya cara está en el dinero,"[""7290835""]","[""7524156"", ""7839725"", ""7483218"", ""7874763"", ""7843298"", ""7871824"", ""7562558"", ""7299803"", ""7853799"", ""468467""]",
1071161,es,¿Qué es una estrategia larga en finanzas?,"[""7157744""]","[""7228460"", ""7136812"", ""7145016"", ""7604072"", ""7588335"", ""678903"", ""7871824"", ""7857918"", ""7769264"", ""7157744""]",
69065,es,¿Puedo obtener mis placas con un permiso de conducir?,"[""7392067""]","[""7127124"", ""7097756"", ""7305050"", ""7619087"", ""7507523"", ""7843346"", ""7257114"", ""7549661"", ""1558710"", ""7392067""]",
831034,es,¿Cuál es el significado de fruta cuando se refiere a cualquier planta con flores?,"[""2077415""]","[""7594270"", ""458748"", ""7018901"", ""7484648"", ""7101625"", ""7626107"", ""7255023"", ""7727261"", ""6834791"", ""8004438""]",
1002373,es,¿Dónde fue para tus ojos solo filmado?,"[""7747666""]","[""7747666"", ""7815183"", ""6541514"", ""7765502"", ""4593851"", ""2890756"", ""7272184"", ""7724672"", ""7912657"", ""7815180""]",
609707,es,¿En qué condado está Montello?,"[""7690114""]","[""7690114"", ""7661663"", ""2208454"", ""7465839"", ""7617936"", ""7523297"", ""7474562"", ""7676341"", ""565636"", ""7488412""]",
393420,es,en la historia que es una esfera de influencia,"[""7689572""]","[""7224371"", ""7798251"", ""7244994"", ""7499985"", ""7835961"", ""7216788"", ""7080132"", ""7155719"", ""7082559"", ""7788744""]",
1084596,es,¿Qué necesitas para las etiquetas en el coche?,"[""7126829""]","[""6638991"", ""7549661"", ""7126829"", ""7300488"", ""2916869"", ""7819429"", ""7176630"", ""7389973"", ""7486211"", ""7362618""]",
1041656,es,¿Cuál es la definición de beca en ayuda financiera?,"[""7199394""]","[""7142823"", ""151534"", ""1982266"", ""7622886"", ""7990137"", ""7145341"", ""702694"", ""7172169"", ""7526239"", ""7866053""]",
1097283,es,¿Cuántos días pasó el rey en la cárcel por protestar en Birmingham?,"[""7426908""]","[""7426908"", ""7856053"", ""7498046"", ""7288730"", ""7947373"", ""7216788"", ""7497729"", ""5989698"", ""7342116"", ""4491027""]",
166528,es,¿usa ftp la carpeta appdata?,"[""7373623""]","[""7517040"", ""7074151"", ""7615593"", ""7373623"", ""7167848"", ""8004512"", ""7918642"", ""7317935"", ""3003239"", ""7492098""]",
988720,es,quien es el cantante original de chicago,"[""7287922""]","[""7287922"", ""7642166"", ""7355456"", ""7826444"", ""7507189"", ""7698164"", ""7725656"", ""6666759"", ""7291556"", ""7816378""]",
1093928,es,¿Es el iphone x resistente al agua o al agua?,"[""7711108""]","[""7711108"", ""7550534"", ""7304125"", ""7713156"", ""7198663"", ""7705644"", ""7841624"", ""7598139"", ""7861394"", ""7512955""]",
735175,es,lo que es costo y flete en términos,"[""7522344""]","[""7522344"", ""159767"", ""7197956"", ""4370591"", ""6350737"", ""7441725"", ""2645266"", ""7321071"", ""7387270"", ""7148239""]",
289276,es,cuántos miligramos de ritalin debe tomar un adulto,"[""7559170""]","[""7559170"", ""7772677"", ""7089376"", ""7443875"", ""7722320"", ""7759718"", ""4727800"", ""7579337"", ""3966673"", ""2801308""]",
