query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7217353"", ""7906797"", ""7272695"", ""7274366"", ""7968171"", ""7358221"", ""7555272"", ""7742716"", ""7672368""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7292184"", ""7909269"", ""7224927"", ""7028429"", ""7152404"", ""1878861"", ""7923529"", ""7415405"", ""7531201""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""1163812"", ""7113578"", ""7679596"", ""378086"", ""7996955"", ""7909588"", ""7687505"", ""4057833"", ""1361892"", ""1033337""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""4191529"", ""7679312"", ""1849766"", ""7133583"", ""541662"", ""7146364"", ""7308077"", ""7211811"", ""7485202""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""5584747"", ""5099300"", ""7531239"", ""670962"", ""7311549"", ""7465923"", ""5440644"", ""7132300"", ""7512430"", ""5830945""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7383642"", ""270380"", ""7888038"", ""7125366"", ""7239171"", ""7591713"", ""7286801"", ""7762982"", ""7755756"", ""7612172""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7619857"", ""7619859"", ""7105483"", ""4582296"", ""7105479"", ""7216092"", ""2468148"", ""7174990"", ""7926476""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7082559"", ""7763743"", ""67588"", ""7943543"", ""7435832"", ""7466996"", ""7502092"", ""7907439"", ""1687604"", ""7107894""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7402796"", ""7080008"", ""7107654"", ""3349239"", ""7491456"", ""7795446"", ""7777896"", ""7458932""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7305445"", ""7764195"", ""7105098"", ""7880839"", ""7124323"", ""7290260"", ""7285853"", ""363824"", ""7310898""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7898048"", ""7174315"", ""2753653"", ""7026760"", ""7309353"", ""7178887"", ""7919768"", ""7099448"", ""7333096""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7274366"", ""7773637"", ""7864191"", ""7558643"", ""7176947"", ""7928696"", ""7804442"", ""7914307"", ""7128591""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433792"", ""7433925"", ""7979512"", ""7597758"", ""7107740"", ""7210214"", ""7806346"", ""7592764"", ""5730265"", ""7623591""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7236525"", ""7853910"", ""7121801"", ""7550082"", ""256757"", ""166256"", ""3180222"", ""721893"", ""7095708""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7700487"", ""7311939"", ""7076146"", ""7187607"", ""11527"", ""609254"", ""7312387"", ""7493757""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7089269"", ""7415019"", ""7159703"", ""7429630"", ""7628671"", ""3405657"", ""7244744"", ""7928176"", ""7521664"", ""7240825""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7738141"", ""7551429"", ""2679413"", ""2246842"", ""7566190"", ""7926327"", ""2536541"", ""7234971"", ""3149452"", ""7156492""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""7493507"", ""7442428"", ""7852029"", ""7471105"", ""7140514"", ""7132199"", ""4502700""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7967858"", ""7653673"", ""7442410"", ""7890529"", ""7947909"", ""5558092"", ""7134569"", ""7156685"", ""7458144"", ""7150358""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7645183"", ""7714548"", ""7098122"", ""7996617"", ""7531298"", ""7369408"", ""7510067"", ""7155303"", ""7834912""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7912439"", ""7217405"", ""4772781"", ""7394614"", ""7956784"", ""7477026"", ""7796544"", ""7714314"", ""7122900""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7787972"", ""5898158"", ""7164569"", ""7535445"", ""7996617"", ""3799029"", ""7234193"", ""7417529"", ""7509647"", ""7167740""]",0.125
987767,zh-es,罗伊摩尔con perdió 了谁,"[""7290624""]","[""7290624"", ""7302021"", ""7461249"", ""7543210"", ""7689707"", ""7987986"", ""7932384"", ""7793247"", ""2288280"", ""7591713""]",0.19999999999999996
299128,zh-es,每月多少单位的agua,"[""6720313""]","[""7776376"", ""7559905"", ""284458"", ""7297131"", ""7077530"", ""2437027"", ""418208"", ""7168121"", ""7577097"", ""7676610""]",0.19999999999999996
814132,zh-es,什么是每日钠límite,"[""7951365""]","[""714998"", ""7837801"", ""7567998"", ""7951365"", ""1460244"", ""7744285"", ""7747118"", ""7644018"", ""7415495"", ""7287425""]",0.19999999999999996
874257,zh-es,作者用什么文学手法来描述约翰尼抢劫局forasteros的atraco,"[""7867405""]","[""7867405"", ""7204388"", ""7612634"", ""7433620"", ""7535581"", ""2343447"", ""7212783"", ""7889259"", ""7769264"", ""7278395""]",0.16666666666666663
868598,zh-es,你需要什么样的成绩才能成为一名higienista dental,"[""7743190""]","[""7743190"", ""7360530"", ""7360526"", ""7863564"", ""6348579"", ""7688776"", ""7545801"", ""7944021"", ""7901950"", ""7267535""]",0.19999999999999996
1071609,zh-es,为什么噪音是个problema,"[""7816796""]","[""7816796"", ""7403659"", ""7747072"", ""7128451"", ""7101916"", ""7478795"", ""7846533"", ""7675282"", ""7367953"", ""289854""]",0.19999999999999996
663595,zh-es,罗伯·托马斯是什么genero的,"[""7465375""]","[""7465375"", ""7689707"", ""7084659"", ""7286750"", ""7125398"", ""7916200"", ""2813821"", ""7272164"", ""7369727"", ""7662238""]",0.16666666666666663
