query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7217353"", ""7492132"", ""7206684"", ""7305462"", ""7272695"", ""7229862"", ""7358221"", ""7082136"", ""7488637"", ""2038018""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7235939"", ""7170513"", ""7134705"", ""7235946"", ""7262494"", ""7816587"", ""7259868"", ""7104920"", ""7205573""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7816587"", ""7628200"", ""7235946"", ""7089741"", ""7785142"", ""7983115"", ""7442428"", ""4057833"", ""7323619"", ""7235939""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""4191529"", ""7148904"", ""1159597"", ""7235939"", ""7235946"", ""7816587"", ""7133583"", ""7375334"", ""7669318""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7796400"", ""7235946"", ""7816587"", ""7235939"", ""7471105"", ""7295767"", ""7273604"", ""7130660"", ""7139764"", ""7081261""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7239171"", ""7329333"", ""7572869"", ""7290137"", ""7311236"", ""7888038"", ""7624731"", ""7235939"", ""7789933"", ""7355808""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7420461"", ""7235946"", ""7235939"", ""7619859"", ""7127941"", ""7937239"", ""7624848"", ""7619857"", ""7216092""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7485241"", ""7435832"", ""7541544"", ""145831"", ""7787203"", ""7485237"", ""7943543""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7080008"", ""7709283"", ""1718067"", ""7158898"", ""7965476"", ""7944469"", ""3139046"", ""7235939"", ""7234172"", ""7656967""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7888038"", ""7235939"", ""7235946"", ""7647619"", ""7302021"", ""7383642"", ""7355625"", ""7750201"", ""7292304""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7235939"", ""7147226"", ""7235946"", ""7816587"", ""7841769"", ""7116157"", ""7167848"", ""7647619"", ""7541371"", ""7356443""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7816587"", ""7235939"", ""7095246"", ""7235946"", ""7217353"", ""7564409"", ""7861394"", ""7944469"", ""5268318""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7806346"", ""7273604"", ""7433925"", ""7806932"", ""7826945"", ""7235946"", ""7235939"", ""7623591"", ""7211660"", ""7433792""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7095708"", ""924613"", ""7841769"", ""7083275"", ""7964726"", ""7095246"", ""7597092"", ""7438631"", ""7849778""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7389316"", ""7700487"", ""7311939"", ""7974596"", ""7076146"", ""7226690"", ""7312387"", ""7073109"", ""609254"", ""3041398""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7235939"", ""7647619"", ""7235946"", ""7933515"", ""7355625"", ""7816587"", ""7597656"", ""3900009"", ""7415019"", ""7657954""]",0.19999999999999996
