query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7300747"", ""7272695"", ""7672368"", ""7217353"", ""1335588"", ""7659466"", ""7229667"", ""7165807"", ""7968171""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""1878861"", ""7396043"", ""7105678"", ""7761431"", ""7246021"", ""7085238"", ""7292184""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7959219"", ""7670160"", ""7112464"", ""7452987"", ""7579869"", ""1033337"", ""1163812"", ""1623640"", ""7728836"", ""7801066""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""7704366"", ""7308077"", ""4805879"", ""7397248"", ""7146364"", ""7903969"", ""5786828"", ""7679312""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""5584747"", ""7531239"", ""7132300"", ""7081600"", ""6117526"", ""7504549"", ""7486516"", ""7097479"", ""7685711"", ""976001""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7824464"", ""7636646"", ""7623844"", ""7355250"", ""7906424"", ""7329333"", ""7824465"", ""7789644"", ""7480056"", ""7090935""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""991142"", ""1455862"", ""7105483"", ""4548592"", ""7926476"", ""7216092"", ""7769217""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""8003099"", ""7082559"", ""7435832"", ""7178601"", ""7213343"", ""7466996"", ""1944772"", ""7626410""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7402796"", ""7674848"", ""7777896"", ""7107654"", ""7491456"", ""4671299""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7290260"", ""7302021"", ""7880839"", ""7124323"", ""7888038"", ""7915665"", ""7290399"", ""7860466"", ""7642657""]",0.16666666666666663
