query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7272695"", ""7672368"", ""1335588"", ""7492132"", ""7555272"", ""7659466"", ""7933971"", ""7305139"", ""7165807""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""7266832"", ""1878861"", ""7292184"", ""7105678"", ""7730364"", ""7396043"", ""7761431""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""1033337"", ""7670160"", ""7452987"", ""7112464"", ""7455776"", ""7431188"", ""7679596"", ""1623640"", ""7795418"", ""7728836""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""4191529"", ""7146364"", ""7704366"", ""7375334"", ""1849766"", ""7962108"", ""7308077"", ""7133583"", ""7155638""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""764872"", ""7966808"", ""7531239"", ""5440644"", ""7067829"", ""7110876"", ""7966804"", ""7242222"", ""7067901""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7623844"", ""7287434"", ""7906424"", ""7789644"", ""7329333"", ""7239171"", ""7636646"", ""7572869"", ""7754210"", ""7805080""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""2468148"", ""4582296"", ""7619153"", ""7318902"", ""7981469"", ""7284311"", ""7626357"", ""7842280"", ""7216092""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7435832"", ""7082559"", ""7466996"", ""7626410"", ""7178601"", ""7943543"", ""7626411"", ""7914330""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7491456"", ""7402796"", ""7458932"", ""7107654"", ""7182995"", ""7626670""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7888038"", ""7124323"", ""7880839"", ""7290260"", ""7290399"", ""7451471"", ""7302021"", ""7764195"", ""7642657""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7333096"", ""7150228"", ""7929939"", ""5170594"", ""7531759"", ""7600017"", ""7221273"", ""7984373"", ""7299175""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7176947"", ""7864191"", ""7079907"", ""1192808"", ""7558643"", ""7342872"", ""7804442"", ""7358221""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7992043"", ""7433792"", ""5730265"", ""7210214"", ""7885476"", ""7255867"", ""7623591"", ""7905618"", ""7190753""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7853910"", ""7601337"", ""7438631"", ""7862783"", ""256757"", ""7812355"", ""7597092"", ""7410122"", ""7204196""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7311939"", ""7974596"", ""7700487"", ""7187607"", ""11527"", ""7493757"", ""7076146"", ""609254"", ""7492935""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7171569"", ""1699500"", ""7766841"", ""7170449"", ""7421911"", ""7649080"", ""7857342"", ""7524219"", ""7573780""]",
