query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7165807"", ""7379549"", ""7305139"", ""7555272"", ""7502195"", ""7672368"", ""7492132"", ""7122373"", ""7934279""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""1878861"", ""7851318"", ""7858842"", ""7266832"", ""7396043"", ""7324840"", ""7292184""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""1033337"", ""7452987"", ""7670160"", ""7455776"", ""7089741"", ""7795418"", ""7314613"", ""7345967"", ""7519478"", ""7679596""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7375334"", ""4191529"", ""7146364"", ""7688312"", ""7148904"", ""7916202"", ""1849766"", ""7704366"", ""7962108""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7533102"", ""7531239"", ""7205952"", ""298259"", ""7325629"", ""7654082"", ""7528852"", ""5584747"", ""7773118"", ""298257""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7287434"", ""7572869"", ""7805080"", ""7828507"", ""7983669"", ""7906424"", ""7125366"", ""7841397"", ""7900419"", ""7239171""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7846219"", ""7797820"", ""7210828"", ""2468148"", ""7386744"", ""7216092"", ""7704866"", ""3353086""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""7213343"", ""67588"", ""7259545"", ""7257833"", ""7082559"", ""7442703"", ""7435832"", ""67596"", ""7719848""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7158898"", ""7709283"", ""7080008"", ""7240603"", ""7107654"", ""7777896"", ""34489"", ""3349239"", ""7404441"", ""7451752""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7764195"", ""7888038"", ""7124323"", ""7383642"", ""7935417"", ""7290399"", ""7412017"", ""7623838"", ""7290270""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7327215"", ""7901200"", ""7621537"", ""7919768"", ""7160361"", ""7279218"", ""7299175"", ""7150228"", ""7154134""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7079907"", ""7558643"", ""7864191"", ""7268557"", ""7116305"", ""7804442"", ""7773637"", ""1192808""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7273604"", ""7433925"", ""7992043"", ""7623591"", ""7365014"", ""7736285"", ""7210214"", ""7401799"", ""7255867"", ""7297220""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""256757"", ""7410122"", ""7095708"", ""7853910"", ""7601337"", ""4404202"", ""73799"", ""7850214"", ""7597092""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7311939"", ""7700487"", ""7389316"", ""7974596"", ""7492935"", ""11527"", ""7076146"", ""609254"", ""7493757"", ""7187607""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7171569"", ""7647619"", ""7421911"", ""7856651"", ""1699500"", ""7649080"", ""7170449"", ""7689562"", ""7857342""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7389537"", ""7721578"", ""7254097"", ""7916578"", ""7214220"", ""7405220"", ""3149452"", ""7843451"", ""7234971"", ""7186427""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7122052"", ""7502930"", ""1903885"", ""7493514"", ""5200958"", ""7132199"", ""651395"", ""480677"", ""4948097"", ""5006012""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""4425196"", ""7510610"", ""7947909"", ""7099303"", ""7859347"", ""7431830"", ""7112336"", ""7105534"", ""7490121""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7531298"", ""7714548"", ""7934632"", ""7917141"", ""7369408"", ""7645183"", ""7341185"", ""7649098"", ""7155303""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7577963"", ""7912439"", ""4772781"", ""7466996"", ""7107894"", ""7704866"", ""145831"", ""7929116"", ""7282016""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""6395661"", ""5898158"", ""7599232"", ""4586411"", ""7358369"", ""7167740"", ""7962748"", ""7153853"", ""7106774""]",
