query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7527060"", ""1335588"", ""7659466"", ""7206684"", ""7492132"", ""7272695"", ""7566992"", ""3276300"", ""7953416"", ""331907""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""7152404"", ""1878861"", ""7396043"", ""7028429"", ""7085238"", ""7128290"", ""7858842"", ""7318694""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7452987"", ""1033337"", ""7089741"", ""7679596"", ""7670160"", ""7112464"", ""7314613"", ""7837036"", ""7312387"", ""1623640""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7704366"", ""7148904"", ""7308077"", ""7962108"", ""7418684"", ""7322264"", ""7780882"", ""7916202"", ""7272684""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7112652"", ""7533102"", ""7113662"", ""7375710"", ""382685"", ""7430482"", ""5099300"", ""7512430"", ""996722"", ""7641338""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7805080"", ""7950004"", ""7490735"", ""7239171"", ""7329333"", ""4783316"", ""7679168"", ""7355808"", ""7890349"", ""7646041""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7926476"", ""991142"", ""2468148"", ""8005523"", ""7567257"", ""7100389"", ""7830190"", ""7187280""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7213343"", ""7763140"", ""7257833"", ""67596"", ""7907440"", ""7435832"", ""7318902"", ""7200796""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7080008"", ""3349239"", ""7158898"", ""7860609"", ""7969020"", ""7491456"", ""7777896"", ""7674848"", ""7696612""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7124323"", ""7286801"", ""7121598"", ""7888038"", ""7877828"", ""7769977"", ""7615373"", ""7623838"", ""7287518""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7929939"", ""7621537"", ""7919768"", ""7299175"", ""7160361"", ""8005840"", ""7026760"", ""7531759"", ""7775134""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7239751"", ""7558643"", ""7915135"", ""7684288"", ""2209369"", ""5268318"", ""7339480"", ""7081906"", ""7240126""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7210214"", ""110910"", ""6093010"", ""7255867"", ""7826945"", ""7583899"", ""7695522"", ""7599068""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7853910"", ""7754765"", ""4404202"", ""256757"", ""7809074"", ""7601337"", ""7850214"", ""7095708"", ""73799"", ""7438631""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7700487"", ""7974596"", ""7389316"", ""7311939"", ""7076146"", ""7493757"", ""7187607"", ""609254"", ""7487520"", ""7312387""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7170449"", ""7069399"", ""7421911"", ""7882791"", ""7736154"", ""5170594"", ""7766841"", ""7171569"", ""7649080""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7214220"", ""7234971"", ""7145485"", ""3847797"", ""3715499"", ""7628825"", ""2679413"", ""7532415"", ""7926327"", ""2536541""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""651395"", ""5006012"", ""3152590"", ""7493507"", ""5200958"", ""3344866"", ""7537844""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""7510610"", ""1501464"", ""7977182"", ""7745886"", ""5558092"", ""7105534"", ""7103270"", ""7653673"", ""651395""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7645183"", ""7934632"", ""7384736"", ""7996617"", ""7341517"", ""7073772"", ""7155303"", ""7714548"", ""7531298""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7773767"", ""7107894"", ""7103961"", ""7192730"", ""7723482"", ""7802025"", ""7763743"", ""7615958""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""5898158"", ""6395661"", ""7234193"", ""7378072"", ""7900321"", ""7167740"", ""7811094"", ""7106774"", ""7358369""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7290624"", ""7281607"", ""7942709"", ""7161863"", ""7645327"", ""7828735"", ""7120076"", ""7300227"", ""7943333"", ""7766283""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7096348"", ""7776376"", ""7073976"", ""7650901"", ""7249833"", ""2173490"", ""684240"", ""6720313"", ""1987259"", ""7326865""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""714998"", ""7951365"", ""1460244"", ""7837801"", ""7567998"", ""7617550"", ""7644018"", ""7772677"", ""7978725"", ""7623625""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7867405"", ""7125373"", ""7433620"", ""7547152"", ""7778543"", ""7204388"", ""7244994"", ""7870839"", ""7535581"", ""7253822""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""7360530"", ""7743190"", ""6348579"", ""7863564"", ""882642"", ""553068"", ""7697136"", ""7583542"", ""4060391""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7816796"", ""7959025"", ""7747072"", ""7478795"", ""7110766"", ""433444"", ""1011107"", ""7462800"", ""7113289"", ""7679560""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7465375"", ""7689707"", ""7138432"", ""7290399"", ""4765911"", ""7942709"", ""7181885"", ""7586385"", ""4949040"", ""7286256""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7864039"", ""7946505"", ""7859734"", ""489053"", ""7307861"", ""7761850"", ""7339164"", ""7229591"", ""7569446"", ""7573749""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7935405"", ""8000498"", ""7486503"", ""7173651"", ""7493839"", ""7299269"", ""7227332"", ""7489514"", ""7615041"", ""7966805""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7812195"", ""7613369"", ""5563326"", ""7352846"", ""7350855"", ""7718257"", ""7277294"", ""5264767"", ""7457321"", ""7344571""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""7109056"", ""1676911"", ""708299"", ""6762494"", ""7697701"", ""7538759"", ""7829296"", ""7221325""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7799527"", ""7191357"", ""7401497"", ""7235859"", ""4455147"", ""7628671"", ""7183251"", ""7414822"", ""7600339"", ""7687142""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7631639"", ""7290002"", ""7212940"", ""7631636"", ""7875397"", ""7078555"", ""7178393"", ""7722335"", ""7669618"", ""7769167""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""53048"", ""3592709"", ""6417290"", ""7173266"", ""7397256"", ""7853255"", ""3059745"", ""7883166"", ""7875901"", ""7632746""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7079467"", ""7211972"", ""7727772"", ""7067759"", ""7154781"", ""7234031"", ""7082868"", ""7960849"", ""7215725""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""7561515"", ""4707882"", ""2554181"", ""7630376"", ""538189"", ""7342775"", ""288981"", ""7329467"", ""7242222"", ""7433371""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7401706"", ""7801159"", ""7072465"", ""8000759"", ""7835678"", ""7392272"", ""7085272"", ""7483017"", ""7944705"", ""8003714""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7845422"", ""613301"", ""7388532"", ""7544522"", ""7966136"", ""1721389"", ""7716079"", ""7380009"", ""7734910"", ""7026760""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7830900"", ""7164081"", ""7610795"", ""7192480"", ""7649792"", ""7770752"", ""6271183"", ""7890507"", ""7414682"", ""7563779""]",
1096025,zh,国家在 md 支付护士多少钱,"[""7541711""]","[""7541711"", ""7195763"", ""363604"", ""6584729"", ""7958813"", ""7356987"", ""7195729"", ""7447492"", ""7361787"", ""7518528""]",
1037612,zh,犰狳的长度是多少,"[""7205573""]","[""7699906"", ""7307069"", ""7856019"", ""7398943"", ""7777952"", ""7541207"", ""7447712"", ""7784059"", ""7460416"", ""7352846""]",
1004565,zh,epcot的美食美酒节什么时候开始,"[""7255591""]","[""7255591"", ""7375794"", ""7402685"", ""7813102"", ""7503570"", ""7469470"", ""7626981"", ""7182313"", ""7960458"", ""7542790""]",
630172,zh,中指戴戒指是什么意思？,"[""7469958""]","[""7469958"", ""7830330"", ""703196"", ""7702584"", ""1435394"", ""7557929"", ""7180637"", ""7351259"", ""7279696"", ""7513257""]",
650157,zh,你是个好蛋的表情是什么,"[""7453899""]","[""7430397"", ""7310898"", ""7215521"", ""7984355"", ""7639764"", ""7866833"", ""7430396"", ""7977182"", ""7776937"", ""7323225""]",
1031761,zh,马尾的结构是什么,"[""7215190""]","[""7982167"", ""7834203"", ""7697788"", ""7765557"", ""7576617"", ""7632606"", ""7275572"", ""7246440"", ""7166374"", ""7488964""]",
339855,zh,在密歇根州，员工多久必须报告受伤情况,"[""7359547""]","[""7359547"", ""7399340"", ""7940035"", ""4180526"", ""297647"", ""7640131"", ""2911180"", ""7445050"", ""1248180"", ""7677110""]",
1006724,zh,泰国的独立日是什么时候,"[""7252753""]","[""7252753"", ""67027"", ""4110699"", ""621218"", ""7253793"", ""4110696"", ""3644878"", ""7269951"", ""7739212"", ""6794229""]",
411367,zh,谷歌在中国被屏蔽了吗,"[""7633642""]","[""7633642"", ""7856346"", ""7282031"", ""7757683"", ""7249466"", ""7653402"", ""7548661"", ""7471912"", ""7453119"", ""7491308""]",
839488,zh,kohlrabies的复数是什么,"[""7866009""]","[""7866009"", ""7491462"", ""7570136"", ""4765911"", ""7728737"", ""7649694"", ""7273122"", ""7659441"", ""7218253"", ""7635039""]",
1087202,zh,低血的症状是什么,"[""7103722""]","[""7103722"", ""7273847"", ""1541418"", ""7449503"", ""7518992"", ""507491"", ""7798067"", ""5184014"", ""7524000"", ""7979212""]",
1058513,zh,什么是类 dojo 用于,"[""7171329""]","[""7171329"", ""7219802"", ""7233203"", ""7912527"", ""7919768"", ""7552474"", ""7174921"", ""7928169"", ""7582333"", ""7987107""]",
1054949,zh,什么是图书馆的朋友,"[""7177052""]","[""7177052"", ""6910071"", ""7466552"", ""7567025"", ""3432310"", ""7679159"", ""7560613"", ""7217535"", ""7482587"", ""7362321""]",
190380,zh,保持牙龈健康的食物,"[""5092256""]","[""5092256"", ""7490179"", ""7386869"", ""7237870"", ""7124035"", ""7914958"", ""2445156"", ""7471113"", ""3771021"", ""7360320""]",
739554,zh,理解和掌握有什么区别,"[""7456010"", ""7044609""]","[""7171844"", ""7939488"", ""7487392"", ""7685511"", ""7259271"", ""7242846"", ""5369288"", ""7044609"", ""7711895"", ""7773093""]",
1059812,zh,谁的脸在钱上,"[""7290835""]","[""7290835"", ""7196698"", ""7843298"", ""7145341"", ""7098904"", ""7930175"", ""7654932"", ""7874763"", ""7281532"", ""7612722""]",
1071161,zh,什么是金融的长期战略,"[""7157744""]","[""7157744"", ""7100572"", ""4440198"", ""7100389"", ""7830190"", ""8001682"", ""7522387"", ""7962108"", ""7154644"", ""7228460""]",
69065,zh,我可以用驾照拿到我的车牌吗,"[""7392067""]","[""7097756"", ""7392067"", ""1558710"", ""7661963"", ""7140416"", ""7767922"", ""7856336"", ""7357406"", ""7770548"", ""450426""]",
831034,zh,当提到任何开花植物时，水果的含义是什么,"[""2077415""]","[""2077415"", ""7662692"", ""7255023"", ""7167106"", ""7018901"", ""6834791"", ""458748"", ""7574941"", ""7626107"", ""7839630""]",
1002373,zh,你的眼睛只在哪儿拍的？,"[""7747666""]","[""3176369"", ""1310066"", ""7747666"", ""6739160"", ""7810242"", ""1222245"", ""7164418"", ""7572500"", ""7899122"", ""7966876""]",
609707,zh,montello wi 在哪个县,"[""7690114""]","[""7690114"", ""2208454"", ""7817457"", ""7816568"", ""7121124"", ""7608888"", ""1699209"", ""7211171"", ""7661663"", ""7413431""]",
393420,zh,历史上什么是势力范围,"[""7689572""]","[""7403682"", ""7875397"", ""7219802"", ""7886214"", ""2496088"", ""7689572"", ""7124792"", ""7905875"", ""7287796"", ""975502""]",
1084596,zh,汽车上的标签需要什么,"[""7126829""]","[""7126829"", ""450426"", ""7132332"", ""7176630"", ""7148102"", ""1558710"", ""7143645"", ""7761568"", ""4773306"", ""1245358""]",
1041656,zh,助学金的定义是什么,"[""7199394""]","[""7199394"", ""7859593"", ""7802155"", ""7683779"", ""7724525"", ""7142823"", ""7594541"", ""7166000"", ""7270201"", ""2588990""]",
1097283,zh,国王因在伯明翰抗议而在监狱里呆了多少天,"[""7426908""]","[""7368942"", ""7426908"", ""7856053"", ""7497729"", ""7188600"", ""7287698"", ""5966342"", ""7337813"", ""7174921"", ""6624491""]",
166528,zh,ftp 是否使用 appdata 文件夹,"[""7373623""]","[""7373623"", ""7517040"", ""7396514"", ""7266484"", ""7133923"", ""7763217"", ""7425084"", ""7618847"", ""7795377"", ""7286050""]",
988720,zh,谁是芝加哥的原唱,"[""7287922""]","[""7287922"", ""7910380"", ""7698164"", ""7725656"", ""7642166"", ""7575373"", ""7530140"", ""7736818"", ""7826444"", ""7288840""]",
1093928,zh,iphone x 是防水的还是防水的,"[""7711108""]","[""7711108"", ""7550534"", ""7705644"", ""7841624"", ""7203363"", ""7198663"", ""7757491"", ""7299999"", ""7555163"", ""319761""]",
735175,zh,什么是成本和运费 inco 条款,"[""7522344""]","[""7522344"", ""7391075"", ""7485342"", ""1525206"", ""331380"", ""7387270"", ""7410206"", ""7922510"", ""7239467"", ""7700210""]",
289276,zh,成人应服用多少毫克利他林,"[""7559170""]","[""7559170"", ""7772677"", ""7913520"", ""7591413"", ""7445506"", ""992238"", ""7579337"", ""7070008"", ""7443875"", ""7224732""]",
