query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7217353"", ""7985667"", ""7692857"", ""7555272"", ""7206684"", ""7527060"", ""7229862"", ""7082136"", ""2008909"", ""7150677""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7292184"", ""7224927"", ""7396043"", ""7531201"", ""7266832"", ""7957524"", ""7725799""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7679596"", ""7452987"", ""7112464"", ""7089741"", ""7795418"", ""7630491"", ""7837036"", ""7676140"", ""7626245""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7308077"", ""7522344"", ""4805879"", ""7871824"", ""1159597"", ""7916202"", ""7298687"", ""7679312"", ""7795529""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7531239"", ""1243284"", ""7204229"", ""5293044"", ""4486381"", ""7471105"", ""2816450"", ""7110761"", ""7197200"", ""7513257""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7329333"", ""7239171"", ""7890349"", ""7755756"", ""7283346"", ""7287434"", ""7286801"", ""7259526"", ""1086058"", ""7302021""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""991142"", ""7926476"", ""7420461"", ""7386744"", ""4582296"", ""7228460"", ""7847593"", ""7830190"", ""2468148""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""67588"", ""7763743"", ""7435832"", ""7541544"", ""7943543"", ""7934813"", ""7742702"", ""7626411"", ""7213343"", ""8003099""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7402796"", ""7674848"", ""3349239"", ""7107654"", ""7210335"", ""7977659"", ""3139046""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7642657"", ""7302021"", ""7755756"", ""7935110"", ""5398743"", ""7750201"", ""2322244"", ""7957869"", ""7085516""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""2753653"", ""7752264"", ""7507412"", ""7188975"", ""4731340"", ""7534867"", ""7532949"", ""7659801"", ""7552032""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7229862"", ""7944469"", ""7358221"", ""7082136"", ""7619341"", ""7564409"", ""7861394"", ""7154036"", ""7272695""]",0.19999999999999996
