query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7206684"", ""7379549"", ""7165807"", ""7217353"", ""7672368"", ""7502195"", ""7305139"", ""7934279"", ""7492132"", ""7555272""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7105678"", ""7851318"", ""1878861"", ""7152404"", ""7858842"", ""7081391"", ""7028429"", ""7266832"", ""7246021""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7519478"", ""1033337"", ""7452987"", ""7679596"", ""7670160"", ""7795418"", ""7345967"", ""7089741"", ""7455776"", ""378086""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7313355"", ""7148904"", ""4191529"", ""7522344"", ""7146364"", ""7704366"", ""7375334"", ""7154644"", ""1159597""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7533102"", ""7112652"", ""7654082"", ""7205952"", ""7125409"", ""298259"", ""382685"", ""7953859"", ""7550270"", ""7505391""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7983669"", ""7828507"", ""7287434"", ""7125366"", ""7180498"", ""7572869"", ""7805080"", ""1285360"", ""1757350"", ""7694677""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7216092"", ""3353086"", ""7210828"", ""7925187"", ""8006164"", ""7865401"", ""7704866"", ""7846219""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7213343"", ""7763743"", ""7082559"", ""67588"", ""8003099"", ""7719848"", ""7433620"", ""7259545"", ""7435832"", ""7246746""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7777896"", ""34489"", ""7404441"", ""7240603"", ""7491456"", ""7711538""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7105098"", ""4439219"", ""7764195"", ""7383642"", ""7290270"", ""7124323"", ""7290399"", ""7412017"", ""7927438""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7901200"", ""7919768"", ""7532949"", ""7984373"", ""7730985"", ""7339731"", ""7154134"", ""7505618"", ""7961536""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7864191"", ""7079907"", ""7625523"", ""7209206"", ""7574513"", ""7139043"", ""6519900"", ""7914307""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7433792"", ""7365014"", ""7826945"", ""7273604"", ""7433925"", ""4984236"", ""7833470"", ""7623591"", ""7211660"", ""7809714""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""256757"", ""7679151"", ""7410122"", ""7889379"", ""7601337"", ""7438631"", ""7973805"", ""7204196"", ""166256""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7311939"", ""7389316"", ""7974596"", ""7700487"", ""609254"", ""7076146"", ""11527"", ""3041398"", ""7492935"", ""7187607""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7933515"", ""7171569"", ""7170449"", ""7597656"", ""7649080"", ""7812024"", ""7069399"", ""7647619"", ""1699500"", ""7355625""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7389537"", ""7234971"", ""3149452"", ""7081759"", ""7742103"", ""7253685"", ""7214220"", ""7721578"", ""2536541"", ""7405220""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7122052"", ""7502930"", ""7132199"", ""1903885"", ""7493514"", ""5006012"", ""651395"", ""7610400"", ""7493507"", ""480677""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""7279474"", ""7510610"", ""7495024"", ""7653673"", ""7859347"", ""7357076"", ""4425196"", ""7323291"", ""5270532""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7598745"", ""7934632"", ""7645183"", ""7714548"", ""7593413"", ""7531298"", ""7917141"", ""7384736"", ""7369408"", ""7834912""]",0.125
992193,zh-en,谁创造了适者生存的概念？ charles darwin karl marx赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7912439"", ""7217405"", ""7247765"", ""7708239"", ""7956784"", ""7902044"", ""7929116"", ""7107894"", ""4772781""]",0.2857142857142857
829915,zh-en,经父母consent ，堪萨斯州的marriage age是多少,"[""7787972""]","[""7787972"", ""5898158"", ""7900321"", ""7962748"", ""7167740"", ""7234193"", ""7358369"", ""7106774"", ""6395661"", ""7996617""]",0.25
987767,zh-en,罗伊摩尔lost to了谁,"[""7290624""]","[""7302021"", ""7290624"", ""7290474"", ""4468296"", ""7181015"", ""7750562"", ""7281607"", ""7843451"", ""7445716"", ""7284690""]",0.19999999999999996
299128,zh-en,每月多少units的水,"[""6720313""]","[""6720313"", ""7563235"", ""7073976"", ""7776376"", ""7326865"", ""7438982"", ""7994733"", ""684240"", ""7485559"", ""7598635""]",0.19999999999999996
814132,zh-en,什么是每日钠limit,"[""7951365""]","[""714998"", ""7837801"", ""7951365"", ""1460244"", ""1738230"", ""7187701"", ""7567998"", ""7617550"", ""7528795"", ""3545260""]",0.19999999999999996
874257,zh-en,作者用什么文学手法来describe约翰尼抢mugging外人的行为,"[""7867405""]","[""7867405"", ""8002171"", ""7870839"", ""7907059"", ""7341001"", ""7204388"", ""7420923"", ""7695210"", ""7639740"", ""7044609""]",0.25
868598,zh-en,你需要什么样的grades才能成为一名牙科保健员,"[""7743190""]","[""7863564"", ""7360526"", ""6348579"", ""7360530"", ""7901950"", ""1861429"", ""7743190"", ""7310747"", ""7356690"", ""882642""]",0.09999999999999998
1071609,zh-en,为什么噪音是个problem,"[""7816796""]","[""7403659"", ""7816796"", ""7478795"", ""7286100"", ""7087019"", ""7159579"", ""7325759"", ""7747072"", ""7312683"", ""7128451""]",0.19999999999999996
663595,zh-en,罗伯·托马斯是什么genre的,"[""7465375""]","[""7465375"", ""2813821"", ""7733821"", ""7689707"", ""7151759"", ""7697790"", ""7284690"", ""7899708"", ""7767248"", ""7337408""]",0.16666666666666663
1062203,zh-en,为什么布拉德皮特和安吉丽娜朱莉divorce,"[""7569446""]","[""7569446"", ""7573749"", ""7788833"", ""7864039"", ""7859734"", ""7946505"", ""8004401"", ""7287387"", ""7761845"", ""5404401""]",0.1428571428571429
182644,zh-en,药物戒断症状的examples,"[""7935405""]","[""7935405"", ""7615041"", ""4631846"", ""7486505"", ""7227332"", ""7173651"", ""4920146"", ""7619606"", ""7364216"", ""7742389""]",0.19999999999999996
931029,zh-en,黄瓜的平均size是多少,"[""7812195""]","[""7350855"", ""7344571"", ""7388135"", ""7229668"", ""7569893"", ""3662861"", ""7812195"", ""1008556"", ""7617014"", ""7357414""]",0.16666666666666663
924580,zh-en,什么威士忌是由小麦made的,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""1676911"", ""7893642"", ""1539468"", ""7914114"", ""7949989"", ""7511407"", ""708299"", ""7109056""]",0.1428571428571429
837702,zh-en,helium的反义词是什么,"[""7799527""]","[""7799527"", ""7135073"", ""7201584"", ""644710"", ""7902421"", ""7674924"", ""7241709"", ""7268719"", ""7237323"", ""7753600""]",0.19999999999999996
