query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7985667"", ""7692857"", ""7944469"", ""7220288"", ""7691361"", ""7206684"", ""7197444"", ""7305462"", ""7122373"", ""7817612""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7691221"", ""7239458"", ""7318694"", ""7396043"", ""7730364"", ""7698439"", ""7213082""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7795418"", ""7679596"", ""1163812"", ""7630491"", ""7959219"", ""7455776"", ""7089741"", ""8001916"", ""8003886"", ""7112464""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7679312"", ""7595500"", ""7688312"", ""7871824"", ""4191529"", ""7146364"", ""7113972"", ""1558710"", ""7308077""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7506794"", ""1738230"", ""7493839"", ""7671692"", ""7665317"", ""7979212"", ""7205356"", ""735198"", ""6285926"", ""7134736""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7120205"", ""7890349"", ""7724670"", ""7869733"", ""7258217"", ""7906424"", ""270380"", ""7125366"", ""1086058"", ""8005121""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""7754146"", ""7396947"", ""7144521"", ""1455862"", ""7881110"", ""7721883"", ""2371093"", ""3353086"", ""2468148""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7763743"", ""7435832"", ""7541544"", ""7626411"", ""7466996"", ""7280593"", ""7593959"", ""7577963"", ""145831""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7217195"", ""7709283"", ""7158898"", ""7210335"", ""7080008"", ""3349239"", ""7128834"", ""7100247"", ""7693098"", ""7458932""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7646041"", ""7292304"", ""7935110"", ""7382065"", ""7286801"", ""4783316"", ""7289730"", ""3645675""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7503056"", ""3003239"", ""7218061"", ""7145212"", ""7708657"", ""7212398"", ""612943"", ""7901200"", ""7934144"", ""7420401""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7305462"", ""7358221"", ""7212894"", ""7944469"", ""7082136"", ""7708657"", ""7999136"", ""7646548"", ""7188001""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433792"", ""7273604"", ""7433925"", ""648979"", ""7304054"", ""2743909"", ""7783998"", ""6093010"", ""7628559"", ""7857224""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7095708"", ""7410122"", ""7480598"", ""7936377"", ""7679151"", ""7236525"", ""7601337"", ""964670"", ""7086985""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7974596"", ""7187607"", ""7389316"", ""11527"", ""3654352"", ""7311939"", ""7700487"", ""7493757"", ""7076146"", ""7312387""]",
733241,en,what is considered attire,"[""1699500""]","[""7933515"", ""7570527"", ""7555333"", ""2618061"", ""7155719"", ""7550373"", ""7520198"", ""7141797"", ""2158081"", ""7278913""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7234971"", ""7593959"", ""7494558"", ""8002337"", ""7829864"", ""7742103"", ""7081759"", ""7738141"", ""7916578"", ""7186427""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7493514"", ""7502930"", ""7122052"", ""1903885"", ""7493507"", ""7789907"", ""7806257"", ""4696351"", ""3864104"", ""7471105""]",
