query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7709987"", ""7890243"", ""7308268"", ""7277061"", ""7082136"", ""7206684"", ""7229862"", ""7076927"", ""7608913"", ""7113732""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7253127"", ""2484668"", ""7927273"", ""7972919"", ""7601297"", ""7392258"", ""7105678"", ""7288543"", ""7078234"", ""7654932""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7470936"", ""7375629"", ""7789885"", ""7662534"", ""7667726"", ""7150358"", ""7909588"", ""7124519"", ""776148"", ""7176684""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7277061"", ""7890243"", ""7253127"", ""7308268"", ""7833926"", ""7078234"", ""7654932"", ""7725783"", ""7550921"", ""7362818""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7966808"", ""7205952"", ""7481555"", ""7141712"", ""7375386"", ""7110876"", ""7375629"", ""4486381"", ""382685"", ""7087768""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7102160"", ""7553316"", ""7223527"", ""7322392"", ""7588139"", ""7121621"", ""7196980"", ""7449195"", ""7490735"", ""7918462""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""7333378"", ""7255300"", ""7108634"", ""7613183"", ""7526937"", ""7100389"", ""7156845"", ""7123048"", ""7686826"", ""4545924""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7725783"", ""7927273"", ""7253127"", ""7143701"", ""7756309"", ""7972919"", ""7277061"", ""7217896"", ""7829484"", ""7890243""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7738967"", ""7308268"", ""7626670"", ""7780297"", ""5716462"", ""2995657"", ""7495648"", ""7709283"", ""7202282"", ""7206592""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7725783"", ""7231765"", ""7147373"", ""7602462"", ""7308268"", ""7556426"", ""7927273"", ""1198367"", ""7281223"", ""7745216""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7333096"", ""7116157"", ""7614573"", ""7304355"", ""7129313"", ""7686626"", ""7279218"", ""7103609"", ""7199746"", ""7825218""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928694"", ""7928696""]","[""7277061"", ""7890243"", ""7276407"", ""7308268"", ""7161172"", ""7176684"", ""7307999"", ""7164626"", ""7163299"", ""7229862""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""394092"", ""7375629"", ""7815910"", ""7946169"", ""7484982"", ""4984236"", ""7749286"", ""7885476"", ""7277061"", ""2399341""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7277061"", ""7237378"", ""7927273"", ""1089642"", ""7550082"", ""7253127"", ""7308268"", ""7217896"", ""7288543"", ""7725783""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7918758"", ""834016"", ""7097570"", ""7487520"", ""7628559"", ""7493757"", ""7157401"", ""3041398"", ""5060899""]",
