query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7220288"", ""7985667"", ""7691361"", ""7408024"", ""7206684"", ""7272695"", ""7305139"", ""7327127"", ""7217353"", ""7527060""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7028429"", ""7085238"", ""7318694"", ""7292184"", ""7224927"", ""7531201"", ""7245028"", ""7105678""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7679596"", ""7455776"", ""7795418"", ""7576393"", ""7089741"", ""7670160"", ""1033337"", ""4973544"", ""7112464"", ""7455812""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""1159597"", ""7688312"", ""7375334"", ""7308077"", ""7808278"", ""7679312"", ""7854955"", ""4191529"", ""7856388""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7139764"", ""7199794"", ""7457408"", ""7478931"", ""7199795"", ""7531239"", ""7903633"", ""7128876"", ""7112336"", ""7522662""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""1285360"", ""7854692"", ""7723876"", ""7872329"", ""7285220"", ""7288284"", ""7906424"", ""7861828"", ""7890349"", ""5159723""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7245877"", ""6271183"", ""7846219"", ""7420461"", ""7396947"", ""7445448"", ""3353086"", ""7615932"", ""7773767""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""67588"", ""7763743"", ""7626411"", ""7082559"", ""7876093"", ""7773767"", ""7253236"", ""7318902"", ""7435832"", ""7914330""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7217195"", ""7080008"", ""7158898"", ""7777896"", ""7206592"", ""7977659"", ""7249906"", ""7201997"", ""7636819""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7292304"", ""7872329"", ""4783316"", ""7793247"", ""7646041"", ""7771898"", ""7971544"", ""7720292"", ""7412014""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7657465"", ""7933299"", ""7111959"", ""238005"", ""7026760"", ""7841769"", ""7763045"", ""7831440"", ""7153849""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7657465"", ""2038018"", ""7691361"", ""7358221"", ""7220288"", ""7165807"", ""7154106"", ""7229862"", ""7555333"", ""7082136""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7433925"", ""7273604"", ""6093010"", ""7439120"", ""648979"", ""7433792"", ""7992043"", ""7401799"", ""7392437"", ""7623591""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7601337"", ""7862783"", ""7438631"", ""7083613"", ""7236525"", ""7857861"", ""7095708"", ""256757"", ""7237007""]",0.125
