query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7253127"", ""7649694"", ""8005523"", ""7582018"", ""7502195"", ""2013367"", ""7328076"", ""7812702"", ""7216139"", ""7797828""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7637034"", ""7618680"", ""7101398"", ""7880398"", ""7972847"", ""7253127"", ""7788435"", ""7127941"", ""7792956"", ""7804184""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7253127"", ""7788435"", ""7939632"", ""7502195"", ""2013367"", ""4110699"", ""1623640"", ""7205796"", ""7148624"", ""7191778""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""7618680"", ""7908505"", ""7637034"", ""7878223"", ""7804184"", ""7143346"", ""7970677"", ""7748280"", ""7972847"", ""7088781""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7986146"", ""7880398"", ""7812702"", ""8005523"", ""7199301"", ""7148624"", ""7103634"", ""7853383"", ""7714201"", ""7875397""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7253127"", ""7328076"", ""7214220"", ""8005523"", ""7465843"", ""7252753"", ""7587303"", ""7924132"", ""2013367"", ""2807531""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""7649694"", ""2013367"", ""7637034"", ""7797828"", ""8005523"", ""7182313"", ""7253127"", ""7788435"", ""7926476"", ""7875397""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7253127"", ""8005523"", ""2013367"", ""7328076"", ""7214220"", ""7546295"", ""7797828"", ""7706942"", ""7088268"", ""7465843""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7404441"", ""7253127"", ""7491462"", ""2013367"", ""7788435"", ""7328076"", ""7216139"", ""8005523"", ""7867320"", ""7838419""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""7253127"", ""7793907"", ""7706942"", ""7546295"", ""7471842"", ""7178725"", ""7270748"", ""7465843"", ""7328076"", ""2517017""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7618680"", ""7266627"", ""7605018"", ""7637034"", ""7190170"", ""7975016"", ""7997826"", ""7332888"", ""7163091"", ""7168423""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928694"", ""7928696""]","[""7972847"", ""7880398"", ""7526973"", ""7637034"", ""7908505"", ""7618680"", ""7649694"", ""7148624"", ""7211811"", ""7101398""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7253127"", ""2013367"", ""7788435"", ""7649694"", ""4110699"", ""8005523"", ""7714201"", ""7328076"", ""7812702"", ""7252753""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7088781"", ""7649694"", ""7880398"", ""7191778"", ""7365884"", ""7939632"", ""7509378"", ""1020888"", ""7567257"", ""7637034""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7253127"", ""7619606"", ""7939632"", ""7824570"", ""7245877"", ""7820447"", ""7252753"", ""7737427"", ""4110699"", ""7657654""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""2496088"", ""7902859"", ""8005523"", ""7305780"", ""7435397"", ""7626519"", ""7182313"", ""7188745"", ""7668180"", ""2013367""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7103634"", ""8005523"", ""7148624"", ""7880398"", ""7804184"", ""7986146"", ""7253127"", ""7788435"", ""7649694"", ""7101398""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7253127"", ""7812702"", ""8005523"", ""7666299"", ""7688031"", ""7199301"", ""2013367"", ""7788435"", ""7328076"", ""7148624""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7253127"", ""8005523"", ""7812702"", ""7328076"", ""7714201"", ""7797828"", ""7788435"", ""7216139"", ""7706942"", ""7435920""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7788435"", ""4110699"", ""7939632"", ""7253127"", ""7923771"", ""2013367"", ""7376606"", ""7205796"", ""7148624"", ""7797828""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7253127"", ""7939632"", ""7328076"", ""4110699"", ""2013367"", ""7551392"", ""7788435"", ""3183485"", ""7876093"", ""7214220""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7972847"", ""7402837"", ""7211811"", ""7875397"", ""7637034"", ""7245877"", ""7788435"", ""7939632"", ""7618680"", ""7991251""]",0.125
987767,zh-es,罗伊摩尔con perdió 了谁,"[""7290624""]","[""7253127"", ""7101398"", ""7618680"", ""7226978"", ""7278855"", ""7824570"", ""7788435"", ""7245877"", ""7103634"", ""7625327""]",0.19999999999999996
299128,zh-es,每月多少单位的agua,"[""6720313""]","[""8005523"", ""7253127"", ""7714201"", ""7649694"", ""2013367"", ""7812702"", ""7875397"", ""7216139"", ""7471842"", ""7209295""]",0.19999999999999996
814132,zh-es,什么是每日钠límite,"[""7951365""]","[""7649694"", ""2013367"", ""7637034"", ""7365884"", ""7182313"", ""7880398"", ""7788435"", ""7714201"", ""7567257"", ""7191778""]",0.19999999999999996
