query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7985667"", ""7235859"", ""7217353"", ""7272695"", ""7742716"", ""7672368"", ""4370591"", ""7555272"", ""7379549""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""7292184"", ""7396043"", ""7105678"", ""7415405"", ""7246021"", ""7318694"", ""7725799""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7519478"", ""7455776"", ""7579869"", ""7959219"", ""7679596"", ""7442428"", ""7452987"", ""7630491"", ""7314613""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""1159597"", ""4191529"", ""7795529"", ""7808278"", ""7133583"", ""7637830"", ""7679312"", ""7148904"", ""7735648""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""5584747"", ""7512430"", ""7325703"", ""7112652"", ""7568217"", ""7392704"", ""7199794"", ""7139764"", ""7547680"", ""7199795""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""3394797"", ""7643675"", ""4506030"", ""7643677"", ""7755602"", ""7287434"", ""7259526"", ""7983669"", ""7723876""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7624848"", ""7245877"", ""4582296"", ""2468148"", ""7763719"", ""7386744"", ""7562831"", ""7100389"", ""7105483""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7435832"", ""7318902"", ""8003099"", ""7907439"", ""7876093"", ""7082559"", ""7943543"", ""7213343""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7107654"", ""7402796"", ""7206592"", ""7210335"", ""7217195"", ""7182995"", ""7674848""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7292304"", ""7124323"", ""7764195"", ""7623838"", ""7085516"", ""7872329"", ""7858559"", ""2628627"", ""4783316""]",0.16666666666666663
