query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7165807"", ""7492132"", ""7272695"", ""7305139"", ""7379549"", ""7365294"", ""7985667"", ""2038018"", ""7659466""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7851318"", ""7152404"", ""7105678"", ""7292184"", ""7246021"", ""7858842"", ""7085238"", ""7730364"", ""7266832""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""1033337"", ""7455776"", ""7452987"", ""7679596"", ""7795418"", ""7670160"", ""7112464"", ""7345967"", ""7089741"", ""7167778""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7704366"", ""7688312"", ""7211811"", ""7375334"", ""7522344"", ""7104141"", ""7170029"", ""7536026"", ""7146364""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7531239"", ""7953859"", ""7968313"", ""7654082"", ""5440644"", ""7533102"", ""382685"", ""7437540"", ""7524000"", ""7837190""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7983669"", ""7694677"", ""7125366"", ""7958566"", ""7383642"", ""7290137"", ""5972440"", ""3909183"", ""7932656"", ""7955693""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""1455862"", ""7216092"", ""4582296"", ""7797820"", ""2468148"", ""7567257"", ""7759153"", ""7830190"", ""991142""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7213343"", ""7907439"", ""7259545"", ""7810625"", ""7907440"", ""7719848"", ""7815026""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7404441"", ""7965476"", ""7206592"", ""7867320"", ""7977659"", ""7458932""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7383642"", ""7451471"", ""7412014"", ""3645675"", ""7290260"", ""7855353"", ""7125366"", ""7310898"", ""7124323""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7111959"", ""7634650"", ""7588579"", ""969542"", ""7560881"", ""7919768"", ""7186693"", ""4731340"", ""7984373""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7966440"", ""7079907"", ""7928694"", ""7985667"", ""7358221"", ""7215725"", ""2038018"", ""7196268"", ""7998086"", ""7478795""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7623591"", ""7433925"", ""7365014"", ""110910"", ""7273604"", ""7992043"", ""7809714"", ""4697480"", ""7392437"", ""7414499""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""256757"", ""7236525"", ""7410122"", ""7095708"", ""7903801"", ""7204196"", ""7438631"", ""7889379"", ""7849778""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7311939"", ""7974596"", ""7700487"", ""609254"", ""7076146"", ""7493757"", ""7312387"", ""7187607"", ""3041398""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7857342"", ""7170449"", ""1699500"", ""7856651"", ""7171569"", ""2158081"", ""7597656"", ""3900009"", ""7819429""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7214220"", ""7234971"", ""7899750"", ""7389537"", ""7742103"", ""7081759"", ""7090573"", ""1798522"", ""7243330"", ""7254097""]",0.18181818181818177
