query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7165807"", ""7804101"", ""7934279"", ""7220288"", ""7305139"", ""7672368"", ""7217353"", ""7379549"", ""7502195""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7851318"", ""7152404"", ""7105678"", ""1878861"", ""7957524"", ""7826216"", ""7858842"", ""7292184"", ""7028429""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7679596"", ""7519478"", ""1033337"", ""7795418"", ""7112464"", ""7089741"", ""7452987"", ""7455776"", ""7345967""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7522344"", ""7148904"", ""4191529"", ""7313355"", ""7154644"", ""7047301"", ""7704366"", ""1159597"", ""7162010""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""5584747"", ""7531239"", ""7112652"", ""7112336"", ""7953859"", ""7311549"", ""7533102"", ""7674001"", ""382685"", ""7375710""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7983669"", ""7125366"", ""7694677"", ""7805080"", ""7828507"", ""7383642"", ""3394797"", ""7932656"", ""7090935"", ""7335521""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""7216092"", ""1455862"", ""7619859"", ""2468148"", ""3353086"", ""7228460"", ""7210828"", ""7847593""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7213343"", ""7082559"", ""8003099"", ""7907439"", ""67596"", ""7435832"", ""7907440"", ""7763140""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7107654"", ""7240603"", ""7402796"", ""34489"", ""7674848"", ""7711538""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""4439219"", ""7124323"", ""7105098"", ""7412017"", ""7383642"", ""7290270"", ""7764195"", ""7290399"", ""7927438""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7634650"", ""7901200"", ""7186693"", ""7984373"", ""7919768"", ""7150228"", ""7111959"", ""7621537"", ""7982167""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7215725"", ""7966440"", ""7928694"", ""7358221"", ""7220288"", ""7625523"", ""7928696"", ""7864191"", ""7998086"", ""2038018""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7273604"", ""7433925"", ""7365014"", ""7433792"", ""7809714"", ""7623591"", ""5730265"", ""7826945"", ""7210214"", ""6093010""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7410122"", ""7204196"", ""256757"", ""7236525"", ""7676121"", ""7601337"", ""7973805"", ""166256"", ""7889379""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7311939"", ""7076146"", ""609254"", ""7974596"", ""7700487"", ""7312387"", ""3041398"", ""7920534"", ""7493757""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7597656"", ""1699500"", ""7649080"", ""7170449"", ""7171569"", ""7857342"", ""7421911"", ""7069399"", ""7690222""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7234971"", ""7081759"", ""7389537"", ""7742103"", ""7676511"", ""2536541"", ""7214220"", ""7899750"", ""7916578"", ""3149452""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7122052"", ""7502930"", ""7132199"", ""7493514"", ""1903885"", ""5006012"", ""480677"", ""7537844"", ""651395"", ""5200958""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""7510610"", ""7196833"", ""7357076"", ""7332142"", ""1501464"", ""7826584"", ""7399071"", ""7453899"", ""7105534""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7645183"", ""7934632"", ""7531298"", ""7384736"", ""7514078"", ""7543353"", ""7155303"", ""7996617"", ""7714548""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7217405"", ""7912439"", ""7902044"", ""7956784"", ""7569003"", ""7276511"", ""7708239"", ""7748184"", ""7577963""]",0.23529411764705888
829915,es-en,¿ Cuál es la edad para contraer marriage en Kansas con el consentimiento de parental?,"[""7787972""]","[""7787972"", ""7900321"", ""7358369"", ""7167740"", ""5898158"", ""7234193"", ""7106774"", ""7790637"", ""6395661"", ""7962748""]",0.19999999999999996
987767,es-en,con quien Roy Moore lost,"[""7290624""]","[""7290624"", ""1365882"", ""7302021"", ""7138432"", ""4981736"", ""7744388"", ""7275935"", ""7574541"", ""7879331"", ""7290474""]",0.19999999999999996
299128,es-en,cuántas unidades de water por mes,"[""6720313""]","[""6720313"", ""7326865"", ""7776376"", ""7297131"", ""7420731"", ""7563235"", ""7485559"", ""117623"", ""7598139"", ""7073976""]",0.16666666666666663
814132,es-en,cuál es el limit diario de sodio,"[""7951365""]","[""714998"", ""7837801"", ""7951365"", ""1738230"", ""7187701"", ""7647265"", ""7584607"", ""7567998"", ""7584484"", ""8005631""]",0.1428571428571429
874257,es-en,¿ Qué recurso literario utiliza the author para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7907059"", ""7538644"", ""7204388"", ""7433620"", ""7750562"", ""7875319"", ""7341001"", ""7981089"", ""4215483""]",0.1333333333333333
868598,es-en,¿ Qué notas necesitas para ser hygienist dental?,"[""7743190""]","[""7863564"", ""7360530"", ""7360526"", ""7688776"", ""7743190"", ""7944021"", ""6348579"", ""7697136"", ""7545801"", ""882642""]",0.1428571428571429
1071609,es-en,¿ Por qué el ruido es un problem?,"[""7816796""]","[""7403659"", ""7816796"", ""7747072"", ""7286100"", ""1011107"", ""7478795"", ""7325759"", ""7953291"", ""7312683"", ""7189738""]",0.1428571428571429
663595,es-en,que genre es rob thomas,"[""7465375""]","[""7465375"", ""7899708"", ""7733821"", ""2813821"", ""7284690"", ""7689707"", ""7255023"", ""7915665"", ""4583759"", ""7805647""]",0.19999999999999996
1062203,es-en,¿ Por qué Brad Pitt y Angelina Jolie se divorce?,"[""7569446""]","[""7569446"", ""7864039"", ""7788833"", ""7859734"", ""7901881"", ""5404401"", ""7573749"", ""8004401"", ""7946505"", ""7292589""]",0.11111111111111116
182644,es-en,examples de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7615041"", ""7173651"", ""7486505"", ""7486503"", ""7299269"", ""7333731"", ""7742389"", ""4920146"", ""8000498""]",0.1428571428571429
931029,es-en,¿ Cuál es el size promedio de pepino?,"[""7812195""]","[""7812195"", ""7357414"", ""7277294"", ""7563950"", ""4509893"", ""7350855"", ""7502667"", ""7926351"", ""7369764"", ""7344571""]",0.1428571428571429
924580,es-en,de que se hace el whisky de wheat,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""7893642"", ""708299"", ""6666760"", ""7986348"", ""7949132"", ""1676911"", ""7183913"", ""7574564""]",0.125
837702,es-en,¿ Qué es lo opuesto al helium?,"[""7799527""]","[""7799527"", ""7201584"", ""7135073"", ""644710"", ""7674924"", ""7241709"", ""7753600"", ""7414822"", ""7710180"", ""7711538""]",0.16666666666666663
1033156,es-en,¿ Cuál es el real nombre del jefe maestro?,"[""7212940""]","[""7212940"", ""7078555"", ""5397150"", ""7293402"", ""7875397"", ""7539156"", ""7445448"", ""1285360"", ""3440388"", ""7104920""]",0.125
1079185,es-en,¿ Qué pasa cuando una corporación se disuelve y has deudas?,"[""53048""]","[""53048"", ""7397256"", ""3592709"", ""7102693"", ""7139380"", ""6417290"", ""7883166"", ""2026790"", ""7493987"", ""7943121""]",0.09999999999999998
171534,es-en,¿ Algún automóvil use aire acondicionado para help a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7127370"", ""7067759"", ""7079467"", ""7629794"", ""7630433"", ""5420203"", ""7338336"", ""7154781""]",0.2222222222222222
838500,es-en,¿ Cómo se llama la parte de tu brazo donde extraen blood?,"[""4707882""]","[""4707882"", ""7273634"", ""7855504"", ""7552122"", ""7979212"", ""7518380"", ""7222302"", ""7178409"", ""7105960"", ""434133""]",0.09090909090909094
361285,es-en,cómo quitar la mancha de orina de gato de carpet,"[""7401706""]","[""7401706"", ""7500634"", ""7653673"", ""5026971"", ""7860771"", ""7338411"", ""7087881"", ""3675503"", ""7146844"", ""5558092""]",0.18181818181818177
1074603,es-en,por qué usar videos para marketing y promotions,"[""7845422""]","[""7845422"", ""613301"", ""7827847"", ""7461286"", ""7966136"", ""7716079"", ""7173082"", ""7388532"", ""7427974"", ""7333378""]",0.125
931783,es-en,¿ Cuál es la diferencia entre la autoimagen y self concept?,"[""7830900""]","[""7830900"", ""7164081"", ""7165350"", ""7497224"", ""7682652"", ""7414682"", ""7696309"", ""7649902"", ""7447985"", ""7767230""]",0.19999999999999996
1096025,es-en,¿ Cuánto paga el estado a nurses en md?,"[""7541711""]","[""7541711"", ""7447492"", ""363604"", ""7658002"", ""7463865"", ""7959134"", ""6584729"", ""7841638"", ""7310747"", ""7302309""]",0.2222222222222222
1037612,es-en,cual es la length de un armadillo,"[""7205573""]","[""7205573"", ""2850054"", ""7460416"", ""7334481"", ""7979967"", ""7865163"", ""7347981"", ""5264767"", ""7370061"", ""7342561""]",0.1428571428571429
1004565,es-en,¿ Cuándo comienza el festival de comida y wine en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7182313"", ""7813102"", ""7889800"", ""7213638"", ""7950765"", ""7555831"", ""7573877"", ""7257190""]",0.09999999999999998
630172,es-en,¿ Qué mean un anillo en el dedo medio?,"[""7469958""]","[""7469958"", ""7662030"", ""7830330"", ""703196"", ""7473991"", ""7088781"", ""7894150"", ""7441402"", ""7534457"", ""4574879""]",0.125
650157,es-en,¿ Qué dice the expression eres un buen huevo?,"[""7453899""]","[""7453899"", ""7196833"", ""7905618"", ""78207"", ""7105534"", ""1501464"", ""7510610"", ""7970442"", ""7993784"", ""2000768""]",0.25
1031761,es-en,cual es la estructura de una cola de horsetail,"[""7215190""]","[""7215190"", ""7771248"", ""7909027"", ""7863189"", ""7436902"", ""5271679"", ""7607904"", ""7861485"", ""7460416"", ""7489262""]",0.11111111111111116
339855,es-en,¿ Qué tan pronto debe an employee informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7399340"", ""2911180"", ""4180526"", ""7889577"", ""7604187"", ""7877769"", ""7640131"", ""7195763"", ""7445050""]",0.18181818181818177
1006724,es-en,¿ Cuándo fue el día de independence de Tailandia?,"[""7252753""]","[""7252753"", ""7253793"", ""6794229"", ""7095799"", ""3644878"", ""7269951"", ""67027"", ""621218"", ""6564217"", ""7193783""]",0.2222222222222222
411367,es-en,¿ Google está blocked en China?,"[""7633642""]","[""7633642"", ""7846219"", ""7418884"", ""7282031"", ""7826732"", ""4889272"", ""7653402"", ""3243435"", ""4241535"", ""7252611""]",0.19999999999999996
839488,es-en,cuál es el plural de kohlrabies,"[""7866009""]","[""7210894"", ""7230638"", ""7635318"", ""7079778"", ""7866009"", ""7715404"", ""7355625"", ""7234427"", ""7423815"", ""7519834""]",0.16666666666666663
1087202,es-en,¿ Cuáles son los symptoms de un nivel bajo de sangre?,"[""7103722""]","[""7103722"", ""7273847"", ""507491"", ""7173343"", ""7518992"", ""7798067"", ""1541418"", ""7449503"", ""7979212"", ""7949214""]",0.09999999999999998
1058513,es-en,para que se used el dojo de clase,"[""7171329""]","[""7171329"", ""7869709"", ""7308630"", ""7350622"", ""7797742"", ""7565334"", ""7145084"", ""8002337"", ""7097271"", ""7695210""]",0.125
1054949,es-en,que es friends de la biblioteca,"[""7177052""]","[""7177052"", ""7852802"", ""7482587"", ""7433180"", ""7794580"", ""6910071"", ""7799131"", ""7116824"", ""7787203"", ""7217535""]",0.16666666666666663
190380,es-en,alimentos para keep sanas las encías,"[""5092256""]","[""5092256"", ""7490179"", ""7697136"", ""7657012"", ""7386869"", ""2445156"", ""7471113"", ""7124035"", ""757494"", ""7854545""]",0.16666666666666663
739554,es-en,cual es la diferencia entre understand y captar,"[""7456010"", ""7044609""]","[""7044609"", ""7939488"", ""857325"", ""7506157"", ""7970442"", ""7456010"", ""7711895"", ""7464835"", ""7619857"", ""7370295""]",0.125
1059812,es-en,cuya face está en el dinero,"[""7290835""]","[""7769264"", ""7171283"", ""7125772"", ""7843298"", ""7618604"", ""7765139"", ""7932879"", ""7970442"", ""7145341"", ""7090878""]",0.16666666666666663
1071161,es-en,¿ Qué es una estrategia larga en finance?,"[""7157744""]","[""7157744"", ""7601275"", ""8001682"", ""7823965"", ""7228460"", ""7830190"", ""7100389"", ""7604072"", ""7962108"", ""7657978""]",0.1428571428571429
69065,es-en,¿ Puedo obtener my my plates con un permiso de conducir?,"[""7392067""]","[""7392067"", ""7097756"", ""7770548"", ""1558710"", ""7508018"", ""7077855"", ""7132332"", ""7475740"", ""7357406"", ""7822971""]",0.2222222222222222
831034,es-en,¿ Cuál es el significado de fruta cuando se referring a cualquier planta con flores?,"[""2077415""]","[""7662692"", ""2077415"", ""7499186"", ""7099303"", ""7501202"", ""7389854"", ""7100183"", ""7101625"", ""6834791"", ""7167106""]",0.0714285714285714
1002373,es-en,¿ Dónde fue para tus ojos solo filmed?,"[""7747666""]","[""7747666"", ""7815183"", ""2890756"", ""7815180"", ""7724672"", ""7912657"", ""7637066"", ""6541514"", ""7225891"", ""7262837""]",0.1428571428571429
609707,es-en,¿ En qué county está Montello?,"[""7690114""]","[""7690114"", ""7817457"", ""7553108"", ""2107598"", ""7571704"", ""2208454"", ""7661663"", ""7302021"", ""7710398"", ""7569335""]",0.19999999999999996
393420,es-en,en la historia que es una esfera de influence,"[""7689572""]","[""7689572"", ""7835961"", ""7287796"", ""7679740"", ""7244994"", ""7507377"", ""7481856"", ""7509923"", ""7686959"", ""7183237""]",0.11111111111111116
1084596,es-en,¿ Qué necesitas para tags en el coche?,"[""7126829""]","[""7508018"", ""7126829"", ""7132332"", ""7549661"", ""450426"", ""2059813"", ""4757522"", ""7079467"", ""7910955"", ""2618061""]",0.25
1041656,es-en,¿ Cuál es la definición de fellowship en ayuda financiera?,"[""7199394""]","[""7199394"", ""6417801"", ""7859593"", ""7145341"", ""7180477"", ""7466552"", ""7724525"", ""7146416"", ""7355654"", ""7142823""]",0.11111111111111116
1097283,es-en,¿ Cuántos días pasó king en la cárcel por protestar en Birmingham?,"[""7426908""]","[""7426908"", ""7856053"", ""7870634"", ""7098048"", ""2252799"", ""7267808"", ""1198367"", ""7498046"", ""7246941"", ""7243959""]",0.16666666666666663
