query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7165807"", ""7934279"", ""7305139"", ""7672368"", ""7272695"", ""7492132"", ""7122373"", ""7555272"", ""7804101""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7851318"", ""1878861"", ""7858842"", ""7396043"", ""7085238"", ""7292184"", ""7266832""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7452987"", ""1033337"", ""7795418"", ""7455776"", ""7089741"", ""663950"", ""7679596"", ""7112464"", ""7519478""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""7522344"", ""7688312"", ""7148904"", ""7704366"", ""1159597"", ""7375334"", ""7146364"", ""7679312""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7531239"", ""5584747"", ""7953859"", ""7533102"", ""382685"", ""7311549"", ""7112652"", ""4486381"", ""7437540"", ""7568217""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""7900419"", ""7932656"", ""7694677"", ""1757350"", ""7828507"", ""7383642"", ""7983669"", ""7125366"", ""3909183""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""1455862"", ""4582296"", ""2468148"", ""7797820"", ""7216092"", ""7619859"", ""7396947"", ""7846219"", ""7103978""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7259545"", ""8003099"", ""7257833"", ""7082559"", ""67596"", ""7213343"", ""7907439"", ""1944772""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7107654"", ""3349239"", ""7240603"", ""7674848"", ""7777896"", ""7402796"", ""34489""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7764195"", ""7290399"", ""7412017"", ""7383642"", ""7888038"", ""7105098"", ""7623838"", ""7935417""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7621537"", ""7327215"", ""7901200"", ""7153849"", ""7634650"", ""7154134"", ""7150228"", ""7167848"", ""4731340""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7966440"", ""7928696"", ""7079907"", ""7196268"", ""7358221"", ""7928694"", ""7220288"", ""7601434"", ""7998086"", ""7165807""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7273604"", ""7433925"", ""7992043"", ""7623591"", ""7736285"", ""7809714"", ""7365014"", ""7433792"", ""7833470"", ""7510610""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7236525"", ""256757"", ""7410122"", ""166256"", ""7601337"", ""7973805"", ""7964726"", ""7095708"", ""7236909""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7311939"", ""609254"", ""7700487"", ""7974596"", ""7076146"", ""7492935"", ""7312387"", ""7493757"", ""11527""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7171569"", ""1699500"", ""7857342"", ""7647619"", ""7649080"", ""7421911"", ""7524219"", ""7597656"", ""7170449""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7214220"", ""7234971"", ""7742103"", ""7389537"", ""7676511"", ""3429513"", ""7899750"", ""7254097"", ""7916578"", ""7081759""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7122052"", ""7493514"", ""7502930"", ""1903885"", ""7132199"", ""5200958"", ""480677"", ""4948097"", ""7537844"", ""5006012""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""7510610"", ""7674001"", ""7431830"", ""7332142"", ""7653673"", ""7826584"", ""7217431"", ""7399071"", ""7357076""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7531298"", ""7934632"", ""7341185"", ""7714548"", ""7514078"", ""7155303"", ""7098122"", ""7543353"", ""7645183""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7217405"", ""7577963"", ""4772781"", ""7912439"", ""7102301"", ""7281962"", ""7605018"", ""7242879"", ""7107894""]",0.23529411764705888
829915,es-en,¿ Cuál es la edad para contraer marriage en Kansas con el consentimiento de parental?,"[""7787972""]","[""7787972"", ""6395661"", ""7358369"", ""5898158"", ""7167740"", ""7790637"", ""7153853"", ""7106774"", ""7221882"", ""7948785""]",0.19999999999999996
987767,es-en,con quien Roy Moore lost,"[""7290624""]","[""7290624"", ""4981736"", ""7138432"", ""7744388"", ""1365882"", ""7574541"", ""7601194"", ""7892232"", ""7591596"", ""2796936""]",0.19999999999999996
299128,es-en,cuántas unidades de water por mes,"[""6720313""]","[""7326865"", ""6720313"", ""7563235"", ""7376730"", ""7073976"", ""7297131"", ""7485559"", ""7598139"", ""7650901"", ""7776376""]",0.16666666666666663
814132,es-en,cuál es el limit diario de sodio,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7647265"", ""1738230"", ""7584607"", ""7187701"", ""7528795"", ""2304767"", ""7567998""]",0.1428571428571429
874257,es-en,¿ Qué recurso literario utiliza the author para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7907059"", ""7433620"", ""7875319"", ""7695210"", ""7181201"", ""7750562"", ""7538644"", ""7778543"", ""7844736""]",0.1333333333333333
