query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7991258"", ""5585646"", ""1304949"", ""1732575"", ""7871931"", ""3152590"", ""7476737"", ""7626107"", ""7821644"", ""7121019""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7701080"", ""7970442"", ""7331425"", ""7338698"", ""7416934"", ""7572500"", ""7571470"", ""7593959"", ""7683923"", ""7343059""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7727261"", ""5716462"", ""4255135"", ""7508331"", ""7250048"", ""7509078"", ""7260682"", ""7178409"", ""7716747"", ""1989279""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7744510"", ""7343059"", ""7683923"", ""7331425"", ""7930084"", ""7572500"", ""7679682"", ""7217353"", ""7223384"", ""7365925""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7701080"", ""7571470"", ""7970442"", ""7331425"", ""7698702"", ""7338698"", ""7189483"", ""7610671"", ""3133447"", ""7669730""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7732156"", ""7437295"", ""7358221"", ""7439927"", ""7352846"", ""601817"", ""543240"", ""7406797"", ""7296437"", ""7212441""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""7191502"", ""7287816"", ""7810634"", ""3043647"", ""7400734"", ""7336810"", ""1639706"", ""7910734"", ""1162182"", ""5815132""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7683921"", ""7815714"", ""7642865"", ""8003240"", ""7544412"", ""194860"", ""7596795"", ""7970290"", ""5235392"", ""7137308""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7358221"", ""7732156"", ""7352846"", ""7250923"", ""7201997"", ""7406797"", ""7250725"", ""4491564"", ""7888158"", ""7437295""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7701080"", ""7970442"", ""7331425"", ""7338698"", ""7416934"", ""7572500"", ""7593959"", ""7343059"", ""7683923"", ""7571470""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7732156"", ""7437295"", ""7358221"", ""7352846"", ""7439927"", ""543240"", ""7406797"", ""601817"", ""7296437"", ""7741076""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7683923"", ""7572500"", ""7679682"", ""7365925"", ""2205059"", ""7331425"", ""7416934"", ""7939043"", ""4809578"", ""7640838""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7744510"", ""7343059"", ""7683923"", ""7930084"", ""7217353"", ""7331425"", ""7572500"", ""7223384"", ""7679682"", ""7338698""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7744510"", ""7970442"", ""7701080"", ""7343059"", ""7331425"", ""7593959"", ""7572500"", ""7930084"", ""7416934"", ""7212398""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7732156"", ""7358221"", ""7352846"", ""7437295"", ""601817"", ""7439927"", ""7406797"", ""4491564"", ""7250923"", ""543240""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7701080"", ""7970442"", ""7331425"", ""7744510"", ""7572500"", ""7416934"", ""7343059"", ""7683923"", ""7679682"", ""7338698""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7306399"", ""7744510"", ""7492187"", ""7689272"", ""7265121"", ""7338698"", ""4077088"", ""7730127"", ""7640838"", ""7217353""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7762617"", ""7492187"", ""7785056"", ""7306399"", ""7710966"", ""7392314"", ""5910812"", ""7645039"", ""7437040"", ""7168497""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7701080"", ""7970442"", ""7331425"", ""7212398"", ""7343059"", ""7572500"", ""7416934"", ""7669730"", ""7683923"", ""7571470""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7701080"", ""7970442"", ""7331425"", ""7338698"", ""7416934"", ""7572500"", ""7593959"", ""7343059"", ""7683923"", ""7571470""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""5585646"", ""7991258"", ""1732575"", ""817137"", ""7476737"", ""3152590"", ""7871931"", ""290885"", ""7802025"", ""586360""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7744510"", ""7343059"", ""7683923"", ""7572500"", ""7331425"", ""7930084"", ""7679682"", ""7217353"", ""7223384"", ""7338698""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7217353"", ""7338698"", ""7331425"", ""7744510"", ""7492187"", ""7939043"", ""7761099"", ""7264160"", ""822036"", ""7357414""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""7338698"", ""7849528"", ""7744510"", ""7730456"", ""7331425"", ""7343059"", ""7698702"", ""7239458"", ""7416934"", ""7610671""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""7744510"", ""7930084"", ""7343059"", ""7331425"", ""7572500"", ""7116760"", ""7970442"", ""7701080"", ""7416934"", ""7683923""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7771960"", ""5582302"", ""7097048"", ""7653553"", ""7361851"", ""7127158"", ""905234"", ""7144069"", ""7663904"", ""542664""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7701080"", ""7970442"", ""7331425"", ""7212398"", ""7343059"", ""7572500"", ""7416934"", ""7669730"", ""7683923"", ""7744510""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7744510"", ""7930084"", ""7343059"", ""7331425"", ""7572500"", ""7701080"", ""7970442"", ""7416934"", ""7116760"", ""7683923""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7970442"", ""7701080"", ""7331425"", ""7572500"", ""7343059"", ""7212398"", ""7416934"", ""7593959"", ""7744510"", ""7683923""]",
