query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7249906"", ""7210828"", ""7650369"", ""7857011"", ""7603720"", ""7604867"", ""7453053"", ""7607702"", ""7148053"", ""2748356""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7513573"", ""7727336"", ""7706545"", ""7732555"", ""7443000"", ""8000201"", ""7857011"", ""7290835"", ""7366758"", ""7942052""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7210828"", ""7453053"", ""7148053"", ""7211883"", ""7857011"", ""7419798"", ""7291363"", ""7205988"", ""7249906"", ""7650369""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""7513573"", ""7727336"", ""7706545"", ""7090935"", ""7366758"", ""7290835"", ""7732555"", ""7443000"", ""7847966"", ""7095513""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7344881"", ""7349992"", ""648979"", ""7210828"", ""7366758"", ""7857011"", ""7326126"", ""7942052"", ""7184729"", ""7093592""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7513573"", ""7443000"", ""7990813"", ""2109575"", ""7727336"", ""8000201"", ""7090935"", ""7839972"", ""7366758"", ""7249906""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""7727336"", ""7366758"", ""7513573"", ""7990813"", ""7290835"", ""7093592"", ""7103232"", ""7344881"", ""7067881"", ""7706545""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7513573"", ""7857011"", ""7210828"", ""7290835"", ""7453053"", ""7366758"", ""7093592"", ""7990813"", ""7443000"", ""7249906""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7249906"", ""7916580"", ""7544274"", ""7412330"", ""7650369"", ""7857011"", ""7871469"", ""7604867"", ""2611288"", ""7650429""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""7727336"", ""7990813"", ""7443000"", ""7513573"", ""7090935"", ""7366758"", ""7290835"", ""8000201"", ""2109575"", ""7710398""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7513573"", ""7366758"", ""7990813"", ""7344881"", ""7453053"", ""7727336"", ""7144347"", ""8000201"", ""7349992"", ""7290835""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928694"", ""7928696""]","[""7857011"", ""7650369"", ""7249906"", ""7210828"", ""7607702"", ""7603720"", ""2748356"", ""7794941"", ""7443000"", ""7092890""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7205988"", ""7249906"", ""7650369"", ""2748356"", ""2611288"", ""7607702"", ""7294412"", ""7094280"", ""3369732"", ""7619606""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7443000"", ""7290835"", ""7092890"", ""7453053"", ""7513573"", ""7732555"", ""7090935"", ""7326126"", ""7706545"", ""7249906""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7604867"", ""7210828"", ""7857011"", ""7092278"", ""7560550"", ""7290835"", ""7297354"", ""7513573"", ""7349992"", ""7416237""]",
733241,en,what is considered attire,"[""1699500""]","[""7443000"", ""7366758"", ""7513573"", ""7453053"", ""7326126"", ""7290835"", ""7090935"", ""7344881"", ""7732555"", ""2498341""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7366758"", ""7990813"", ""7513573"", ""7727336"", ""7706545"", ""7920207"", ""7942052"", ""7067881"", ""7443000"", ""7839972""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7249906"", ""7326126"", ""648979"", ""7443000"", ""7920207"", ""7453053"", ""7212118"", ""7513573"", ""7857011"", ""7210828""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7090935"", ""7443000"", ""7249906"", ""7513573"", ""7290835"", ""7706545"", ""7857011"", ""7732555"", ""7453053"", ""7092890""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7513573"", ""7290835"", ""7453053"", ""7093592"", ""7366758"", ""7210828"", ""7095513"", ""7144347"", ""7416237"", ""3250008""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7391075"", ""7256773"", ""7859435"", ""2616097"", ""7697474"", ""7387306"", ""7461876"", ""7655475"", ""1569747"", ""7249473""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7290835"", ""7210828"", ""2109575"", ""7291363"", ""7857011"", ""7443000"", ""7249906"", ""7513573"", ""7604867"", ""7453053""]",
987767,en,who roy moore lost to,"[""7290624""]","[""7443000"", ""7513573"", ""7090935"", ""7727336"", ""7990813"", ""8000201"", ""7732555"", ""7706545"", ""2943573"", ""7366758""]",
299128,en,how many units of water per month,"[""6720313""]","[""7857011"", ""7453053"", ""7412330"", ""7650369"", ""7148053"", ""7210828"", ""7249906"", ""7416237"", ""7443000"", ""2748356""]",
814132,en,what is the daily sodium limit,"[""7951365""]","[""7443000"", ""7090935"", ""7210828"", ""7453053"", ""7513573"", ""7290835"", ""7857011"", ""7092890"", ""7249906"", ""7706545""]",
874257,en,what literary device does the author use to describe johnny's mugging the outsiders,"[""7867405""]","[""7990813"", ""7727336"", ""7366758"", ""7513573"", ""7093592"", ""7103232"", ""7697790"", ""7819771"", ""7095513"", ""7104920""]",
868598,en,what kind of grades do you need to be a dental hygienist,"[""7743190""]","[""7513573"", ""7453053"", ""7443000"", ""7290835"", ""8000201"", ""7210828"", ""7144347"", ""7090935"", ""7857011"", ""7416237""]",
1071609,en,why is noise a problem,"[""7816796""]","[""7857011"", ""7443000"", ""7513573"", ""7706545"", ""7090935"", ""7249906"", ""7732555"", ""7416237"", ""7210828"", ""7847966""]",
