query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7236848"", ""7476064"", ""6031553"", ""7141425"", ""7620658"", ""7086394"", ""7177755"", ""7930167"", ""2778390"", ""7719551""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7917896"", ""7238172"", ""7263134"", ""7496073"", ""7210550"", ""7846219"", ""7218253"", ""7170029"", ""7984546"", ""7202929""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""6031553"", ""7314595"", ""7970167"", ""7696820"", ""7451844"", ""7168121"", ""7134858"", ""7086394"", ""7620658"", ""7414111""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""7097506"", ""7227684"", ""7079747"", ""7666789"", ""7108576"", ""7947278"", ""7184269"", ""7549452"", ""2591569"", ""2057086""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""6031553"", ""7970167"", ""7134858"", ""7728737"", ""7355207"", ""7620658"", ""7451844"", ""7177755"", ""7777467"", ""7925547""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7846219"", ""7218253"", ""7224174"", ""7097506"", ""7236848"", ""7452097"", ""7210550"", ""7917896"", ""7689875"", ""7550335""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""7097506"", ""7236848"", ""2591569"", ""7147108"", ""2778390"", ""7930167"", ""7965665"", ""7177755"", ""7202929"", ""7932458""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""6031553"", ""7670327"", ""7236848"", ""7736398"", ""7930167"", ""7134858"", ""7851203"", ""7503056"", ""7620658"", ""4374679""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7550335"", ""7218253"", ""7846219"", ""7236848"", ""7202929"", ""7601989"", ""7097506"", ""7210550"", ""7238172"", ""7224174""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""7097506"", ""7202929"", ""7452097"", ""7965665"", ""7758892"", ""7267095"", ""7224174"", ""7210550"", ""2591569"", ""7142166""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""6031553"", ""7620658"", ""7736398"", ""7236848"", ""7601382"", ""7086394"", ""7550335"", ""7930167"", ""4374679"", ""7802224""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928694"", ""7928696""]","[""7097506"", ""7147108"", ""7965665"", ""7803677"", ""7325613"", ""7108576"", ""2591569"", ""7226212"", ""7267095"", ""7797366""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7787010"", ""7314595"", ""7915505"", ""7550591"", ""7079010"", ""7332881"", ""7654442"", ""7600516"", ""7234304"", ""7299803""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7177755"", ""7476064"", ""7236848"", ""7601989"", ""7701325"", ""7096788"", ""7930167"", ""7550335"", ""7188993"", ""2778390""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""6031553"", ""7314595"", ""7236848"", ""7696820"", ""7620658"", ""7787010"", ""7134858"", ""7682029"", ""7770587"", ""7738859""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""2158849"", ""7550591"", ""7491438"", ""7806005"", ""7138502"", ""7218253"", ""7601989"", ""7550335"", ""7930167"", ""7727961""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7917896"", ""7238172"", ""7218253"", ""7097506"", ""7491438"", ""7689875"", ""7138502"", ""7144655"", ""7727961"", ""7550335""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7097506"", ""7238172"", ""7202929"", ""7452097"", ""7758892"", ""7965665"", ""7842616"", ""7267095"", ""7218253"", ""2517017""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7787010"", ""7728737"", ""7236848"", ""6031553"", ""7511997"", ""7476064"", ""7537962"", ""7620658"", ""7266872"", ""6115458""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7267095"", ""7097506"", ""7118110"", ""7692127"", ""7108576"", ""7965665"", ""7127592"", ""7147108"", ""7452097"", ""7428820""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""2616097"", ""7637414"", ""7231321"", ""7095513"", ""7221325"", ""7434863"", ""7548874"", ""7592463"", ""2699347"", ""7185024""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7314595"", ""6031553"", ""7414111"", ""7696820"", ""7236848"", ""7600516"", ""7332881"", ""7597092"", ""7168121"", ""7451844""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7097506"", ""7550335"", ""7930167"", ""7202929"", ""7224174"", ""7236848"", ""7846219"", ""7399923"", ""7210550"", ""2591569""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7601989"", ""7236848"", ""7701325"", ""7930167"", ""7177755"", ""7160918"", ""2158849"", ""7727961"", ""7550591"", ""7605111""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7097506"", ""2778390"", ""7144237"", ""7236848"", ""2591569"", ""7666789"", ""7084522"", ""7550335"", ""2057086"", ""7930167""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7965665"", ""7803677"", ""7097506"", ""2591569"", ""7226212"", ""7932458"", ""7267095"", ""7234971"", ""7147108"", ""7199352""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7097506"", ""7202929"", ""7452097"", ""7224174"", ""7842616"", ""2517017"", ""7210550"", ""7657603"", ""7267095"", ""7147108""]",
