query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate,ret_top1_lang
1000012,es-en,"¿ Dónde está Weston, fl?","[""7942175|en"", ""7942175|es"", ""7942175|zh""]","[""7942175|es"", ""7942175|en"", ""7942175|zh"", ""7237344|en"", ""7237344|es"", ""7083125|es"", ""7373623|en"", ""3999090|en"", ""7505049|en"", ""7198842|zh""]",0.25,es
1000030,es-en,¿ Dónde occur la formación de microtúbulos?,"[""7264233|en"", ""7264233|es"", ""7264233|zh""]","[""7264233|es"", ""7264233|en"", ""7572557|zh"", ""7224101|en"", ""7138096|en"", ""7572557|en"", ""7224101|es"", ""7264233|zh"", ""7661149|zh"", ""7363058|es""]",0.16666666666666663,es
1000061,es-en,definir : procrastinate,"[""7264199|en"", ""7264199|es"", ""7264199|zh""]","[""7264199|en"", ""7264199|es"", ""7207135|es"", ""7264199|zh"", ""7408045|es"", ""7207135|en"", ""4250974|es"", ""7207135|zh"", ""7206869|zh"", ""7666375|zh""]",0.5,en
1000185,es-en,donde trabaja a plant pathologist,"[""7264001|en"", ""7264001|es"", ""7264001|zh""]","[""7264001|en"", ""7264001|es"", ""7264001|zh"", ""7478424|en"", ""7266960|es"", ""7341497|es"", ""7341497|en"", ""7248275|en"", ""7266960|en"", ""6182047|en""]",0.5,en
1000202,es-en,donde vive a moose,"[""4526068|en"", ""4526068|es"", ""4526068|zh""]","[""7234247|en"", ""7234247|es"", ""4526068|en"", ""7845492|es"", ""7845382|es"", ""7228891|en"", ""7456543|zh"", ""7239443|es"", ""7456543|es"", ""588288|es""]",0.5,en
1000232,es-en,¿ Dónde se refugia a eel?,"[""7263962|en"", ""7263962|es"", ""7263962|zh""]","[""1584740|en"", ""7254580|en"", ""7124447|en"", ""7124447|zh"", ""7124447|es"", ""7331507|en"", ""7476737|en"", ""7321941|en"", ""4526068|es"", ""7263962|zh""]",0.4,en
1000246,es-en,¿ Dónde colocas la iluminación de cove?,"[""7263923|en"", ""7263923|es"", ""7263923|zh""]","[""7263923|en"", ""7997607|es"", ""7625812|es"", ""7263923|es"", ""7927005|es"", ""7997607|en"", ""7625812|zh"", ""7927005|en"", ""7444632|es"", ""7620650|en""]",0.2857142857142857,en
1000270,es-en,define : marino,"[""7263764|en"", ""7263764|es"", ""7263764|zh""]","[""7767920|es"", ""7263764|es"", ""7263764|en"", ""7654644|en"", ""4309017|en"", ""7959617|en"", ""7767920|en"", ""69016|es"", ""7263764|zh"", ""7959617|es""]",0.5,es
1000334,es-en,define : logos,"[""7263655|en"", ""7263655|es"", ""7263655|zh""]","[""7263655|en"", ""7263655|es"", ""7221920|en"", ""7887241|es"", ""7558949|zh"", ""7887241|en"", ""7334427|en"", ""7558949|es"", ""7334427|es"", ""4548592|en""]",0.5,en
1000373,es-en,donde esta buried wovoka,"[""7732653|en"", ""7732653|es"", ""7732653|zh""]","[""7732653|es"", ""7732653|en"", ""7732653|zh"", ""7238811|es"", ""7251500|zh"", ""7763592|es"", ""7760780|en"", ""7493809|en"", ""7493809|zh"", ""7760780|es""]",0.25,es
1000422,es-en,¿ Dónde está county de Wyoming NY?,"[""7930357|en"", ""7930357|es"", ""7930357|zh""]","[""7930357|en"", ""7930357|es"", ""7107732|es"", ""7930357|zh"", ""7107732|en"", ""7121167|en"", ""7120979|en"", ""7121167|es"", ""7259749|en"", ""114326|en""]",0.2857142857142857,en
1000459,es-en,¿ Dónde live las arañas viuda negra en Estados Unidos?,"[""7263355|en"", ""7263355|es"", ""7263355|zh"", ""7263359|en"", ""7263359|es"", ""7263359|zh""]","[""7263359|es"", ""7578709|es"", ""7263355|es"", ""7263359|en"", ""7263359|zh"", ""7578709|en"", ""7263355|en"", ""7097135|es"", ""7097131|es"", ""7578709|zh""]",0.11111111111111116,es
