query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7291031"", ""7612265"", ""7317854"", ""7677270"", ""7320299"", ""7515703"", ""7212357"", ""7341116"", ""7485083"", ""6434120""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""4166744"", ""7187801"", ""7497729"", ""7941440"", ""7105524"", ""7412266"", ""7213810"", ""7526095"", ""7151752"", ""7297119""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7814188"", ""7685173"", ""7343059"", ""7412499"", ""7291031"", ""7455552"", ""7825985"", ""331907"", ""7873532"", ""7556232""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""7967869"", ""7699364"", ""7659510"", ""1956360"", ""7656121"", ""7283876"", ""7448175"", ""7402833"", ""7221317"", ""7503643""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7677270"", ""7492838"", ""7188745"", ""3457698"", ""7341116"", ""7612265"", ""7317854"", ""7291031"", ""7095546"", ""7574781""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7556559"", ""7967869"", ""7187801"", ""7468600"", ""7659510"", ""7283876"", ""7215674"", ""7990677"", ""7771662"", ""7367246""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""7659510"", ""7069399"", ""7356210"", ""7201584"", ""7321249"", ""7556559"", ""7448175"", ""7903633"", ""53048"", ""7798149""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7331507"", ""7492838"", ""7515703"", ""7341116"", ""7814188"", ""7771662"", ""7677270"", ""3027782"", ""7645101"", ""7237007""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7556559"", ""7967869"", ""7187801"", ""7283876"", ""7468600"", ""7485083"", ""7990677"", ""7558145"", ""7215674"", ""7367246""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""7201584"", ""7468600"", ""7474924"", ""7069399"", ""7903633"", ""7321249"", ""7793616"", ""7556559"", ""7696181"", ""7394962""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7814188"", ""7069399"", ""7677270"", ""7356210"", ""7506835"", ""7341116"", ""7320299"", ""7515703"", ""7095546"", ""6434120""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928694"", ""7928696""]","[""225765"", ""7394962"", ""7201584"", ""7152420"", ""7069399"", ""5547145"", ""7356210"", ""7412988"", ""7798407"", ""1072807""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7685173"", ""7799016"", ""7825985"", ""7657465"", ""7228664"", ""7556232"", ""7291031"", ""7500245"", ""7710480"", ""7320053""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7612265"", ""7578759"", ""7556559"", ""7558145"", ""7317854"", ""7456054"", ""7201584"", ""7212357"", ""7291031"", ""7485083""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7685173"", ""7291031"", ""7814188"", ""7771662"", ""7677270"", ""7412499"", ""3027782"", ""7095957"", ""7990677"", ""7825985""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7527675"", ""7283876"", ""7558145"", ""7367246"", ""7232313"", ""7305308"", ""7472357"", ""7121375"", ""7124099"", ""7659510""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7659510"", ""7206877"", ""7809143"", ""7358573"", ""7341787"", ""7283876"", ""7367246"", ""7187801"", ""7124099"", ""7990677""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7356210"", ""7659510"", ""7980571"", ""7809143"", ""7069399"", ""1072807"", ""7394962"", ""7311273"", ""7594747"", ""7907779""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7291031"", ""7685173"", ""7990677"", ""3085781"", ""7141272"", ""7379763"", ""7485083"", ""7327960"", ""7080008"", ""7342624""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7201584"", ""7412988"", ""7903633"", ""7152420"", ""7069399"", ""225765"", ""4099943"", ""7967869"", ""7402833"", ""7333881""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7702097"", ""7405327"", ""7088626"", ""7086125"", ""7497533"", ""2329639"", ""7479235"", ""7469009"", ""7480779"", ""7785666""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7237007"", ""7556232"", ""7291031"", ""7095957"", ""7236174"", ""7685173"", ""7814188"", ""7228664"", ""7657465"", ""7825985""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7556559"", ""7304054"", ""7558145"", ""7321249"", ""7485083"", ""7283876"", ""7990677"", ""7356210"", ""3027782"", ""7378608""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7485083"", ""7558145"", ""1057449"", ""7141272"", ""7727336"", ""7201584"", ""7236267"", ""7933778"", ""7662630"", ""1765752""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7967869"", ""7556559"", ""7069399"", ""7677270"", ""7320299"", ""7659510"", ""7283876"", ""7558145"", ""7578759"", ""7201584""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7201584"", ""7069399"", ""7394962"", ""296158"", ""225765"", ""7659510"", ""7448175"", ""1072807"", ""7152420"", ""7333881""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7069399"", ""7659510"", ""7394962"", ""7321249"", ""7311273"", ""7448175"", ""7356210"", ""7352778"", ""1072807"", ""7556559""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""6434120"", ""7356210"", ""7291031"", ""7990677"", ""7273499"", ""7771662"", ""7485083"", ""7606300"", ""7375177"", ""7973866""]",
