query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7206684"", ""1335588"", ""7659466"", ""7492132"", ""7229862"", ""7527060"", ""7165807"", ""7933971"", ""7692857"", ""7213490""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7105678"", ""1878861"", ""7858842"", ""7028429"", ""7318694"", ""7152404"", ""7224927"", ""7128290"", ""7085238""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7670160"", ""7679596"", ""1033337"", ""1163812"", ""1323273"", ""7314613"", ""7455776"", ""8001916"", ""7089741"", ""7112464""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7272684"", ""7595500"", ""7704366"", ""7695991"", ""7688312"", ""7363414"", ""7240277"", ""7480666"", ""7686930""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7966808"", ""298259"", ""7512430"", ""7531239"", ""5099300"", ""298257"", ""7325629"", ""4948436"", ""7980638""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7805080"", ""7239171"", ""7490735"", ""7287434"", ""7355808"", ""7125366"", ""7890349"", ""7789644"", ""7290137"", ""7847456""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7926476"", ""7216092"", ""7830190"", ""2468148"", ""991142"", ""7420461"", ""1455862"", ""3353086""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7213343"", ""7105483"", ""7082559"", ""7907440"", ""7763140"", ""67596"", ""7254447"", ""7192480""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7777896"", ""3349239"", ""7929230"", ""7458932"", ""7206592"", ""7674848"", ""2995657""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7383642"", ""7287518"", ""7769977"", ""7124323"", ""3645675"", ""7290095"", ""7543272"", ""7125366"", ""7388391""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7073802"", ""7150228"", ""7919768"", ""7690299"", ""7145104"", ""7873543"", ""1310066"", ""7108984"", ""7517701""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7239751"", ""7684288"", ""7081906"", ""7915135"", ""5268318"", ""7349096"", ""7828466"", ""7268557"", ""7278580""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7848437"", ""7598769"", ""7890349"", ""7583899"", ""7433925"", ""7325989"", ""5625491"", ""7338397"", ""690939"", ""648979""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7410122"", ""7204196"", ""7236525"", ""7438631"", ""256757"", ""7862783"", ""7213876"", ""7853910"", ""7499172""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7700487"", ""7974596"", ""7311939"", ""7076146"", ""609254"", ""7187607"", ""7493757"", ""7492451"", ""7678643""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7933515"", ""7069399"", ""7647619"", ""7105762"", ""7170449"", ""7736154"", ""7857342"", ""7814282"", ""7421911"", ""7246698""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7214220"", ""7234971"", ""3429513"", ""7509051"", ""7742103"", ""7814471"", ""3970387"", ""7738141"", ""7829864"", ""2679413""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7502930"", ""7122052"", ""7459621"", ""7493514"", ""3864104"", ""7132199"", ""480677"", ""7493507"", ""5006012"", ""1903885""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""7399071"", ""1501464"", ""7332142"", ""7413320"", ""7510610"", ""7383191"", ""7380886"", ""7105534"", ""7975364""]",0.19999999999999996
