query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7239230"", ""7692857"", ""7555272"", ""7217353"", ""7944469"", ""7122373"", ""7206684"", ""3605846"", ""7691361"", ""7305139""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7028429"", ""7085238"", ""7152404"", ""7105678"", ""7858842"", ""7104920"", ""7886203"", ""7928259"", ""7691221""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7670160"", ""7112464"", ""1163812"", ""7679596"", ""1033337"", ""7455776"", ""7089741"", ""7199997"", ""7676140"", ""663950""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7679312"", ""7595500"", ""7146364"", ""4191529"", ""7871824"", ""7536026"", ""7308077"", ""7688312"", ""7133842""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7531239"", ""7325629"", ""7067077"", ""7082042"", ""7125409"", ""7471105"", ""7103054"", ""7915790"", ""7153828"", ""7139764""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7124323"", ""7303666"", ""5972440"", ""7355808"", ""7732555"", ""7789933"", ""7900419"", ""7805080"", ""7983669"", ""7296899""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""7865401"", ""4582296"", ""2468148"", ""7216092"", ""7881110"", ""3353086"", ""7284311"", ""7245877"", ""7396947""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7618484"", ""7188652"", ""7242879"", ""7541544"", ""7435832"", ""7280593"", ""7577963""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7674848"", ""7867320"", ""7965476"", ""7402796"", ""249560"", ""7777896"", ""7100247""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7291425"", ""7888038"", ""7382065"", ""7957815"", ""1285360"", ""4439219"", ""7646041"", ""7750201"", ""7935110""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7505618"", ""7188975"", ""7356443"", ""7073802"", ""7956784"", ""7339731"", ""7167848"", ""7215081"", ""7733435""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""1480397"", ""7708657"", ""7555333"", ""7188758"", ""7130660"", ""7558643"", ""7651243"", ""7706870"", ""7196420""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7416687"", ""7857224"", ""3584350"", ""7367996"", ""7320539"", ""7713961"", ""7412266"", ""7524156"", ""7433792"", ""7846964""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7410122"", ""7095708"", ""7936377"", ""7236525"", ""7601337"", ""7862783"", ""7086985"", ""7809074"", ""256757""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""609254"", ""7076146"", ""7700487"", ""7311939"", ""7974596"", ""7493757"", ""7223077"", ""7187607"", ""7492935""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7933515"", ""7840602"", ""7647619"", ""1699500"", ""7170449"", ""7421911"", ""7766841"", ""7812024"", ""7715036"", ""7856651""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7738141"", ""7081759"", ""7964686"", ""7829864"", ""7253685"", ""7843451"", ""7624410"", ""7566190"", ""7393774"", ""7924333""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""4696351"", ""7493507"", ""480677"", ""7125283"", ""7765651"", ""7107443""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""7196833"", ""7461753"", ""7510610"", ""7399071"", ""1501464"", ""7105534"", ""7975364"", ""1414091"", ""2263573""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7598745"", ""7645183"", ""7934632"", ""7394645"", ""7834912"", ""7996617"", ""7241543"", ""7395889"", ""7798621"", ""7073772""]",0.125
992193,zh-en,谁创造了适者生存的概念？ charles darwin karl marx赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7217405"", ""7912439"", ""7107894"", ""7247765"", ""4772781"", ""7720711"", ""7751451"", ""7276511"", ""7983669""]",0.2857142857142857
829915,zh-en,经父母consent ，堪萨斯州的marriage age是多少,"[""7787972""]","[""7787972"", ""6395661"", ""5060899"", ""7100617"", ""7221882"", ""7600840"", ""4586411"", ""7106774"", ""7900321"", ""5194464""]",0.25
987767,zh-en,罗伊摩尔lost to了谁,"[""7290624""]","[""7290624"", ""7607111"", ""7990677"", ""7250839"", ""7577263"", ""7610327"", ""7849570"", ""7436481"", ""7835218"", ""7744675""]",0.19999999999999996
299128,zh-en,每月多少units的水,"[""6720313""]","[""77985"", ""2173490"", ""7461178"", ""7708335"", ""7073976"", ""7376730"", ""6720313"", ""2336191"", ""7367996"", ""7440310""]",0.19999999999999996
814132,zh-en,什么是每日钠limit,"[""7951365""]","[""7951365"", ""7837801"", ""714998"", ""1738230"", ""7559170"", ""6519900"", ""7979516"", ""7772677"", ""1006621"", ""7567998""]",0.19999999999999996
874257,zh-en,作者用什么文学手法来describe约翰尼抢mugging外人的行为,"[""7867405""]","[""7867405"", ""7430397"", ""7695210"", ""7430396"", ""4860839"", ""7420923"", ""8002171"", ""7907059"", ""7405441"", ""7381328""]",0.25
868598,zh-en,你需要什么样的grades才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""7863564"", ""7360530"", ""7743190"", ""7901950"", ""7944021"", ""7583542"", ""6348579"", ""929425"", ""7391225""]",0.09999999999999998
