query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7622515"", ""7305139"", ""7206684"", ""7272695"", ""7924840"", ""7659466"", ""7492132"", ""7555272"", ""7853204"", ""7933971""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7105678"", ""7858842"", ""7152404"", ""1878861"", ""7085238"", ""7028429"", ""7318694"", ""7619153"", ""7826216""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7452987"", ""1033337"", ""663950"", ""7455776"", ""7709708"", ""7089741"", ""7679596"", ""7630491"", ""7312387""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7272684"", ""4191529"", ""7581583"", ""7595500"", ""7211811"", ""7606531"", ""7313355"", ""7193473"", ""7480666""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7966808"", ""7533102"", ""7112652"", ""5584747"", ""1979597"", ""382685"", ""5440644"", ""7512430"", ""2445156"", ""7375710""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""7789644"", ""7287434"", ""1757350"", ""4506030"", ""7329333"", ""7490735"", ""1086058"", ""6125530"", ""7290137""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""7100389"", ""991142"", ""1455862"", ""7216092"", ""2468148"", ""7787994"", ""7926476"", ""7830190""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7763743"", ""67588"", ""7200796"", ""7763140"", ""7105483"", ""7907440"", ""8003099"", ""67596"", ""7907439"", ""7082559""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7929230"", ""3349239"", ""7458932"", ""7240603"", ""7696612"", ""7107654"", ""34489""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7888038"", ""7286801"", ""7121598"", ""7880839"", ""1663521"", ""7126053"", ""7846757"", ""7877828""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7621537"", ""7929939"", ""7943897"", ""804081"", ""3166969"", ""7470363"", ""7614573"", ""7150228"", ""7437141""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7998086"", ""7915135"", ""7239751"", ""7937435"", ""7907074"", ""7240126"", ""7625523"", ""7091598"", ""7274366""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433925"", ""7210214"", ""7255867"", ""7783998"", ""2743909"", ""7905618"", ""7840105"", ""7273604"", ""7377787"", ""7275926""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""256757"", ""166256"", ""7236525"", ""7121801"", ""7853910"", ""7850214"", ""7083239"", ""7236909"", ""924613""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7974596"", ""7076146"", ""7700487"", ""7311939"", ""609254"", ""7187607"", ""7493757"", ""11527"", ""7312387""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7421911"", ""7597656"", ""7170449"", ""7857342"", ""7814282"", ""7171569"", ""1699500"", ""7766841"", ""7204833""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7214220"", ""7234971"", ""3429513"", ""2358879"", ""7843451"", ""7389537"", ""7899750"", ""7676511"", ""7742103"", ""7124689""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""5006012"", ""7459621"", ""1903885"", ""7493514"", ""4696351"", ""651395"", ""7537844""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""1501464"", ""7510610"", ""7380886"", ""7332142"", ""7826584"", ""7105534"", ""7383191"", ""7975364"", ""4291627""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7934632"", ""7384736"", ""7957869"", ""7996617"", ""7834912"", ""7394645"", ""7916888"", ""7645183"", ""1623543""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7773767"", ""7902044"", ""7107894"", ""7959617"", ""7983669"", ""7625516"", ""7939189"", ""7278395""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7167740"", ""3799029"", ""5898158"", ""7358369"", ""7234193"", ""7811094"", ""7599232"", ""7900321"", ""7378072""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7879331"", ""7138432"", ""7992165"", ""7436481"", ""7461249"", ""7531622"", ""7181095"", ""7843451"", ""7106317""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""7563235"", ""1616468"", ""7096348"", ""7440310"", ""2336191"", ""7249833"", ""7325989"", ""2173490"", ""1987259"", ""7776376""]",
