query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate,ret_top1_lang
1000012,zh-es,weston Florida在哪里,"[""7942175|en"", ""7942175|es"", ""7942175|zh""]","[""7942175|en"", ""7942175|es"", ""7942175|zh"", ""7832965|zh"", ""7117266|zh"", ""1459045|en"", ""7237344|en"", ""7427403|zh"", ""7832965|en"", ""7959720|en""]",0.5,en
1000030,zh-es,微管形成在哪里ocurre,"[""7264233|en"", ""7264233|es"", ""7264233|zh""]","[""7264233|zh"", ""7264233|es"", ""7264233|en"", ""2707930|zh"", ""2707930|es"", ""7460915|zh"", ""7224101|zh"", ""3132814|en"", ""7572557|zh"", ""5170039|es""]",0.19999999999999996,zh
1000061,zh-es,定义： procrastinar,"[""7264199|en"", ""7264199|es"", ""7264199|zh""]","[""7264199|es"", ""7264199|en"", ""7264199|zh"", ""7207135|es"", ""7408045|es"", ""7666375|zh"", ""7253021|es"", ""7408045|en"", ""7678188|zh"", ""7132028|es""]",0.5,es
1000185,zh-es,fitopatólogo在哪里工作,"[""7264001|en"", ""7264001|es"", ""7264001|zh""]","[""7264001|es"", ""7264001|en"", ""7264001|zh"", ""7219019|es"", ""7797584|zh"", ""8008166|en"", ""7566983|es"", ""7219019|en"", ""7890819|en"", ""7563366|es""]",0.4,es
1000202,zh-es,驼鹿vive在哪里,"[""4526068|en"", ""4526068|es"", ""4526068|zh""]","[""7234247|zh"", ""7097131|zh"", ""4526068|zh"", ""2523360|es"", ""7097135|zh"", ""7918976|es"", ""7280205|zh"", ""7239443|zh"", ""7913785|en"", ""7918976|en""]",0.25,zh
1000232,zh-es,angula在哪里栖息？,"[""7263962|en"", ""7263962|es"", ""7263962|zh""]","[""7263962|es"", ""1499955|en"", ""7879693|es"", ""7657825|zh"", ""7824302|zh"", ""7264405|es"", ""2206447|en"", ""7324191|es"", ""7806501|en"", ""7651271|en""]",0.25,es
1000246,zh-es,你在哪里放置iluminación cala,"[""7263923|en"", ""7263923|es"", ""7263923|zh""]","[""7263923|es"", ""7927005|es"", ""7927005|zh"", ""7944569|es"", ""7444632|zh"", ""7944569|zh"", ""7263923|en"", ""7997607|es"", ""7927005|en"", ""7263923|zh""]",0.33333333333333337,es
1000270,zh-es,definir ：海洋,"[""7263764|en"", ""7263764|es"", ""7263764|zh""]","[""7263764|zh"", ""7263764|en"", ""7767920|zh"", ""7263764|es"", ""7487314|en"", ""7767920|en"", ""7487314|zh"", ""7487314|es"", ""7767920|es"", ""4974648|zh""]",0.5,zh
1000334,zh-es,定义： logos,"[""7263655|en"", ""7263655|es"", ""7263655|zh""]","[""7263655|es"", ""7263655|en"", ""7221920|en"", ""7887241|es"", ""7560487|es"", ""7887241|en"", ""7558949|zh"", ""7266627|zh"", ""7016640|es"", ""7334427|zh""]",0.5,es
1000373,zh-es,wovoka埋在哪里,"[""7732653|en"", ""7732653|es"", ""7732653|zh""]","[""7732653|es"", ""7732653|en"", ""7732653|zh"", ""7251500|zh"", ""7872201|en"", ""7935307|es"", ""7872201|es"", ""7261836|en"", ""3178082|es"", ""7293855|zh""]",0.5,es
