query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7217353"", ""7229862"", ""7527060"", ""7078822"", ""7272695"", ""7165807"", ""7154100"", ""7488637"", ""7492132""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7292184"", ""7152404"", ""7858842"", ""7105678"", ""7396043"", ""7245028"", ""1878861"", ""7287723"", ""7224927""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7112464"", ""7959219"", ""1033337"", ""7795418"", ""7801066"", ""1163812"", ""7996955"", ""7459302"", ""8001916""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7148904"", ""7133583"", ""4191529"", ""7375334"", ""7283678"", ""7688312"", ""7816587"", ""1159597"", ""7439743""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7531239"", ""5584747"", ""7199795"", ""7647509"", ""7471105"", ""7796400"", ""7139764"", ""7719947"", ""7295767"", ""7533102""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7239171"", ""7329333"", ""7624731"", ""7209022"", ""3394797"", ""7805080"", ""7694677"", ""7124323"", ""7302021"", ""7259526""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7245877"", ""7216092"", ""7420461"", ""2468148"", ""7624848"", ""4582296"", ""7127941"", ""7100572"", ""7773767""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""67588"", ""7763743"", ""5910812"", ""7257833"", ""7082559"", ""7213343"", ""7466996"", ""7626411"", ""7907439"", ""7283703""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7965476"", ""7107654"", ""7674848"", ""7402796"", ""7206592"", ""7977659"", ""3349239""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7085516"", ""7888038"", ""7383642"", ""7302021"", ""7287518"", ""7935493"", ""7290260"", ""7624731"", ""7806882""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7026760"", ""7156063"", ""7327215"", ""7487159"", ""7541371"", ""7147226"", ""7169836"", ""7167848"", ""7277016""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7861394"", ""7944469"", ""7217353"", ""7358221"", ""7235946"", ""7229862"", ""7235939"", ""7564409""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7433925"", ""7273604"", ""7992043"", ""7433792"", ""7826945"", ""110910"", ""7380886"", ""7196833"", ""7695522"", ""233414""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""924613"", ""7236525"", ""7236909"", ""4484371"", ""7597092"", ""7889379"", ""7213876"", ""7601337"", ""7438631""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7076146"", ""7311939"", ""7974596"", ""7700487"", ""609254"", ""6723094"", ""7493757"", ""7492451"", ""7073109""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7069399"", ""7555333"", ""3900009"", ""7647619"", ""7816587"", ""7826945"", ""7814282"", ""7171569"", ""889435""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7899750"", ""3429513"", ""7843451"", ""7402399"", ""960180"", ""7598385"", ""7814471"", ""7742103"", ""7829864"", ""7084529""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""5200958"", ""7765651"", ""7573009"", ""4948097"", ""480677"", ""7073140""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""7273604"", ""7510610"", ""7674001"", ""7196833"", ""7442410"", ""1501464"", ""7695522"", ""7380886"", ""7332142""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7934632"", ""7834912"", ""7645183"", ""7514078"", ""7714548"", ""7816587"", ""7666564"", ""176136"", ""7341185""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7276511"", ""7956784"", ""7773767"", ""7886668"", ""7666564"", ""7095246"", ""7273604"", ""7253127""]",0.23529411764705888
829915,es-en,¿ Cuál es la edad para contraer marriage en Kansas con el consentimiento de parental?,"[""7787972""]","[""7787972"", ""7221882"", ""7167740"", ""7358369"", ""7790637"", ""7866575"", ""6395661"", ""7468059"", ""7097506"", ""7900321""]",0.19999999999999996
987767,es-en,con quien Roy Moore lost,"[""7290624""]","[""7290624"", ""7574541"", ""1365882"", ""7718324"", ""7289144"", ""7275935"", ""4765911"", ""2796936"", ""7415038"", ""8004401""]",0.19999999999999996
299128,es-en,cuántas unidades de water por mes,"[""6720313""]","[""6720313"", ""7297131"", ""7776376"", ""7364616"", ""7438982"", ""7579062"", ""7563235"", ""7325989"", ""7073976"", ""7376730""]",0.16666666666666663
814132,es-en,cuál es el limit diario de sodio,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7567998"", ""2304767"", ""7617550"", ""3545260"", ""7528795"", ""1460244"", ""7568006""]",0.1428571428571429
874257,es-en,¿ Qué recurso literario utiliza the author para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7907059"", ""7204340"", ""7244994"", ""7681560"", ""7433620"", ""7793907"", ""7102190"", ""363824"", ""7126120""]",0.1333333333333333
868598,es-en,¿ Qué notas necesitas para ser hygienist dental?,"[""7743190""]","[""7360526"", ""7360530"", ""7743190"", ""7863564"", ""7688776"", ""7267535"", ""7944021"", ""6348579"", ""7583542"", ""7371307""]",0.1428571428571429
1071609,es-en,¿ Por qué el ruido es un problem?,"[""7816796""]","[""7087019"", ""7235939"", ""7747072"", ""7235946"", ""7816796"", ""7216983"", ""7511610"", ""7979664"", ""7250048"", ""1011107""]",0.1428571428571429
663595,es-en,que genre es rob thomas,"[""7465375""]","[""7465375"", ""7689707"", ""7204388"", ""7302021"", ""7247338"", ""7235939"", ""7286222"", ""7235946"", ""7272164"", ""7357232""]",0.19999999999999996
1062203,es-en,¿ Por qué Brad Pitt y Angelina Jolie se divorce?,"[""7569446""]","[""7569446"", ""7138192"", ""7430929"", ""7966632"", ""7541190"", ""7859734"", ""1718067"", ""7901881"", ""7864039"", ""7292030""]",0.11111111111111116
182644,es-en,examples de síntomas de abstinencia de drogas,"[""7935405""]","[""7173651"", ""7935405"", ""7140020"", ""7759718"", ""7966805"", ""7486505"", ""4631846"", ""8000498"", ""7611857"", ""7486503""]",0.1428571428571429
931029,es-en,¿ Cuál es el size promedio de pepino?,"[""7812195""]","[""7277294"", ""7096154"", ""7205573"", ""7725783"", ""7185925"", ""7812195"", ""7236918"", ""7874158"", ""7479581"", ""7561164""]",0.1428571428571429
924580,es-en,de que se hace el whisky de wheat,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7077056"", ""7986348"", ""7235939"", ""7223320"", ""7181127"", ""7367627"", ""7897090"", ""7970283""]",0.125
837702,es-en,¿ Qué es lo opuesto al helium?,"[""7799527""]","[""7799527"", ""644710"", ""7135073"", ""7201584"", ""7241709"", ""7235859"", ""7414822"", ""7216073"", ""2995657"", ""7674924""]",0.16666666666666663
1033156,es-en,¿ Cuál es el real nombre del jefe maestro?,"[""7212940""]","[""7290002"", ""1285360"", ""7078555"", ""7231956"", ""7226965"", ""7212940"", ""7287029"", ""7284160"", ""7231993"", ""7526367""]",0.125
1079185,es-en,¿ Qué pasa cuando una corporación se disuelve y has deudas?,"[""53048""]","[""53048"", ""7397256"", ""3592709"", ""7943121"", ""6417290"", ""7814471"", ""7883166"", ""7934197"", ""1140905"", ""7834328""]",0.09999999999999998
171534,es-en,¿ Algún automóvil use aire acondicionado para help a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7739302"", ""7492286"", ""7067759"", ""7127370"", ""7095246"", ""7215725"", ""7818798"", ""7457418""]",0.2222222222222222
838500,es-en,¿ Cómo se llama la parte de tu brazo donde extraen blood?,"[""4707882""]","[""4707882"", ""7273634"", ""7518380"", ""7342775"", ""6140452"", ""7630376"", ""7110063"", ""1440644"", ""7178409"", ""1077002""]",0.09090909090909094
361285,es-en,cómo quitar la mancha de orina de gato de carpet,"[""7401706""]","[""7401706"", ""7392272"", ""8000759"", ""7990241"", ""7561515"", ""7365714"", ""7211336"", ""7085272"", ""7910955"", ""7072465""]",0.18181818181818177
1074603,es-en,por qué usar videos para marketing y promotions,"[""7845422""]","[""7845422"", ""613301"", ""7544522"", ""7816587"", ""7388532"", ""7659801"", ""7154100"", ""7734910"", ""7380009"", ""7276521""]",0.125
931783,es-en,¿ Cuál es la diferencia entre la autoimagen y self concept?,"[""7830900""]","[""7830900"", ""7164081"", ""7104622"", ""7871793"", ""7761396"", ""7909394"", ""7816587"", ""7100389"", ""7095246"", ""7702367""]",0.19999999999999996
1096025,es-en,¿ Cuánto paga el estado a nurses en md?,"[""7541711""]","[""7541711"", ""7195763"", ""7959134"", ""6584729"", ""7447492"", ""363604"", ""7195729"", ""7658002"", ""7310747"", ""7463865""]",0.2222222222222222
