query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7272695"", ""7217353"", ""7968171"", ""7672368"", ""7659466"", ""7300747"", ""1335588"", ""7305139"", ""7358221""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7224927"", ""7531201"", ""7318694"", ""7728323"", ""7841152"", ""7170513"", ""7634757"", ""7152404"", ""7434058""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7431188"", ""7113578"", ""5764941"", ""7389103"", ""7216437"", ""7909588"", ""559585"", ""7167778"", ""7582356"", ""7628200""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""4191529"", ""7308077"", ""1849766"", ""7704366"", ""7146364"", ""7272684"", ""1159597"", ""7155638"", ""7375334""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""5584747"", ""5440644"", ""7531239"", ""7714765"", ""670962"", ""588235"", ""7132300"", ""7176034"", ""5099300"", ""7079853""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""8005121"", ""7286801"", ""7824464"", ""7219200"", ""7572869"", ""7888038"", ""7858559"", ""270380"", ""7623844"", ""1285360""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""2468148"", ""4582296"", ""7769217"", ""7216092"", ""7619153"", ""7619857"", ""7318902"", ""7105483"", ""3703498""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7943543"", ""7626410"", ""7318902"", ""7435832"", ""7466996"", ""7178601"", ""7626411""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""7491456"", ""3349239"", ""7182995"", ""7107654"", ""7458932"", ""7766264""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7688588"", ""7225539"", ""7305445"", ""7239729"", ""7286750"", ""7290260"", ""7124323"", ""7764195"", ""7971544""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7898048"", ""7333096"", ""7178887"", ""7174315"", ""7929939"", ""7919768"", ""7541371"", ""7221273"", ""7636329""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7176947"", ""7864191"", ""7558643"", ""7861394"", ""7079907"", ""7358221"", ""7371895"", ""7601153""]",0.11111111111111116
