query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""1335588"", ""7502195"", ""7272695"", ""7492132"", ""7672368"", ""7555272"", ""7933971"", ""7659466"", ""7985667""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7028429"", ""1878861"", ""7085238"", ""7292184"", ""7761431"", ""7105678"", ""7102315"", ""7495093"", ""7957524""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""1033337"", ""7670160"", ""7959219"", ""7112464"", ""7679596"", ""7089741"", ""5764941"", ""7795418"", ""7508730"", ""7310262""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""7688312"", ""7375334"", ""7308077"", ""7439743"", ""7704366"", ""7146364"", ""7133583"", ""7679312""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7132300"", ""6117526"", ""7282832"", ""4785576"", ""7236359"", ""7078754"", ""7097479"", ""7081600"", ""7264543"", ""7962531""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""270380"", ""7355250"", ""7636646"", ""7490735"", ""7289730"", ""7623844"", ""7906424"", ""7209022"", ""7239171"", ""1757350""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""7619857"", ""2468148"", ""7211302"", ""1455862"", ""7719848"", ""991142"", ""7970388"", ""7284311""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""67588"", ""7763743"", ""7466996"", ""8003099"", ""7082559"", ""7943543"", ""7626411"", ""7213343"", ""7626410"", ""7259545""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""3349239"", ""7080008"", ""7158898"", ""7206592"", ""7977659"", ""7777896"", ""7402796"", ""4671299"", ""5990309""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7764195"", ""7290260"", ""7880839"", ""7758195"", ""7125360"", ""7124323"", ""7750201"", ""7121598""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7026760"", ""7717805"", ""7125495"", ""7659801"", ""7764675"", ""7681232"", ""7621537"", ""7333096"", ""7534867""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7358221"", ""7861394"", ""7274366"", ""7928696"", ""7985667"", ""7154106"", ""7691361"", ""7619341""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7433925"", ""7433792"", ""7623591"", ""3748377"", ""7695522"", ""7392437"", ""648979"", ""7992043"", ""7905618"", ""7331507""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7095708"", ""7083240"", ""7601337"", ""7410122"", ""7213529"", ""7236525"", ""7862783"", ""7849778"", ""7086985""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7974596"", ""7311939"", ""7700487"", ""609254"", ""7187607"", ""7493757"", ""3654352"", ""476664"", ""7312387""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7171569"", ""7170449"", ""1699500"", ""7421911"", ""7736585"", ""7649080"", ""7715036"", ""7857342"", ""7573780""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7081759"", ""7389537"", ""7829864"", ""7214220"", ""7742103"", ""7843451"", ""7924333"", ""3429513"", ""7899750"", ""960180""]",0.18181818181818177
