query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7985667"", ""7272695"", ""2038018"", ""7305462"", ""7122373"", ""8003079"", ""7944469"", ""7968171"", ""7082136""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7266832"", ""7396043"", ""7957524"", ""7262494"", ""7292184"", ""7028429"", ""7548969""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""7679596"", ""7519478"", ""7089741"", ""7455776"", ""7630491"", ""7748256"", ""7345967"", ""7500634"", ""7452987""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7595500"", ""7485202"", ""7795529"", ""7828735"", ""7230736"", ""7475390"", ""7679312"", ""4191529"", ""1159597""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7966808"", ""7913681"", ""7641338"", ""7528849"", ""3399995"", ""7617714"", ""7402905"", ""7506794"", ""7375386"", ""764872""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7302021"", ""1086058"", ""7327050"", ""7797459"", ""7329333"", ""7927438"", ""7789644"", ""7125366"", ""7398690"", ""7805080""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""991142"", ""4582296"", ""2468148"", ""1455862"", ""7521532"", ""7896414"", ""7754146"", ""7284311"", ""7741588""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7435832"", ""7541544"", ""7763743"", ""7291994"", ""7466996"", ""7482587"", ""7280593"", ""7640927"", ""7934813""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7402796"", ""7080008"", ""7674848"", ""3349239"", ""7107654"", ""7210335"", ""7100247"", ""7777896""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7927438"", ""7124323"", ""7646041"", ""7642657"", ""7750201"", ""7286801"", ""7806882"", ""7413726"", ""7292304""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""1111528"", ""7204229"", ""7677755"", ""7971951"", ""7449195"", ""7532949"", ""7663540"", ""7674273"", ""7984373""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7079907"", ""7116305"", ""7646548"", ""7305462"", ""7120060"", ""7546427"", ""7341097"", ""7928696"", ""7625523""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""6093010"", ""7416687"", ""7826945"", ""7273604"", ""648979"", ""7534069"", ""7809714"", ""7255867"", ""7857224""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7597092"", ""7095708"", ""7410122"", ""7809074"", ""7679151"", ""7973805"", ""256757"", ""7438631"", ""7236909""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7311939"", ""7700487"", ""7974596"", ""7187607"", ""7076146"", ""7493757"", ""609254"", ""11527"", ""7353666""]",
733241,en,what is considered attire,"[""1699500""]","[""2158081"", ""7597656"", ""7933515"", ""7232021"", ""7546106"", ""7171569"", ""7141797"", ""7555333"", ""7813171"", ""7440960""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7081759"", ""7924333"", ""7628825"", ""7721578"", ""7829864"", ""7253685"", ""7234971"", ""7494558"", ""2536541"", ""7738141""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7502930"", ""1903885"", ""7107443"", ""7852029"", ""7192386"", ""7901803"", ""7122052"", ""7493514"", ""7765651"", ""7893963""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7728289"", ""7196833"", ""7826584"", ""5558092"", ""7510610"", ""7362402"", ""233414"", ""7967858"", ""1501464"", ""7140296""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7598745"", ""7645183"", ""7073772"", ""7714548"", ""1623543"", ""7934632"", ""7394645"", ""2558125"", ""7834912"", ""7508484""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7247765"", ""7541544"", ""7107894"", ""7937784"", ""7837350"", ""7170288"", ""7217405"", ""7951438""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7787972"", ""7900321"", ""7106774"", ""7100617"", ""7167740"", ""7358369"", ""7723393"", ""7559824"", ""7560358"", ""3799029""]",
987767,en,who roy moore lost to,"[""7290624""]","[""7290624"", ""7591713"", ""7461249"", ""7275935"", ""7607111"", ""7800943"", ""7222275"", ""7990677"", ""7231423"", ""7569528""]",
