query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""1335588"", ""7527060"", ""7201584"", ""7492132"", ""7305139"", ""7379549"", ""7206684"", ""7924840"", ""3276300"", ""331907""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""1878861"", ""7858842"", ""7152404"", ""7028429"", ""7318694"", ""7085238"", ""7128290"", ""7081391""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7452987"", ""7679596"", ""1033337"", ""7089741"", ""7455776"", ""7345967"", ""7670160"", ""7519478"", ""7112464"", ""7312387""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7598541"", ""7272684"", ""7418684"", ""4191529"", ""7606531"", ""7581583"", ""3434715"", ""7193473"", ""7308077""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7112652"", ""7533102"", ""7430482"", ""7654082"", ""7325629"", ""7524000"", ""1979597"", ""7641338"", ""7113662"", ""7966808""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7805080"", ""7950004"", ""7355808"", ""3909183"", ""7329333"", ""7490735"", ""7890349"", ""7287434"", ""7290137"", ""7679168""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7926476"", ""7216092"", ""3353086"", ""7842280"", ""7773767"", ""991142"", ""7830190"", ""2468148""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7200796"", ""7763140"", ""67596"", ""7435832"", ""7213343"", ""7907440"", ""7082559"", ""7105483""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""7080008"", ""3349239"", ""7158898"", ""7777896"", ""7969020"", ""7210335"", ""7458932"", ""7674848"", ""7166774""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7124323"", ""7888038"", ""7877828"", ""7121598"", ""7490252"", ""7388391"", ""7286801"", ""7769977"", ""7764195""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7150228"", ""7621537"", ""7775134"", ""751120"", ""7919768"", ""7299175"", ""7929939"", ""7299171"", ""7568477""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7240126"", ""7998086"", ""7239751"", ""7558643"", ""7209206"", ""7915135"", ""7349096"", ""7625523"", ""7081906""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7210214"", ""7695522"", ""6093010"", ""4984236"", ""7583899"", ""7255867"", ""7840105"", ""7771662""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""256757"", ""7853910"", ""166256"", ""7236525"", ""7850214"", ""73799"", ""7973805"", ""7121801"", ""4404202""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7700487"", ""7974596"", ""7311939"", ""7076146"", ""7389316"", ""7187607"", ""609254"", ""7493757"", ""7678643"", ""11527""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7170449"", ""7597656"", ""7857342"", ""7421911"", ""7069399"", ""7246698"", ""7171569"", ""7856651"", ""1699500""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7214220"", ""7676511"", ""3847797"", ""7145485"", ""3429513"", ""7554646"", ""2679413"", ""7234971"", ""7926327"", ""7081759""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""651395"", ""7493514"", ""7493507"", ""7459621"", ""7113372"", ""1903885"", ""5006012""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""7510610"", ""7105534"", ""1501464"", ""7495024"", ""7719947"", ""4425196"", ""7745886"", ""7319118"", ""7653673""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7645183"", ""7384736"", ""7916888"", ""7996617"", ""7073772"", ""1623543"", ""7341517"", ""7661963"", ""7934632""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7599140"", ""7107894"", ""7902044"", ""7773767"", ""7763743"", ""7103961"", ""7902342"", ""7276511""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""5898158"", ""7900321"", ""7167740"", ""7811094"", ""7234193"", ""7358369"", ""7599232"", ""7106774"", ""7274439""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7942709"", ""7281607"", ""7290624"", ""7230875"", ""7180124"", ""1365882"", ""7759872"", ""7120076"", ""7161863"", ""3135398""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7650901"", ""7096348"", ""7776376"", ""7073976"", ""7249833"", ""7440310"", ""7563235"", ""6720313"", ""1616468"", ""1987259""]",
