query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7069399"", ""7515703"", ""7333881"", ""7677270"", ""7356210"", ""7320299"", ""7316160"", ""7688622"", ""7341116"", ""7492838""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7356210"", ""7468600"", ""7659510"", ""7082706"", ""7342585"", ""7304054"", ""7486211"", ""4166744"", ""6434120"", ""7069399""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7814188"", ""7343059"", ""7303798"", ""7412499"", ""7141348"", ""7418762"", ""7506835"", ""7685173"", ""7455552"", ""7316910""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""7320299"", ""7967869"", ""7771662"", ""7574147"", ""7556559"", ""7356210"", ""7694788"", ""7215674"", ""7378608"", ""3027782""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7515703"", ""7198274"", ""7824758"", ""7341116"", ""7188745"", ""7814188"", ""7642173"", ""7318629"", ""7677270"", ""3457698""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7187801"", ""128110"", ""7468600"", ""7082706"", ""7967869"", ""7659510"", ""7341787"", ""7556559"", ""7672918"", ""7907779""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""7356210"", ""6434120"", ""7771662"", ""7556559"", ""7677270"", ""7304054"", ""7990677"", ""7919615"", ""3027782"", ""7485083""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7990677"", ""7485083"", ""7688622"", ""7677270"", ""7095091"", ""7771662"", ""3027782"", ""7320299"", ""7375177"", ""7291031""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7486211"", ""7468600"", ""7356210"", ""296158"", ""225765"", ""7394962"", ""7188647"", ""1072807"", ""7659510"", ""7967869""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""7814188"", ""7339498"", ""7327721"", ""7087388"", ""7506835"", ""3937248"", ""7356210"", ""7303798"", ""7315682"", ""7680339""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7333881"", ""7069399"", ""225765"", ""7659510"", ""7503643"", ""7645149"", ""7798407"", ""7731475"", ""7198081"", ""7362321""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928694"", ""7928696""]","[""7814188"", ""7316160"", ""7864514"", ""7341116"", ""7492838"", ""7677270"", ""7824758"", ""5414767"", ""7106774"", ""7356210""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7685173"", ""7990677"", ""7291031"", ""7342624"", ""7375177"", ""7412499"", ""3085781"", ""2822795"", ""7771662"", ""7485083""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7556559"", ""7485083"", ""7291031"", ""6434120"", ""7320299"", ""7456054"", ""7375177"", ""7677270"", ""3027782"", ""7771662""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7188745"", ""7685173"", ""7556232"", ""7642173"", ""7236174"", ""7814188"", ""7095957"", ""7825985"", ""7455552"", ""7677270""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7694788"", ""7320299"", ""7277016"", ""7283876"", ""7527675"", ""7574147"", ""7556559"", ""7967869"", ""7124099"", ""7771662""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7659510"", ""7967869"", ""7069399"", ""7688622"", ""7556559"", ""7320299"", ""7771662"", ""7124099"", ""7215674"", ""7527675""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7356210"", ""7069399"", ""7771662"", ""7659510"", ""225765"", ""7394962"", ""6434120"", ""7315682"", ""7304054"", ""7980571""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7814188"", ""7291031"", ""7188745"", ""7685173"", ""7356210"", ""7375177"", ""7506835"", ""7606300"", ""6434120"", ""7412499""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7356210"", ""7069399"", ""7556559"", ""225765"", ""7200901"", ""7486211"", ""7903633"", ""6434120"", ""7967869"", ""7474924""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7405327"", ""7438593"", ""7625812"", ""7480779"", ""7088626"", ""7497533"", ""7086125"", ""7914470"", ""7702097"", ""7851582""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7320299"", ""7556559"", ""7771662"", ""7515703"", ""7967869"", ""7485083"", ""7574147"", ""7304054"", ""7990677"", ""3027782""]",0.125
987767,zh-es,罗伊摩尔con perdió 了谁,"[""7290624""]","[""7574147"", ""7320299"", ""331380"", ""7515703"", ""6177450"", ""7556559"", ""7069399"", ""7771662"", ""7378608"", ""7967869""]",0.19999999999999996
299128,zh-es,每月多少单位的agua,"[""6720313""]","[""7356210"", ""7659510"", ""7967869"", ""7556559"", ""7677270"", ""296158"", ""7201584"", ""7215674"", ""3027782"", ""7485083""]",0.19999999999999996
814132,zh-es,什么是每日钠límite,"[""7951365""]","[""7320299"", ""7515703"", ""7677270"", ""7993478"", ""7967869"", ""7317603"", ""7597237"", ""7574781"", ""7318629"", ""7824758""]",0.19999999999999996
874257,zh-es,作者用什么文学手法来描述约翰尼抢劫局forasteros的atraco,"[""7867405""]","[""7201584"", ""7356210"", ""7659510"", ""7069399"", ""296158"", ""7394962"", ""7333881"", ""7578759"", ""7192340"", ""7556559""]",0.16666666666666663
868598,zh-es,你需要什么样的成绩才能成为一名higienista dental,"[""7743190""]","[""225765"", ""7814188"", ""7492838"", ""7069399"", ""7341116"", ""7490212"", ""7356210"", ""7397648"", ""7333881"", ""6177450""]",0.19999999999999996
1071609,zh-es,为什么噪音是个problema,"[""7816796""]","[""7356210"", ""7814188"", ""7506835"", ""7990677"", ""7291031"", ""7771662"", ""7303798"", ""6434120"", ""7688622"", ""7343059""]",0.19999999999999996
663595,zh-es,罗伯·托马斯是什么genero的,"[""7465375""]","[""7333881"", ""7069399"", ""7659510"", ""225765"", ""7139798"", ""7448175"", ""7201584"", ""7468600"", ""7503643"", ""296158""]",0.16666666666666663
1062203,zh-es,为什么布拉德皮特和angelina Jolie离婚,"[""7569446""]","[""7356210"", ""6434120"", ""7506835"", ""7342872"", ""7771662"", ""7990677"", ""7273499"", ""6006595"", ""7201584"", ""7485083""]",0.2857142857142857
182644,zh-es,药物戒断症状的ejemplos,"[""7935405""]","[""225765"", ""7069399"", ""1240847"", ""1072807"", ""7980571"", ""7742068"", ""7333881"", ""7402833"", ""7486211"", ""7311273""]",0.19999999999999996
931029,zh-es,黄瓜的promedio大小是多少,"[""7812195""]","[""7659510"", ""7485083"", ""7556559"", ""7990677"", ""4166744"", ""7187801"", ""7468600"", ""7206877"", ""7283876"", ""7941440""]",0.16666666666666663
924580,zh-es,什么威士忌是由trigo制成的,"[""7853736"", ""7853738""]","[""7291031"", ""7990677"", ""6434120"", ""7304054"", ""7485083"", ""7771662"", ""7606300"", ""7506835"", ""7356210"", ""7814188""]",0.1428571428571429
