query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7217353"", ""7272695"", ""7305462"", ""7206684"", ""7492132"", ""7244910"", ""7561164"", ""7861394"", ""2008909"", ""7210335""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7235946"", ""7235939"", ""7969020"", ""7104920"", ""7541544"", ""7684046"", ""7262494"", ""7292184"", ""3259271""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7089741"", ""7628200"", ""7996955"", ""7815435"", ""1903885"", ""7902167"", ""1033337"", ""7459302"", ""7670160"", ""8000492""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""1159597"", ""4191529"", ""7148904"", ""7697631"", ""7455344"", ""7808278"", ""7735648"", ""7942458"", ""7145016""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""5584747"", ""7199795"", ""7531239"", ""7112336"", ""7568217"", ""7139764"", ""5830945"", ""4486381"", ""7647509"", ""7402600""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7239171"", ""7767103"", ""7572869"", ""7355808"", ""7329333"", ""7624731"", ""7311236"", ""7888038"", ""7290137"", ""7695693""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7216092"", ""7719848"", ""2917712"", ""7105479"", ""2468148"", ""7164845"", ""7926476"", ""7738446"", ""7245877""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7541544"", ""7763743"", ""67588"", ""7474496"", ""7943543"", ""7485241"", ""7435832"", ""7082559"", ""7462170"", ""7280593""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7080008"", ""3349239"", ""7158898"", ""7969020"", ""7965476"", ""7206592"", ""7777896"", ""7491456"", ""7202929""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7888038"", ""7806882"", ""7383642"", ""7985724"", ""7355625"", ""7767103"", ""7750201"", ""7935493"", ""7292304""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7487159"", ""7115754"", ""7279218"", ""7532949"", ""7237531"", ""7814829"", ""7456010"", ""7147226"", ""7339731""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7558643"", ""7684288"", ""7804442"", ""7806932"", ""7861394"", ""7165807"", ""7239751"", ""7305462"", ""2038018""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7211660"", ""7623591"", ""7826945"", ""7902114"", ""1537108"", ""7806932"", ""7806346"", ""7995270""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7095708"", ""7964726"", ""7853910"", ""7236525"", ""7213876"", ""7204196"", ""7841769"", ""924613"", ""4404202""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7389316"", ""7700487"", ""7974596"", ""7311939"", ""609254"", ""7226690"", ""7076146"", ""7312387"", ""3041398"", ""2951555""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7933515"", ""7415019"", ""7647619"", ""5976199"", ""7257216"", ""7171569"", ""7421911"", ""7736585"", ""7815435"", ""7235946""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7984340"", ""7112788"", ""7566190"", ""7738141"", ""7534362"", ""7953291"", ""7219256"", ""7236359"", ""2524631"", ""7953883""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7122052"", ""5200958"", ""7502930"", ""1903885"", ""7493514"", ""7498309"", ""7272453"", ""7405669"", ""7493507"", ""7852029""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7068509"", ""7442410"", ""1588461"", ""7653673"", ""7104769"", ""7392279"", ""7902167"", ""3308241"", ""7328076"", ""7925573""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7645183"", ""7077823"", ""7714548"", ""7181768"", ""7934632"", ""7510067"", ""7917141"", ""7514078"", ""7585034""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7938552"", ""7394614"", ""7541544"", ""7502092"", ""7276511"", ""7886668"", ""7957964"", ""7202929"", ""7164845""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7787972"", ""7167740"", ""7221882"", ""7358369"", ""7962748"", ""7790637"", ""5898158"", ""7378072"", ""7106774"", ""7559824""]",0.125
987767,zh-es,罗伊摩尔con perdió 了谁,"[""7290624""]","[""7289144"", ""7591713"", ""7302021"", ""1365882"", ""7610327"", ""7235946"", ""7541544"", ""7607111"", ""7445716"", ""7095246""]",0.19999999999999996
299128,zh-es,每月多少单位的agua,"[""6720313""]","[""7776376"", ""7297131"", ""6720313"", ""7384920"", ""7219870"", ""7463564"", ""2673480"", ""7864191"", ""7559905"", ""2438646""]",0.19999999999999996
814132,zh-es,什么是每日钠límite,"[""7951365""]","[""7567998"", ""714998"", ""7837801"", ""7617550"", ""3545260"", ""7951365"", ""1460244"", ""7591413"", ""7999136"", ""2304767""]",0.19999999999999996
874257,zh-es,作者用什么文学手法来描述约翰尼抢劫局forasteros的atraco,"[""7867405""]","[""7867405"", ""7235946"", ""7235939"", ""7204388"", ""7938563"", ""3789036"", ""7397022"", ""7302021"", ""7523816"", ""7456010""]",0.16666666666666663
868598,zh-es,你需要什么样的成绩才能成为一名higienista dental,"[""7743190""]","[""7360530"", ""7360526"", ""7743190"", ""7863564"", ""7545801"", ""7944021"", ""6348579"", ""7371307"", ""7959134"", ""7688776""]",0.19999999999999996
1071609,zh-es,为什么噪音是个problema,"[""7816796""]","[""7816796"", ""7564409"", ""7104908"", ""7354572"", ""7879904"", ""7953291"", ""7498811"", ""8000550"", ""7996420"", ""7238394""]",0.19999999999999996
663595,zh-es,罗伯·托马斯是什么genero的,"[""7465375""]","[""7689707"", ""7290399"", ""7465375"", ""7647619"", ""7235946"", ""7302021"", ""7272164"", ""7235939"", ""7963400"", ""7294715""]",0.16666666666666663
1062203,zh-es,为什么布拉德皮特和angelina Jolie离婚,"[""7569446""]","[""7569446"", ""7339164"", ""7456010"", ""7095246"", ""7869800"", ""7535439"", ""7647619"", ""7235946"", ""7695693"", ""7292030""]",0.2857142857142857
182644,zh-es,药物戒断症状的ejemplos,"[""7935405""]","[""7935405"", ""7140020"", ""7299269"", ""7543956"", ""7477943"", ""7374761"", ""7498309"", ""7205356"", ""7535534"", ""8000498""]",0.19999999999999996
931029,zh-es,黄瓜的promedio大小是多少,"[""7812195""]","[""7217353"", ""7812195"", ""7314658"", ""7383364"", ""7454642"", ""7606902"", ""7350855"", ""7384920"", ""7479581"", ""7902114""]",0.16666666666666663
924580,zh-es,什么威士忌是由trigo制成的,"[""7853738"", ""7853736""]","[""7235946"", ""7235939"", ""7876305"", ""7754696"", ""7202929"", ""7518306"", ""7853736"", ""7472917"", ""7986348"", ""7853738""]",0.1428571428571429
