query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7961975"", ""7627440"", ""7680402"", ""7998238"", ""7569528"", ""7750201"", ""7180900"", ""7908385"", ""7483627"", ""7296579""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7151957"", ""7662630"", ""7437295"", ""7667918"", ""7132734"", ""7709708"", ""7614573"", ""7608548"", ""7262592"", ""7397186""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7079658"", ""7094494"", ""7782982"", ""7882748"", ""7774324"", ""7301644"", ""7950135"", ""7855509"", ""7985702"", ""7201762""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7151957"", ""7132734"", ""7894387"", ""7841152"", ""7437295"", ""7662630"", ""7667918"", ""7608548"", ""7660489"", ""7709708""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7151957"", ""7662630"", ""7756655"", ""7814745"", ""7315525"", ""7315887"", ""7450620"", ""5063917"", ""7387480"", ""7370681""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7939043"", ""1518421"", ""7948484"", ""7269399"", ""7512151"", ""2754742"", ""7979438"", ""7550802"", ""7246550"", ""7683921""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""7927897"", ""7638397"", ""7306399"", ""7533565"", ""2022279"", ""7491998"", ""7761112"", ""7259638"", ""7215190"", ""7143171""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7611118"", ""2206447"", ""822036"", ""7669040"", ""7277338"", ""7403119"", ""7246108"", ""7391075"", ""7989957"", ""1222245""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7939043"", ""1518421"", ""7948484"", ""7683921"", ""2754742"", ""7246550"", ""7269399"", ""7635340"", ""7550802"", ""7512151""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7151957"", ""7662630"", ""7437295"", ""7667918"", ""7132734"", ""7709708"", ""7614573"", ""7608548"", ""7140982"", ""7262592""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7939043"", ""7948484"", ""1518421"", ""2754742"", ""7979438"", ""7512151"", ""7246550"", ""7683921"", ""2763110"", ""7635340""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7232337"", ""4860839"", ""2496088"", ""7988639"", ""7733761"", ""7310262"", ""7154781"", ""7716198"", ""7198645"", ""7411777""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7151957"", ""7132734"", ""7841152"", ""7894387"", ""7437295"", ""7662630"", ""7896365"", ""7533932"", ""7943554"", ""7660489""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7151957"", ""7662630"", ""7437295"", ""7455744"", ""7601194"", ""7431830"", ""7290019"", ""7931628"", ""7387480"", ""7370681""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7948484"", ""7939043"", ""1518421"", ""7512151"", ""7269399"", ""7635340"", ""2754742"", ""7683921"", ""7550802"", ""2763110""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7151957"", ""7662630"", ""7894387"", ""7132734"", ""7667918"", ""7709708"", ""7437295"", ""7756655"", ""7614573"", ""7380649""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""3259271"", ""7151957"", ""7715703"", ""7724672"", ""2938225"", ""5851905"", ""7224343"", ""7653064"", ""7533932"", ""7132734""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7306399"", ""7283642"", ""7143171"", ""7705713"", ""7871055"", ""2022279"", ""7776263"", ""7793129"", ""7994733"", ""7224343""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7151957"", ""7662630"", ""7894387"", ""7437295"", ""7667918"", ""7132734"", ""7614573"", ""7709708"", ""7387480"", ""7370681""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7151957"", ""7662630"", ""7437295"", ""7667918"", ""7132734"", ""7709708"", ""7614573"", ""7608548"", ""7140982"", ""7397186""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7961975"", ""7680402"", ""7569528"", ""7627440"", ""7750201"", ""7180900"", ""7607816"", ""7998238"", ""7705782"", ""7908385""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7151957"", ""7132734"", ""7841152"", ""7894387"", ""7437295"", ""7662630"", ""7667918"", ""7660489"", ""7608548"", ""7533932""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7532380"", ""7736585"", ""7952963"", ""7701591"", ""7596550"", ""7229801"", ""7151957"", ""7149654"", ""7862213"", ""7959219""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""7151957"", ""7715703"", ""7662630"", ""4902384"", ""7238426"", ""7437295"", ""7894387"", ""7262592"", ""7132734"", ""7879592""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""7151957"", ""7662630"", ""7262592"", ""7132734"", ""7437295"", ""7894387"", ""7709708"", ""7841152"", ""7667918"", ""7149882""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7260599"", ""7669704"", ""7959701"", ""7691066"", ""7427364"", ""7230656"", ""7166057"", ""7400322"", ""7208523"", ""7494558""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7151957"", ""7662630"", ""7894387"", ""7437295"", ""7667918"", ""7132734"", ""7614573"", ""7709708"", ""7387480"", ""7370681""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7151957"", ""7662630"", ""7262592"", ""7132734"", ""7437295"", ""7894387"", ""7667918"", ""7709708"", ""7841152"", ""7149882""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7151957"", ""7662630"", ""7437295"", ""7614573"", ""7894387"", ""7709708"", ""7238426"", ""7667918"", ""7931628"", ""7387480""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7151957"", ""7662630"", ""7667918"", ""7262592"", ""7437295"", ""7894387"", ""7375334"", ""7756655"", ""7306080"", ""7879009""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7151957"", ""7662630"", ""7894387"", ""7437295"", ""7709708"", ""7238426"", ""7149882"", ""7608548"", ""7841152"", ""7614573""]",
931029,es,¿Cuál es el tamaño promedio de pepino?,"[""7812195""]","[""7151957"", ""7662630"", ""7437295"", ""7894387"", ""7709708"", ""7667918"", ""7614573"", ""7132734"", ""7387480"", ""7370681""]",
924580,es,de que se hace el whisky de trigo,"[""7853738"", ""7853736""]","[""7151957"", ""7662630"", ""7437295"", ""7894387"", ""7667918"", ""7756655"", ""7132734"", ""7375334"", ""7879009"", ""7709708""]",
837702,es,¿Qué es lo opuesto al helio?,"[""7799527""]","[""7151957"", ""7437295"", ""7662630"", ""7667918"", ""7132734"", ""7709708"", ""7614573"", ""7608548"", ""7262592"", ""7140982""]",
1033156,es,¿Cuál es el verdadero nombre del jefe maestro?,"[""7212940""]","[""7151957"", ""7662630"", ""7437295"", ""7455744"", ""7601194"", ""7431830"", ""7290019"", ""7931628"", ""7387480"", ""7370681""]",
1079185,es,¿Qué pasa cuando una corporación se disuelve y tiene deudas?,"[""53048""]","[""7391075"", ""7989957"", ""7975262"", ""7159600"", ""7277338"", ""1222245"", ""7246108"", ""2206447"", ""822036"", ""7480724""]",
171534,es,¿Algún automóvil usa aire acondicionado para ayudar a descongelar?,"[""7385189""]","[""7961975"", ""7680402"", ""7627440"", ""7998238"", ""7801066"", ""7296579"", ""7491803"", ""7661709"", ""7180900"", ""7750201""]",
838500,es,¿Cómo se llama la parte de tu brazo donde extraen sangre?,"[""4707882""]","[""822036"", ""7246108"", ""7989957"", ""7997089"", ""7975262"", ""1222245"", ""7159600"", ""7391075"", ""7403119"", ""7480724""]",
361285,es,cómo quitar la mancha de orina de gato de la alfombra,"[""7401706""]","[""7782982"", ""7094494"", ""7079658"", ""7301644"", ""7774324"", ""7488101"", ""7855509"", ""1160731"", ""7950135"", ""7934900""]",
1074603,es,por qué usar videos para marketing y promociones,"[""7845422""]","[""7151957"", ""7132734"", ""7841152"", ""7894387"", ""7437295"", ""7662630"", ""7667918"", ""7709708"", ""7660489"", ""7608548""]",
931783,es,¿Cuál es la diferencia entre la autoimagen y el autoconcepto?,"[""7830900""]","[""7301644"", ""7094494"", ""7782982"", ""7774324"", ""7934900"", ""7079658"", ""7463561"", ""7855509"", ""7637908"", ""7132387""]",
1096025,es,¿Cuánto paga el estado a las enfermeras en md?,"[""7541711""]","[""7612722"", ""7193473"", ""7915790"", ""7867903"", ""7809028"", ""7961621"", ""7511801"", ""7316023"", ""7846439"", ""7617199""]",
1037612,es,cual es la longitud de un armadillo,"[""7205573""]","[""7151957"", ""7662630"", ""7437295"", ""7894387"", ""7667918"", ""7756655"", ""7132734"", ""7375334"", ""7709708"", ""7879009""]",
1004565,es,¿Cuándo comienza el festival de comida y vino en epcot?,"[""7255591""]","[""7079658"", ""7782982"", ""7094494"", ""7301644"", ""7882748"", ""7774324"", ""1160731"", ""7488101"", ""7463561"", ""7950135""]",
630172,es,¿Qué significa un anillo en el dedo medio?,"[""7469958""]","[""7320894"", ""7079200"", ""7089760"", ""7151957"", ""7885476"", ""2862148"", ""7068194"", ""7778754"", ""4485434"", ""7577254""]",
650157,es,¿Qué dice la expresión eres un buen huevo?,"[""7453899""]","[""7151957"", ""7662630"", ""7437295"", ""7455744"", ""7601194"", ""7431830"", ""7290019"", ""7931628"", ""7387480"", ""7370681""]",
1031761,es,cual es la estructura de una cola de caballo,"[""7215190""]","[""7320894"", ""7079200"", ""7151957"", ""7089760"", ""7068194"", ""2862148"", ""7885476"", ""7778754"", ""7577254"", ""4463513""]",
339855,es,¿Qué tan pronto debe un empleado informar una lesión en Michigan?,"[""7359547""]","[""7151957"", ""7662630"", ""7756655"", ""7667918"", ""7437295"", ""7684998"", ""7315525"", ""7814745"", ""7450620"", ""7315887""]",
1006724,es,¿Cuándo fue el día de la independencia de Tailandia?,"[""7252753""]","[""7611118"", ""822036"", ""7391075"", ""2206447"", ""7989957"", ""7277338"", ""7183152"", ""7975262"", ""1222245"", ""7144918""]",
