query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7272695"", ""7197444"", ""7206684"", ""7985667"", ""7555272"", ""7165807"", ""7305462"", ""7566992"", ""1468748"", ""7235859""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7858842"", ""7647057"", ""7292184"", ""7152404"", ""7105678"", ""7684046"", ""7415405"", ""7396043"", ""7757514""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7996955"", ""1853353"", ""7459302"", ""7245607"", ""663950"", ""7465627"", ""7679596"", ""7898346"", ""7164210"", ""670962""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""1159597"", ""7375334"", ""7697631"", ""4591673"", ""7795529"", ""7808278"", ""7160173"", ""7148904"", ""7695991""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7237598"", ""1904588"", ""7285586"", ""4486381"", ""7966804"", ""7902167"", ""3326733"", ""7987997"", ""921438"", ""7538477""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7239171"", ""7490735"", ""7643675"", ""7290137"", ""7387422"", ""7125398"", ""7288284"", ""7572869"", ""7890349"", ""7983669""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""7245877"", ""3353086"", ""7216092"", ""7846219"", ""7719848"", ""7284311"", ""7123349"", ""2468148"", ""7131335""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7541544"", ""7763743"", ""7318902"", ""7876093"", ""7082559"", ""67588"", ""7435832"", ""7943543"", ""7787203"", ""7292675""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""3349239"", ""7080008"", ""7709283"", ""7206592"", ""7438982"", ""7165807"", ""6975031"", ""7776233"", ""3139046"", ""7107597""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7623838"", ""7291425"", ""7124323"", ""7855353"", ""7512955"", ""4439219"", ""7285853"", ""7764195"", ""7292304""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7339731"", ""7752264"", ""7073802"", ""7695749"", ""7188975"", ""7449195"", ""7356443"", ""7532949"", ""7560613"", ""7986191""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7272695"", ""7928696"", ""7268557"", ""7850889"", ""7305462"", ""7296810"", ""7350970"", ""7483627"", ""7130660""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7416687"", ""7433792"", ""7304054"", ""7607054"", ""7598769"", ""7464831"", ""7213701"", ""5504239"", ""7405327"", ""7846964""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7973805"", ""256757"", ""7809074"", ""166256"", ""7438631"", ""7889379"", ""7849778"", ""7204196"", ""762620""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7700487"", ""7311939"", ""7493757"", ""609254"", ""7974596"", ""7187607"", ""7076146"", ""7788643"", ""7902167""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7933515"", ""7714314"", ""8008065"", ""7647619"", ""7069399"", ""7235939"", ""2524631"", ""7538426"", ""6519900"", ""2158081""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""1798522"", ""7829864"", ""7389537"", ""7253685"", ""7738141"", ""7873893"", ""7742103"", ""7598385"", ""7664065"", ""7402399""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7502930"", ""7122052"", ""651395"", ""7493514"", ""7712580"", ""7471105"", ""5200958"", ""1903885"", ""7583039"", ""7104769""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""7967858"", ""7442410"", ""233414"", ""7510610"", ""7196833"", ""7826584"", ""7490121"", ""7445485"", ""7362402""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7645183"", ""7934632"", ""7073772"", ""7714548"", ""7598745"", ""7917146"", ""7384736"", ""7535445"", ""7917141"", ""7905745""]",0.125
992193,zh-en,谁创造了适者生存的概念？ charles darwin karl marx赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7902342"", ""7730985"", ""7276511"", ""7541544"", ""7766087"", ""7242879"", ""7125772"", ""7170288""]",0.2857142857142857
829915,zh-en,经父母consent ，堪萨斯州的marriage age是多少,"[""7787972""]","[""7787972"", ""7900321"", ""7106774"", ""7167740"", ""7378072"", ""7559824"", ""7599232"", ""7358369"", ""5898158"", ""7272812""]",0.25
987767,zh-en,罗伊摩尔lost to了谁,"[""7290624""]","[""7998031"", ""7552122"", ""7607918"", ""7541544"", ""7782055"", ""5483197"", ""7290624"", ""7990677"", ""7857716"", ""7083275""]",0.19999999999999996
299128,zh-en,每月多少units的水,"[""6720313""]","[""6720313"", ""7563235"", ""7776376"", ""7364600"", ""2792154"", ""7073976"", ""7096348"", ""7994733"", ""7485559"", ""7545525""]",0.19999999999999996
814132,zh-en,什么是每日钠limit,"[""7951365""]","[""7951365"", ""714998"", ""7591413"", ""7567998"", ""1460244"", ""3545260"", ""7837801"", ""7999136"", ""7993201"", ""7485559""]",0.19999999999999996
874257,zh-en,作者用什么文学手法来describe约翰尼抢mugging外人的行为,"[""7867405""]","[""7541544"", ""7523816"", ""7809071"", ""7867405"", ""7869720"", ""7456010"", ""7550938"", ""7538426"", ""7635039"", ""7880398""]",0.25
