query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7944469"", ""46276"", ""7927894"", ""913956"", ""7305139"", ""7272695"", ""331907"", ""7908323"", ""7671426"", ""7933971""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7396043"", ""7727353"", ""7324840"", ""7548969"", ""7128290"", ""7028429"", ""7886203"", ""7452097"", ""7073310""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7670160"", ""7089741"", ""7679596"", ""7676140"", ""7345967"", ""7120060"", ""7966876"", ""7076146"", ""7996955"", ""7398383""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7871824"", ""7308077"", ""1159597"", ""7808278"", ""7595500"", ""4191529"", ""7204812"", ""7142823"", ""7679312""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7325629"", ""7409612"", ""538189"", ""298259"", ""7402905"", ""7641338"", ""3326733"", ""7528852"", ""1102325"", ""7515456""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7355808"", ""7125366"", ""7983669"", ""7906424"", ""7795356"", ""7889259"", ""7287434"", ""7239171"", ""7329333"", ""7988731""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""7273069"", ""7846219"", ""3353086"", ""7276521"", ""7521532"", ""381174"", ""4582296"", ""2468148"", ""7386744""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7435832"", ""7280593"", ""7763743"", ""67588"", ""7541544"", ""7242879"", ""7787203"", ""7626411"", ""7750562"", ""7082559""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7709283"", ""3349239"", ""7080008"", ""5705062"", ""7143675"", ""7867320"", ""7107654"", ""7943896"", ""7357084"", ""7120060""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7646041"", ""7806882"", ""7291425"", ""7927438"", ""7124323"", ""7286801"", ""7642657"", ""7750201"", ""7382065""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7665867"", ""7188975"", ""7752264"", ""7505618"", ""7237531"", ""7938563"", ""7876259"", ""7264072"", ""7471665"", ""7339731""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7079907"", ""7268557"", ""7116305"", ""7120060"", ""7155756"", ""7859835"", ""7431953"", ""7949214"", ""7264072""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7534069"", ""7416687"", ""6093010"", ""7255867"", ""7806346"", ""7273604"", ""2263573"", ""2743909"", ""7315405""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7095708"", ""7410122"", ""7597092"", ""7086985"", ""7853910"", ""7936377"", ""7121801"", ""7214721"", ""924613""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7700487"", ""7076146"", ""7389316"", ""7974596"", ""7187607"", ""7493757"", ""7846964"", ""609254"", ""7311939"", ""7312387""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7171569"", ""2158081"", ""7597656"", ""7170449"", ""1699500"", ""7421911"", ""7766841"", ""7649080"", ""3900009""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7924333"", ""7214220"", ""7412330"", ""7146913"", ""7253685"", ""7331285"", ""7628825"", ""7738141"", ""7243739"", ""7829864""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7712580"", ""1903885"", ""7107443"", ""7451812"", ""436085"", ""7735305"", ""7442410"", ""7459621""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""7510610"", ""1501464"", ""7115550"", ""7196833"", ""7442410"", ""7380886"", ""7399071"", ""7328076"", ""7461753""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7073772"", ""7645183"", ""7384736"", ""7714548"", ""7598745"", ""7934632"", ""7743190"", ""7531298"", ""7543353"", ""2558125""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7242879"", ""7107894"", ""7618604"", ""7615441"", ""7247765"", ""7435832"", ""1125992"", ""4772781"", ""7605018""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7358369"", ""7900321"", ""7167740"", ""5898158"", ""7468059"", ""6395661"", ""7106774"", ""7378072"", ""7559824""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7880797"", ""7800943"", ""7990677"", ""7146913"", ""7789374"", ""7795356"", ""7718324"", ""7607111"", ""7256455"", ""7445716""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""6720313"", ""7440310"", ""7424260"", ""7376730"", ""7776376"", ""7229678"", ""7325989"", ""2173490"", ""7461178"", ""1987259""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7837801"", ""714998"", ""7567998"", ""2336191"", ""7485559"", ""7461178"", ""1460244"", ""3545260"", ""7461776"", ""7951365""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7471665"", ""7471666"", ""7938563"", ""7125373"", ""7341001"", ""7618604"", ""7867405"", ""7637066"", ""7907059"", ""7581767""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7743190"", ""6348579"", ""7690834"", ""7360530"", ""7583542"", ""7238972"", ""7360526"", ""7498887"", ""7863564"", ""5840818""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7087019"", ""7816796"", ""7959025"", ""7209206"", ""7478795"", ""7087021"", ""7684479"", ""7140296"", ""7383417"", ""7135073""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7465375"", ""7512964"", ""7618604"", ""845751"", ""7084659"", ""7577342"", ""7247439"", ""7331921"", ""7240049"", ""7242879""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7569446"", ""7841583"", ""7573749"", ""7291282"", ""7864039"", ""7339164"", ""7688588"", ""7530341"", ""7901881"", ""7840779""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7935405"", ""4631846"", ""7364216"", ""7299269"", ""7857208"", ""7615041"", ""8000498"", ""7513659"", ""7493839"", ""7477943""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7342561"", ""7351513"", ""7812195"", ""7314658"", ""7205329"", ""7464831"", ""7601989"", ""7298577"", ""4270774"", ""5264767""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853738"", ""7853736""]","[""7288893"", ""7174558"", ""7853738"", ""7607896"", ""7234427"", ""5483197"", ""4938301"", ""4425196"", ""7849522"", ""7578826""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7119390"", ""7189483"", ""7430397"", ""7074329"", ""5675265"", ""7674924"", ""7472422"", ""7254169"", ""7938563"", ""7144782""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7146570"", ""7766910"", ""7141272"", ""7756309"", ""7200039"", ""7824897"", ""7486148"", ""7875397"", ""7582814"", ""7759913""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""53048"", ""7834328"", ""3242324"", ""7142739"", ""5152998"", ""7619863"", ""7482719"", ""7397256"", ""7871824"", ""7481271""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7392272"", ""7205001"", ""7338336"", ""7385654"", ""7079467"", ""7629794"", ""7851646"", ""7067759"", ""7626102""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""538189"", ""7983115"", ""7264072"", ""7710810"", ""7916227"", ""7882318"", ""7149808"", ""7813427"", ""7105960"", ""7979212""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7401706"", ""7834434"", ""7392272"", ""7127381"", ""7483017"", ""7072465"", ""7428189"", ""7439066"", ""7879904"", ""3864104""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7845422"", ""7544522"", ""7966136"", ""7734910"", ""7659801"", ""7078112"", ""7826615"", ""4043421"", ""7532395"", ""7189248""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7164081"", ""7830900"", ""845751"", ""7610795"", ""7873843"", ""7618604"", ""7456010"", ""7425382"", ""7987691"", ""7890507""]",
1096025,zh,国家在 md 支付护士多少钱,"[""7541711""]","[""7959134"", ""7541711"", ""363604"", ""7418182"", ""7195763"", ""7195729"", ""7400495"", ""2438646"", ""7658002"", ""7447492""]",
1037612,zh,犰狳的长度是多少,"[""7205573""]","[""7351513"", ""7601989"", ""7699906"", ""7460416"", ""7352846"", ""1202953"", ""7342561"", ""7416687"", ""7344571"", ""223537""]",
1004565,zh,epcot的美食美酒节什么时候开始,"[""7255591""]","[""7255591"", ""7325613"", ""409338"", ""7568048"", ""7375794"", ""7235946"", ""7235939"", ""7852867"", ""7082789"", ""7604742""]",
630172,zh,中指戴戒指是什么意思？,"[""7469958""]","[""7938563"", ""7075317"", ""7562472"", ""7366591"", ""7334427"", ""7523816"", ""7871824"", ""7469958"", ""7100701"", ""7618604""]",
650157,zh,你是个好蛋的表情是什么,"[""7453899""]","[""7430397"", ""7453899"", ""7125270"", ""7938563"", ""7866575"", ""7146570"", ""7235946"", ""7594620"", ""7880398"", ""2480040""]",
1031761,zh,马尾的结构是什么,"[""7215190""]","[""7697788"", ""7432455"", ""4202492"", ""7728501"", ""7105960"", ""7188052"", ""7981359"", ""5786854"", ""7155236"", ""7710810""]",
339855,zh,在密歇根州，员工多久必须报告受伤情况,"[""7359547""]","[""7359547"", ""7399340"", ""7710549"", ""7362023"", ""7712580"", ""7069832"", ""4180526"", ""7359057"", ""6611529"", ""7349980""]",
