query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7206684"", ""7165807"", ""7379549"", ""7305139"", ""7492132"", ""7555272"", ""7672368"", ""7122373"", ""7502195"", ""7934279""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""1878861"", ""7851318"", ""7858842"", ""7266832"", ""7396043"", ""7246021"", ""7324840""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""1033337"", ""7670160"", ""7455776"", ""7452987"", ""7089741"", ""7795418"", ""7314613"", ""7519478"", ""7345967"", ""7470936""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""4191529"", ""7375334"", ""7146364"", ""7522344"", ""7704366"", ""7148904"", ""7688312"", ""1159597"", ""7211811""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7533102"", ""7531239"", ""7325629"", ""298259"", ""7205952"", ""7654082"", ""7773118"", ""7528852"", ""5584747"", ""7153828""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7828507"", ""7572869"", ""7805080"", ""7983669"", ""7287434"", ""7906424"", ""7900419"", ""7125366"", ""1285360"", ""1757350""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7846219"", ""7797820"", ""2468148"", ""7216092"", ""3353086"", ""7210828"", ""7386744"", ""7847593""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7213343"", ""7259545"", ""7763743"", ""67588"", ""7914330"", ""7719848"", ""7292675"", ""1944772"", ""7257833"", ""7442703""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7158898"", ""7709283"", ""7080008"", ""7777896"", ""3349239"", ""7240603"", ""7107654"", ""34489"", ""7711538"", ""7491456""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7764195"", ""7383642"", ""7124323"", ""7290399"", ""7888038"", ""7412017"", ""7105098"", ""7935417"", ""7904910""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7901200"", ""7532949"", ""7327215"", ""7919768"", ""7621537"", ""7279218"", ""7339731"", ""7697378"", ""7089483""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7079907"", ""7864191"", ""7268557"", ""1192808"", ""6519900"", ""7116305"", ""7558643"", ""7367246""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7433925"", ""7273604"", ""7992043"", ""7623591"", ""7833470"", ""7736285"", ""7433792"", ""7809714"", ""7255867"", ""7365014""]",0.16666666666666663
