query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7659466"", ""7305139"", ""7527060"", ""7272695"", ""7924840"", ""7566992"", ""1335588"", ""7692857"", ""5501406""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7105678"", ""7224927"", ""7152404"", ""7128290"", ""7117406"", ""7318694"", ""7085238"", ""7835826"", ""7396043""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7679596"", ""1033337"", ""7426309"", ""757494"", ""7854545"", ""7983115"", ""378086"", ""7909588"", ""7452987"", ""7427000""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7704366"", ""7148904"", ""7595500"", ""7308077"", ""7962108"", ""7418684"", ""7322264"", ""7780882"", ""4191529""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""5440644"", ""7674001"", ""7132300"", ""7465923"", ""7199794"", ""6976256"", ""7512430"", ""7437540"", ""7531239"", ""7533102""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7490735"", ""7239171"", ""7329333"", ""1086058"", ""7805080"", ""7964981"", ""4506030"", ""7355808"", ""7595599"", ""7906424""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7619859"", ""7926476"", ""4582296"", ""7787994"", ""7100389"", ""7619857"", ""7738446"", ""7830190"", ""991142""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7213343"", ""7763140"", ""7257833"", ""67596"", ""7318902"", ""7435832"", ""7082559"", ""7907440""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7860609"", ""7491456"", ""7458932"", ""7674848"", ""7148994"", ""7696612""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7477283"", ""7450920"", ""7812781"", ""7286801"", ""7124323"", ""7701740"", ""7290095"", ""7615373"", ""7888038""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7116157"", ""7919768"", ""7309353"", ""7929939"", ""7373288"", ""7511266"", ""7925151"", ""7309629"", ""7026760"", ""7704737""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7558643"", ""7684288"", ""7239751"", ""7349096"", ""7081906"", ""5268318"", ""1782540"", ""1304949"", ""7525705""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7210214"", ""110910"", ""7255867"", ""7583899"", ""6093010"", ""7826945"", ""7321410"", ""7599068""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7853910"", ""7754765"", ""256757"", ""7850214"", ""4404202"", ""7601337"", ""7809074"", ""7550082"", ""1089642"", ""73799""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7700487"", ""7389316"", ""7974596"", ""7311939"", ""7076146"", ""7757063"", ""7312387"", ""7493757"", ""7487520"", ""1033337""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7933515"", ""7857342"", ""7814282"", ""3591361"", ""7597656"", ""7421911"", ""7981359"", ""889435"", ""7666142"", ""7257216""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7214220"", ""7264655"", ""7145485"", ""7156492"", ""7234971"", ""7566190"", ""7532415"", ""7509051"", ""7738141"", ""7814471""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""5006012"", ""651395"", ""3152590"", ""7493507"", ""5200958"", ""7113372"", ""3344866""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7431830"", ""7942417"", ""5026971"", ""7955124"", ""7653673"", ""7796560"", ""7156685"", ""7458144"", ""7567731"", ""7433548""]",0.19999999999999996
393696,zh-es,在texas申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7996617"", ""7934632"", ""7155303"", ""7645183"", ""7585034"", ""7916888"", ""7073772"", ""7384736"", ""7394645""]",0.125
992193,zh-es,谁创造了supervivencia apto的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""1973438"", ""7902044"", ""7723482"", ""7939189"", ""7819712"", ""7610867"", ""7259308"", ""7394614""]",0.0714285714285714
829915,zh-es,经父母同意，堪萨斯州的edad matrimonio是多少,"[""7787972""]","[""7787972"", ""7234193"", ""5898158"", ""6395661"", ""7378072"", ""7106774"", ""7167740"", ""7358369"", ""7900321"", ""7559824""]",0.125
987767,zh-es,罗伊摩尔con perdió 了谁,"[""7290624""]","[""7675084"", ""7290624"", ""7828735"", ""7281607"", ""7146289"", ""7942709"", ""7739476"", ""7952879"", ""7766283"", ""7352415""]",0.19999999999999996
299128,zh-es,每月多少单位的agua,"[""6720313""]","[""7776376"", ""7249833"", ""7096348"", ""7073976"", ""1987259"", ""2336191"", ""7326865"", ""7129589"", ""2173490"", ""7440310""]",0.19999999999999996
814132,zh-es,什么是每日钠límite,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""1460244"", ""7644018"", ""7772677"", ""7567998"", ""7070008"", ""7617550"", ""7993201""]",0.19999999999999996
874257,zh-es,作者用什么文学手法来描述约翰尼抢劫局forasteros的atraco,"[""7867405""]","[""7867405"", ""7433620"", ""4215483"", ""7612634"", ""7778543"", ""7581165"", ""7204388"", ""7681533"", ""7844736"", ""7814566""]",0.16666666666666663
868598,zh-es,你需要什么样的成绩才能成为一名higienista dental,"[""7743190""]","[""7360526"", ""7743190"", ""7360530"", ""7863564"", ""7688776"", ""6348579"", ""7944021"", ""7356690"", ""7697136"", ""882642""]",0.19999999999999996
1071609,zh-es,为什么噪音是个problema,"[""7816796""]","[""7816796"", ""7959025"", ""7747072"", ""7110766"", ""7478795"", ""433444"", ""7113289"", ""5561579"", ""1011107"", ""7953291""]",0.19999999999999996
663595,zh-es,罗伯·托马斯是什么genero的,"[""7465375""]","[""7465375"", ""7689707"", ""7138432"", ""7782401"", ""7586385"", ""7290399"", ""7695072"", ""4772781"", ""4765911"", ""7989929""]",0.16666666666666663
1062203,zh-es,为什么布拉德皮特和angelina Jolie离婚,"[""7569446""]","[""7864039"", ""7569446"", ""7946505"", ""7307861"", ""7859734"", ""7339164"", ""489053"", ""7761850"", ""8004401"", ""7229591""]",0.2857142857142857
