query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7217353"", ""7206684"", ""7492132"", ""7691361"", ""2038018"", ""7165807"", ""4798181"", ""7640838"", ""7672368"", ""7488637""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""7105678"", ""7292184"", ""7495093"", ""7969020"", ""7548969"", ""7104920"", ""7318694""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7670160"", ""7679596"", ""1033337"", ""7902167"", ""7996955"", ""7112464"", ""7345967"", ""1623640"", ""7089741"", ""7476284""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""1159597"", ""7688312"", ""7375334"", ""7856336"", ""7148904"", ""6288453"", ""7679312"", ""4191529"", ""7145016""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7531239"", ""7399600"", ""7067829"", ""7966804"", ""7486687"", ""7139764"", ""6407050"", ""298259"", ""7533102""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7239171"", ""7572869"", ""7290137"", ""7296899"", ""7767103"", ""7490735"", ""7595599"", ""7302021"", ""270380"", ""8005121""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""7532348"", ""7420461"", ""7926476"", ""277634"", ""7216092"", ""7386744"", ""7730870"", ""7213343"", ""7284311""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7474496"", ""145831"", ""7914330"", ""7257833"", ""7466996"", ""7750562"", ""7815026""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7206592"", ""7100247"", ""7107654"", ""7777896"", ""7674848"", ""7495648"", ""7402796""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7888038"", ""7341001"", ""7935417"", ""7624295"", ""7290270"", ""7687708"", ""7819524"", ""7491398"", ""7292304""]",0.16666666666666663
