query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7883329"", ""7676222"", ""7890243"", ""7388742"", ""7813215"", ""7709987"", ""7514245"", ""7276099"", ""7598541"", ""7159161""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7376225"", ""7813215"", ""7934611"", ""7165350"", ""7676222"", ""7821763"", ""4902384"", ""7790637"", ""7159161"", ""7362818""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""1163812"", ""279540"", ""3664079"", ""7785142"", ""3152590"", ""1853353"", ""7914230"", ""7400007"", ""7704923"", ""7239974""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""7362818"", ""7790637"", ""7598541"", ""7813215"", ""7231791"", ""7676222"", ""7997826"", ""7159161"", ""7728338"", ""7160918""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7610640"", ""764872"", ""7837628"", ""279540"", ""7358749"", ""7966808"", ""7966805"", ""4575609"", ""7355318"", ""795122""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7480056"", ""7376225"", ""7165350"", ""4902384"", ""7466861"", ""7821763"", ""7643877"", ""7087868"", ""7576344"", ""7865340""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""7813215"", ""7676222"", ""7619859"", ""7087868"", ""7532348"", ""1455862"", ""7159161"", ""7253127"", ""7362818"", ""7376225""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7165350"", ""7244486"", ""7676222"", ""67596"", ""7865340"", ""7598541"", ""7293950"", ""7376225"", ""4902384"", ""7813215""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7853799"", ""7635938"", ""7165350"", ""7709283"", ""4352977"", ""34489"", ""7855450"", ""7581850"", ""7971951"", ""7687342""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""7376225"", ""4902384"", ""7865340"", ""1557854"", ""7217535"", ""7261009"", ""7140121"", ""7934611"", ""7160918"", ""7165350""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7376225"", ""7676222"", ""7813215"", ""7414682"", ""7621537"", ""4902384"", ""7312683"", ""7183229"", ""7136048"", ""7116157""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928694"", ""7928696""]","[""7676222"", ""7813215"", ""7890243"", ""7598541"", ""7821763"", ""7312683"", ""7159161"", ""7514245"", ""7660760"", ""7276099""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7217535"", ""7376225"", ""7210214"", ""7783998"", ""7244486"", ""7255867"", ""7865340"", ""7840105"", ""4902384"", ""7140121""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7376225"", ""7865340"", ""7087868"", ""7676222"", ""7485083"", ""7754765"", ""4902384"", ""7934611"", ""7090739"", ""7165350""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7376225"", ""7389316"", ""279540"", ""7974596"", ""7397110"", ""5780078"", ""7785142"", ""7244486"", ""7707410"", ""7674977""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7376225"", ""7676222"", ""7813215"", ""7136048"", ""7165350"", ""7795425"", ""4902384"", ""201228"", ""7168168"", ""7598541""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7676222"", ""7813215"", ""7376225"", ""7253127"", ""7865340"", ""7165350"", ""7087868"", ""7278927"", ""7821763"", ""7112239""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7165350"", ""279540"", ""7431937"", ""7112239"", ""7785142"", ""7914230"", ""7821763"", ""7676222"", ""1052811"", ""7813215""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7376225"", ""7178393"", ""7821763"", ""7676222"", ""7865340"", ""7276099"", ""7112239"", ""7813215"", ""7890243"", ""4902384""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7362818"", ""7790637"", ""7231791"", ""7376225"", ""7598541"", ""4902384"", ""7676222"", ""7087868"", ""7159161"", ""1152650""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7376225"", ""7676222"", ""7813215"", ""7598541"", ""7883329"", ""7136048"", ""7679813"", ""7890243"", ""1557854"", ""7244486""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7790637"", ""7376225"", ""7253127"", ""7106774"", ""7800680"", ""7598541"", ""7244486"", ""7231791"", ""7674977""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7376225"", ""4902384"", ""7290624"", ""7165350"", ""201228"", ""7718329"", ""7396947"", ""4408202"", ""7813215"", ""7244486""]",
