query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7300747"", ""7272695"", ""7672368"", ""7217353"", ""1335588"", ""7659466"", ""7492132"", ""7229667"", ""7365294""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""1878861"", ""7858842"", ""7396043"", ""7105678"", ""7292184"", ""7246021"", ""7761431"", ""7085238""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7959219"", ""7112464"", ""7670160"", ""7579869"", ""7452987"", ""1033337"", ""1623640"", ""1163812"", ""7728836"", ""7801066""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""4191529"", ""7704366"", ""7146364"", ""7153782"", ""7211811"", ""7184869"", ""1849766"", ""7308077"", ""7133583""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""5584747"", ""764872"", ""7966808"", ""7531239"", ""5099300"", ""588235"", ""7067901"", ""7205952"", ""7325703"", ""7533102""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7824464"", ""7636646"", ""7623844"", ""7355250"", ""7824465"", ""7480056"", ""7906424"", ""7789644"", ""7090935"", ""7329333""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""991142"", ""1455862"", ""7105483"", ""7926476"", ""7626357"", ""4548592"", ""7438345""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7435832"", ""8003099"", ""7943543"", ""7907440"", ""7105483"", ""7178601"", ""7466996""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7402796"", ""7674848"", ""7777896"", ""7491456"", ""7107654"", ""4671299""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7290260"", ""7302021"", ""7880839"", ""7888038"", ""7124323"", ""7915665"", ""7290399"", ""7642657"", ""7764195""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7178887"", ""7929939"", ""7534867"", ""7333096"", ""7717805"", ""7026760"", ""7659801"", ""7764675"", ""4731340""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7928696"", ""7861394"", ""7358221"", ""2459114"", ""7864191"", ""7657465"", ""7244910"", ""7998086""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433925"", ""7905618"", ""7255867"", ""7992043"", ""7840105"", ""7783998"", ""7210214"", ""7885476"", ""7583899"", ""5730265""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7853910"", ""7601337"", ""7438631"", ""7410122"", ""7095708"", ""7862783"", ""256757"", ""7204196"", ""7812355""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7311939"", ""7974596"", ""609254"", ""7700487"", ""7076146"", ""7187607"", ""7493757"", ""7358988"", ""7492935""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7171569"", ""7170449"", ""1699500"", ""7301118"", ""7766841"", ""7421911"", ""7573780"", ""7856651"", ""7649080""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7389537"", ""7214220"", ""7541190"", ""1798522"", ""7243330"", ""7742103"", ""7234971"", ""7598385"", ""7081759"", ""7740040""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""7493514"", ""651395"", ""480677"", ""7537844"", ""1903885"", ""7765651"", ""7573009""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7510610"", ""7196833"", ""7105534"", ""7653673"", ""7833470"", ""7695522"", ""1414091"", ""5558092"", ""7572142""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7394645"", ""7384736"", ""7395889"", ""7098122"", ""7996617"", ""7585034"", ""7404526"", ""7372623"", ""4149002""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7466996"", ""7615958"", ""7217405"", ""7956784"", ""7082559"", ""7912439"", ""7272235"", ""7107894""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""5898158"", ""7167740"", ""7106774"", ""7900321"", ""7358369"", ""7996617"", ""4586411"", ""6395661"", ""7962748""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7574541"", ""7461249"", ""7857716"", ""2796936"", ""7335515"", ""7895995"", ""7761850"", ""7946505"", ""7090039""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""6720313"", ""7440310"", ""7776376"", ""7073976"", ""7229678"", ""2336191"", ""684240"", ""7325989"", ""2173490"", ""1987259""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""7951365"", ""714998"", ""7837801"", ""7567998"", ""3545260"", ""2304767"", ""1460244"", ""7595065"", ""5504239"", ""7528795""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7907059"", ""7253822"", ""7433620"", ""7204388"", ""7244994"", ""7845360"", ""7258894"", ""7612634"", ""7181201""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7360526"", ""7743190"", ""7360530"", ""7863564"", ""7545801"", ""7688776"", ""7901950"", ""7944021"", ""6348579"", ""882642""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7747072"", ""7087019"", ""7547448"", ""7355759"", ""433444"", ""7809228"", ""7216983"", ""1011107"", ""7262416"", ""7846533""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7465375"", ""7689707"", ""7286222"", ""7284690"", ""7842616"", ""7612172"", ""7733835"", ""7499378"", ""7286256"", ""7916200""]",
