query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7272695"", ""7985667"", ""7217353"", ""2038018"", ""7742716"", ""7079489"", ""7488637"", ""7622515"", ""2008909""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7957524"", ""7858842"", ""7548969"", ""7028429"", ""7266832"", ""7396043"", ""1878861""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7679596"", ""7519478"", ""7500634"", ""7837036"", ""7089741"", ""7459302"", ""7676140"", ""7579869"", ""1163812""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7595500"", ""7308077"", ""7795529"", ""7485202"", ""7768641"", ""7679312"", ""7828735"", ""4191529"", ""7475390""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""5584747"", ""7311549"", ""7531239"", ""7512430"", ""7688622"", ""7980638"", ""7112336"", ""7715824"", ""5830945"", ""104754""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7958566"", ""7125366"", ""7329333"", ""4506030"", ""5972440"", ""7805080"", ""7124323"", ""7287434"", ""7762982"", ""7983669""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""7275009"", ""7386744"", ""7830190"", ""2468148"", ""991142"", ""1455862"", ""7924482"", ""7847593""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""67588"", ""7435832"", ""7763743"", ""8003099"", ""7482587"", ""7213343"", ""7907439"", ""7640927"", ""7914330"", ""7466996""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""7674848"", ""3349239"", ""7107654"", ""7210335"", ""7977659"", ""7777896""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7806882"", ""7646041"", ""7642657"", ""7124323"", ""5398743"", ""7750201"", ""7817663"", ""7927438"", ""7685704""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7237531"", ""7188975"", ""7532949"", ""2753653"", ""7333096"", ""7984373"", ""7420401"", ""7895510"", ""7449195""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7619341"", ""7944469"", ""5420203"", ""7272695"", ""7659466"", ""7358221"", ""7557346"", ""7212894""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7416687"", ""7826945"", ""7433925"", ""7806346"", ""7809714"", ""7534069"", ""2263573"", ""7433792"", ""7273604"", ""7321410""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7410122"", ""7214721"", ""7438631"", ""7204196"", ""7973805"", ""7121801"", ""7809074"", ""7889379"", ""256757""]",0.125
