query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""898056"", ""7603458"", ""7550623"", ""7772714"", ""7922181"", ""7654672"", ""7083530"", ""7498811"", ""7308145"", ""7977659""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7772714"", ""7550623"", ""7712623"", ""7665317"", ""7342723"", ""7727520"", ""7102160"", ""898056"", ""7083530"", ""7429278""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7772714"", ""898056"", ""7727520"", ""7603458"", ""7665317"", ""7550623"", ""7654672"", ""7684366"", ""7083530"", ""7085946""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""7772714"", ""7083530"", ""7684366"", ""7550623"", ""7727520"", ""7654672"", ""2221813"", ""898056"", ""7603458"", ""7463059""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7772714"", ""7684366"", ""7083530"", ""7665317"", ""7572965"", ""7550623"", ""2221813"", ""7566983"", ""7871931"", ""7358369""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7772714"", ""7550623"", ""7712623"", ""898056"", ""7083530"", ""6359114"", ""7684366"", ""7352666"", ""7727520"", ""7665317""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""7772714"", ""7550623"", ""2221813"", ""7654672"", ""7566983"", ""7684366"", ""7123866"", ""7928694"", ""7222312"", ""7083530""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7550623"", ""7684366"", ""7772714"", ""7083530"", ""2221813"", ""7654672"", ""7222312"", ""7885567"", ""7429278"", ""7358369""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7772714"", ""7603458"", ""7922181"", ""7727520"", ""7519043"", ""898056"", ""7342723"", ""6359114"", ""7665317"", ""7455031""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""7772714"", ""7684366"", ""7083530"", ""7550623"", ""7712623"", ""7727520"", ""7521076"", ""1514592"", ""7463059"", ""7534469""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""2221813"", ""7654672"", ""7550623"", ""7810782"", ""7566983"", ""7083530"", ""7355759"", ""7835961"", ""7897016"", ""7991140""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928694"", ""7928696""]","[""7772714"", ""7083530"", ""7550623"", ""7922181"", ""2113439"", ""7085946"", ""7684366"", ""7303814"", ""7463059"", ""898056""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7772714"", ""7727520"", ""7665317"", ""7342723"", ""7080267"", ""7550623"", ""7083530"", ""7603458"", ""7085946"", ""7712623""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7772714"", ""898056"", ""7603458"", ""6359114"", ""7712623"", ""7308145"", ""7550623"", ""7727520"", ""7083530"", ""7806656""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7772714"", ""898056"", ""7342723"", ""7603458"", ""7712623"", ""7654672"", ""7550623"", ""7196268"", ""7727520"", ""6359114""]",
733241,en,what is considered attire,"[""1699500""]","[""7550623"", ""7654672"", ""7566983"", ""2221813"", ""7083530"", ""3250008"", ""7772714"", ""7123866"", ""7810782"", ""7684366""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7772714"", ""7550623"", ""7665317"", ""7566983"", ""7684366"", ""7083530"", ""7901905"", ""7831540"", ""7727520"", ""7677230""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7772714"", ""7684366"", ""7083530"", ""896966"", ""2221813"", ""7358369"", ""7594018"", ""7727520"", ""7550623"", ""7566983""]",
