query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7305462"", ""7206684"", ""7272695"", ""2008909"", ""7217353"", ""7561164"", ""7931739"", ""7492132"", ""7165807"", ""7522932""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7858842"", ""7292184"", ""7152404"", ""7396043"", ""7105678"", ""7957524"", ""7318694"", ""7495093"", ""7541544""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""1163812"", ""7459302"", ""7996955"", ""1033337"", ""7679596"", ""7902167"", ""3152590"", ""7455776"", ""7312387""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7148904"", ""1159597"", ""4191529"", ""7485202"", ""7782325"", ""7808278"", ""7697631"", ""7145016"", ""7856336""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7966804"", ""7067829"", ""7533102"", ""7477943"", ""7356826"", ""7374761"", ""570442"", ""7666853"", ""763010"", ""382685""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7327050"", ""7239171"", ""7302021"", ""7805080"", ""270380"", ""7767103"", ""7789644"", ""1757350"", ""7125366"", ""7490735""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""2468148"", ""4582296"", ""7216092"", ""7105479"", ""7440580"", ""381174"", ""3353086"", ""991142"", ""7719848""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""67588"", ""7763743"", ""7541544"", ""7474496"", ""7082559"", ""7466996"", ""7907439"", ""7424454"", ""7257833"", ""7943543""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7674848"", ""7965476"", ""7206592"", ""7402796"", ""7210335"", ""7491456""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7085516"", ""7888038"", ""7302021"", ""7124323"", ""7806882"", ""7767103"", ""7703688"", ""7287518"", ""7290270""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7115754"", ""7517701"", ""7146837"", ""7487159"", ""7279218"", ""7717995"", ""7714314"", ""7277016"", ""7407715""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7646548"", ""7864191"", ""7079907"", ""7268557"", ""7625523"", ""7861394"", ""7546427"", ""7305462""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433925"", ""7826945"", ""6093010"", ""7380886"", ""7433792"", ""170827"", ""3947697"", ""7783998"", ""1188159"", ""7255867""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7597092"", ""7438631"", ""7236525"", ""7809074"", ""256757"", ""7214721"", ""4484371"", ""7889379"", ""7853910""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7076146"", ""7974596"", ""7700487"", ""7311939"", ""609254"", ""2951555"", ""7187607"", ""7312387"", ""3041398""]",
733241,en,what is considered attire,"[""1699500""]","[""7597656"", ""2158081"", ""7933515"", ""7421911"", ""7069399"", ""7171569"", ""1699500"", ""6519900"", ""8004632"", ""7216876""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7829864"", ""7738141"", ""7843451"", ""7742103"", ""7244240"", ""1798522"", ""7081759"", ""7924333"", ""7926327"", ""7899750""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7122052"", ""7493514"", ""7502930"", ""5200958"", ""1903885"", ""4948097"", ""7493507"", ""7485124"", ""856874"", ""7471105""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7728289"", ""7380886"", ""7383191"", ""7458144"", ""7332142"", ""7643825"", ""7196833"", ""7442410"", ""7826945"", ""1501464""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7598745"", ""7645183"", ""7934632"", ""7714548"", ""7115754"", ""7514078"", ""1623543"", ""7531298"", ""7708506"", ""7834912""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7541544"", ""4772781"", ""7276511"", ""7886668"", ""7095246"", ""7302021"", ""7509196"", ""7217405"", ""7841769""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7787972"", ""7167740"", ""7106774"", ""7790637"", ""7100617"", ""7358369"", ""5898158"", ""7900321"", ""7962748"", ""7221882""]",
987767,en,who roy moore lost to,"[""7290624""]","[""7290624"", ""7461249"", ""7607111"", ""7645327"", ""7302021"", ""7718324"", ""7585936"", ""7445716"", ""7275935"", ""7222275""]",
299128,en,how many units of water per month,"[""6720313""]","[""7776376"", ""6720313"", ""7297131"", ""7364616"", ""7073976"", ""1987259"", ""7579062"", ""7745404"", ""7461178"", ""7563235""]",
814132,en,what is the daily sodium limit,"[""7951365""]","[""7837801"", ""7951365"", ""714998"", ""7567998"", ""7617550"", ""2304767"", ""3545260"", ""1738230"", ""1460244"", ""7595065""]",
874257,en,what literary device does the author use to describe johnny's mugging the outsiders,"[""7867405""]","[""7867405"", ""7907059"", ""7204388"", ""7523816"", ""7477283"", ""7302021"", ""7433620"", ""7156119"", ""7341001"", ""7285099""]",
868598,en,what kind of grades do you need to be a dental hygienist,"[""7743190""]","[""7743190"", ""7360530"", ""7360526"", ""7863564"", ""7267535"", ""6348579"", ""7218061"", ""7356690"", ""7944021"", ""7535069""]",
1071609,en,why is noise a problem,"[""7816796""]","[""7816796"", ""7846533"", ""7199794"", ""7747072"", ""7996420"", ""7403659"", ""8000550"", ""1011107"", ""2285677"", ""7478795""]",
