query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate,ret_top1_lang
1000012,es,"¿Dónde está Weston, Florida?","[""7942175|en"", ""7942175|es"", ""7942175|zh""]","[""7942175|en"", ""7942175|es"", ""7942175|zh"", ""7237344|es"", ""7237344|en"", ""7748192|en"", ""7748192|es"", ""7609681|en"", ""4349812|en"", ""1459045|en""]",,en
1000030,es,¿Dónde ocurre la formación de microtúbulos?,"[""7264233|en"", ""7264233|es"", ""7264233|zh""]","[""7264233|es"", ""7264233|en"", ""7259658|zh"", ""7264233|zh"", ""7224101|en"", ""5764941|zh"", ""4099943|zh"", ""7211660|es"", ""7582261|es"", ""7088568|zh""]",,es
1000061,es,definir: procrastinar,"[""7264199|en"", ""7264199|es"", ""7264199|zh""]","[""7264199|es"", ""7264199|en"", ""7264199|zh"", ""3524076|zh"", ""4305606|en"", ""4305606|es"", ""4250974|es"", ""7207135|es"", ""105442|zh"", ""309147|es""]",,es
1000185,es,donde trabaja un fitopatólogo,"[""7264001|en"", ""7264001|es"", ""7264001|zh""]","[""7264001|es"", ""7264001|zh"", ""7264001|en"", ""7341497|zh"", ""7417103|zh"", ""7341497|es"", ""7797584|zh"", ""7148073|zh"", ""7690262|zh"", ""7473461|zh""]",,es
1000202,es,donde vive un alce,"[""4526068|en"", ""4526068|es"", ""4526068|zh""]","[""7234247|es"", ""4526068|es"", ""7845492|es"", ""7845492|en"", ""7523861|es"", ""3913650|en"", ""7523861|en"", ""3913650|es"", ""7676817|zh"", ""7271568|es""]",,es
1000232,es,¿Dónde se refugia una angula?,"[""7263962|en"", ""7263962|es"", ""7263962|zh""]","[""7263962|es"", ""7655806|es"", ""7865401|es"", ""7577350|es"", ""7254580|en"", ""7264405|es"", ""7750059|zh"", ""7463950|zh"", ""7542350|es"", ""1584740|es""]",,es
1000246,es,¿Dónde colocas la iluminación de la cala?,"[""7263923|en"", ""7263923|es"", ""7263923|zh""]","[""7263923|es"", ""7263923|en"", ""977611|zh"", ""7263923|zh"", ""7896293|zh"", ""7086512|zh"", ""7330504|zh"", ""7075474|es"", ""977611|en"", ""7269623|zh""]",,es
1000270,es,definir: marino,"[""7263764|en"", ""7263764|es"", ""7263764|zh""]","[""7767920|es"", ""7263764|es"", ""7767920|en"", ""7263764|en"", ""7263764|zh"", ""7767920|zh"", ""7487314|es"", ""7487314|zh"", ""7487314|en"", ""7815670|es""]",,es
1000334,es,definir: logos,"[""7263655|en"", ""7263655|es"", ""7263655|zh""]","[""7263655|es"", ""7263655|en"", ""7334427|es"", ""7548050|es"", ""7548050|en"", ""7965665|es"", ""7221805|zh"", ""7334427|zh"", ""7917242|zh"", ""7887243|es""]",,es
1000373,es,donde esta enterrado wovoka,"[""7732653|en"", ""7732653|es"", ""7732653|zh""]","[""7732653|en"", ""7732653|es"", ""7732653|zh"", ""7760780|es"", ""7760780|zh"", ""7293855|zh"", ""7760780|en"", ""7458213|zh"", ""7476221|zh"", ""7830872|zh""]",,en
1000422,es,¿Dónde está el condado de Wyoming NY?,"[""7930357|en"", ""7930357|es"", ""7930357|zh""]","[""7930357|es"", ""7930357|en"", ""7930357|zh"", ""7107732|es"", ""7893851|en"", ""7107732|en"", ""7107732|zh"", ""2107598|zh"", ""7893851|es"", ""2107598|es""]",,es
1000459,es,¿Dónde viven las arañas viuda negra en Estados Unidos?,"[""7263355|en"", ""7263355|es"", ""7263355|zh"", ""7263359|en"", ""7263359|es"", ""7263359|zh""]","[""7263355|es"", ""7263359|es"", ""7578709|es"", ""7263359|zh"", ""7263359|en"", ""7263355|zh"", ""7523861|es"", ""7263355|en"", ""7523861|zh"", ""7264405|es""]",,es
1000462,es,¿Dónde se lleva a cabo el aeróbico?,"[""7263327|en"", ""7263327|es"", ""7263327|zh""]","[""7119390|es"", ""7263327|es"", ""7653499|es"", ""7119390|en"", ""7653499|zh"", ""7653499|en"", ""7227157|zh"", ""7098526|zh"", ""7282194|zh"", ""7697199|zh""]",,es
1000495,es,"¿Dónde está Yellowknife, Canadá?","[""7734091|en"", ""7734091|es"", ""7734091|zh""]","[""7734091|en"", ""7734091|es"", ""7734091|zh"", ""7541382|es"", ""588288|zh"", ""7276446|zh"", ""683762|zh"", ""7636113|zh"", ""7276446|es"", ""7541382|zh""]",,en
1000528,es,definir: glúteo,"[""7263134|en"", ""7263134|es"", ""7263134|zh""]","[""7263134|es"", ""7263134|en"", ""7263134|zh"", ""2962966|zh"", ""7797167|en"", ""7459670|es"", ""4969080|es"", ""1052811|zh"", ""7885706|en"", ""7372542|en""]",,es
1000555,es,donde tuvo lugar la batalla de lex,"[""7263043|en"", ""7263043|es"", ""7263043|zh""]","[""7263043|zh"", ""7263043|en"", ""7263043|es"", ""7934636|en"", ""7331285|en"", ""7331285|es"", ""7288712|zh"", ""7934636|es"", ""7702111|zh"", ""2255150|zh""]",,zh
1000564,es,definir: farfetch,"[""7262976|en"", ""7262976|es"", ""7262976|zh""]","[""7262976|en"", ""7262976|zh"", ""7262976|es"", ""7522344|es"", ""7377418|zh"", ""7161008|zh"", ""7141089|es"", ""7377418|es"", ""7249735|zh"", ""7266069|zh""]",,en
1000568,es,donde malala dio su discurso del premio nobel,"[""7262932|en"", ""7262932|es"", ""7262932|zh""]","[""7262932|en"", ""7262932|zh"", ""7262932|es"", ""7209597|en"", ""7593504|zh"", ""7795356|zh"", ""7272917|en"", ""7259638|en"", ""7209597|es"", ""7209597|zh""]",,en
1000585,es,¿Dónde se colocaron las mandíbulas?,"[""7262837|en"", ""7262837|es"", ""7262837|zh""]","[""7765557|es"", ""7983062|es"", ""7765557|en"", ""7277597|en"", ""7909235|es"", ""7983062|zh"", ""7308987|zh"", ""7363058|es"", ""7277597|es"", ""7765557|zh""]",,es
1000670,es,¿Dónde obtuvo Chris Hogan su título universitario?,"[""7262650|en"", ""7262650|es"", ""7262650|zh""]","[""7262650|es"", ""7262650|zh"", ""7262650|en"", ""7843061|zh"", ""7701325|es"", ""7929951|es"", ""7701325|en"", ""7743891|zh"", ""7929951|en"", ""7262575|zh""]",,es
1000671,es,¿Dónde está ubicado su páncreas en el cuerpo?,"[""7949238|en"", ""7949238|es"", ""7949238|zh""]","[""7949238|es"", ""7949238|en"", ""7188728|es"", ""3326733|es"", ""7949238|zh"", ""480701|es"", ""3326733|en"", ""7188728|en"", ""3529255|es"", ""175596|es""]",,es
1000678,es,¿Dónde exploró el capitán James Cook?,"[""7262611|en"", ""7262611|es"", ""7262611|zh""]","[""7262611|en"", ""7262611|es"", ""7262611|zh"", ""4366510|zh"", ""3769822|zh"", ""4366510|en"", ""3769822|en"", ""3769822|es"", ""7907487|zh"", ""7955733|es""]",,en
1000679,es,definir: ojo muerto,"[""7262592|en"", ""7262592|es"", ""7262592|zh""]","[""7135418|zh"", ""7262592|zh"", ""7486829|zh"", ""7135418|en"", ""7135418|es"", ""7968952|zh"", ""7809143|zh"", ""7674392|zh"", ""7674392|es"", ""7245910|es""]",,zh
