query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7985667"", ""7220288"", ""7272695"", ""7206684"", ""7408024"", ""7691361"", ""2008909"", ""7305139"", ""7213125"", ""4798181""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7028429"", ""7085238"", ""7224927"", ""7318694"", ""7292184"", ""7531201"", ""7245028"", ""7835826""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7679596"", ""7455776"", ""7670160"", ""7576393"", ""7089741"", ""7795418"", ""4973544"", ""1033337"", ""7455812"", ""7112464""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""1159597"", ""7854955"", ""7581583"", ""7735648"", ""7308077"", ""7375334"", ""7679312"", ""7371307"", ""7161875""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7399600"", ""7903633"", ""7325703"", ""7139156"", ""570442"", ""7139764"", ""7528852"", ""588235"", ""7113138"", ""7668684""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7854692"", ""7288284"", ""7285220"", ""7723876"", ""7906424"", ""5159723"", ""1285360"", ""7872329"", ""7890349"", ""2628627""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""7420461"", ""7245877"", ""2468148"", ""991142"", ""7637034"", ""3353086"", ""7396947"", ""7219984"", ""7846219""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""7253236"", ""7082559"", ""7626411"", ""7773767"", ""7435832"", ""7907439"", ""7876093"", ""7318902""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7080008"", ""7217195"", ""7158898"", ""7777896"", ""7206592"", ""7249906"", ""7636819"", ""7977659"", ""7143675""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7292304"", ""7872329"", ""4783316"", ""7771898"", ""7793247"", ""7646041"", ""7971544"", ""7720292"", ""7888038""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""2753653"", ""7026760"", ""238005"", ""7519201"", ""7717805"", ""7289640"", ""7659801"", ""7971951"", ""7111959""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""2038018"", ""7691361"", ""7657465"", ""7358221"", ""7154106"", ""7296810"", ""7165807"", ""7861394"", ""7192073"", ""7408024""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433925"", ""110910"", ""7439120"", ""7210214"", ""5276995"", ""7273604"", ""6093010"", ""7905618"", ""2263573"", ""7992043""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7601337"", ""7862783"", ""7812355"", ""7438631"", ""7236525"", ""256757"", ""7095708"", ""7857861"", ""7853910""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7974596"", ""7389316"", ""7311939"", ""7700487"", ""7076146"", ""7312387"", ""7187607"", ""3041398"", ""2951555"", ""7436925""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7555333"", ""7355625"", ""7430773"", ""4902384"", ""7069399"", ""7552122"", ""7649902"", ""7647619"", ""7563977""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7742103"", ""7389537"", ""7081759"", ""7214220"", ""7829864"", ""7843451"", ""1798522"", ""7740040"", ""960180"", ""3970387""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7493514"", ""7122052"", ""7537844"", ""5200958"", ""7573009"", ""7185024"", ""480677"", ""1903885"", ""7245607""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7105534"", ""7863189"", ""7510610"", ""7495024"", ""7399071"", ""7651243"", ""7992974"", ""7870036"", ""7413320""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7395889"", ""7741333"", ""7073772"", ""7619087"", ""7384736"", ""7890657"", ""7535445"", ""7917144"", ""7995392""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7720711"", ""7466996"", ""7886668"", ""7929951"", ""7956784"", ""7259628"", ""7912439"", ""7610327"", ""7082559""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7900321"", ""7962748"", ""7358369"", ""7167740"", ""6395661"", ""4586411"", ""5898158"", ""2320067"", ""7559824""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7289144"", ""7677002"", ""7607111"", ""7085516"", ""7793247"", ""7649669"", ""7801758"", ""7966632"", ""7869733""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""6720313"", ""7563235"", ""7776376"", ""7073976"", ""7486527"", ""7451575"", ""7424260"", ""7096348"", ""7249833"", ""7461178""]",
