query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7272695"", ""2008909"", ""7305462"", ""7217353"", ""7561164"", ""7622515"", ""1335588"", ""7527060"", ""7672368""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7292184"", ""7396043"", ""7152404"", ""7858842"", ""7105678"", ""1878861"", ""7262494"", ""7495093"", ""7957524""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7679596"", ""7112464"", ""7996955"", ""1033337"", ""1623640"", ""1163812"", ""7519478"", ""7459302"", ""7793170""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7148904"", ""4191529"", ""7283678"", ""7735648"", ""1159597"", ""5786828"", ""7808278"", ""7322264"", ""7697631""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""5584747"", ""7481555"", ""7531239"", ""7533102"", ""570442"", ""4486381"", ""7199795"", ""764872"", ""588235"", ""7402600""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""3394797"", ""7623844"", ""7239171"", ""7694677"", ""7125366"", ""270380"", ""7789644"", ""7329333"", ""7124323"", ""7624731""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""7105479"", ""2468148"", ""4582296"", ""7216092"", ""7245877"", ""991142"", ""7719848"", ""7926476"", ""3353086""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""7907439"", ""7435832"", ""7082559"", ""7626411"", ""7257833"", ""7424454"", ""7283703"", ""5910812""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7965476"", ""7206592"", ""3349239"", ""7777896"", ""7674848"", ""7402796"", ""7107654""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7085516"", ""7124323"", ""7383642"", ""7767103"", ""7290260"", ""7290270"", ""7935493"", ""7764195""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7169836"", ""7150228"", ""7984373"", ""7487159"", ""7336450"", ""7153849"", ""7026760"", ""7147226"", ""7560954""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7861394"", ""7928696"", ""7272695"", ""7358221"", ""7215725"", ""7804442"", ""7998086"", ""7135262""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433925"", ""7273604"", ""7255867"", ""6093010"", ""7992043"", ""7783998"", ""170827"", ""7840105"", ""2743909"", ""7534069""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""924613"", ""7438631"", ""7236525"", ""7601337"", ""4484371"", ""7889379"", ""7853910"", ""7204196"", ""7862783""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7076146"", ""7974596"", ""7700487"", ""7311939"", ""609254"", ""7187607"", ""3041398"", ""2951555"", ""7492451""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7597656"", ""7069399"", ""7647619"", ""7171569"", ""8004632"", ""7421911"", ""2158081"", ""1699500"", ""7170449""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7742103"", ""7214220"", ""7829864"", ""7541190"", ""7598385"", ""7234971"", ""7389537"", ""7843451"", ""7814471"", ""7676511""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""7132199"", ""5200958"", ""7493507"", ""4948097"", ""651395"", ""7573009""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7510610"", ""7442410"", ""7196833"", ""7150358"", ""1501464"", ""7826584"", ""233414"", ""2000768"", ""7380886""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7934632"", ""7834912"", ""7394645"", ""7645183"", ""7341185"", ""7395889"", ""7077855"", ""7535426"", ""1623543""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7276511"", ""4772781"", ""7956784"", ""7886668"", ""7912439"", ""7107894"", ""7217405"", ""7095246"", ""7796544""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7167740"", ""7358369"", ""7221882"", ""7790637"", ""7106774"", ""5898158"", ""7900321"", ""6395661"", ""7097506""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""1365882"", ""7574541"", ""2796936"", ""7718324"", ""7275935"", ""7415038"", ""7426908"", ""7847456"", ""7966632""]",
