query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7206684"", ""7272695"", ""7217353"", ""7672368"", ""7804101"", ""7322251"", ""7659466"", ""7566992"", ""1335588"", ""7933971""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7152404"", ""1878861"", ""7858842"", ""7028429"", ""7957524"", ""7105678"", ""7292184"", ""7396043"", ""7531201""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7670160"", ""1033337"", ""7112464"", ""7679596"", ""1163812"", ""7455776"", ""7345967"", ""7996955"", ""1623640"", ""7508730""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""4191529"", ""1896608"", ""7146364"", ""7828735"", ""7679312"", ""541662"", ""7397248"", ""4973544"", ""7418684"", ""7991251""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7205952"", ""7966808"", ""7067901"", ""764872"", ""7641338"", ""7966804"", ""5584747"", ""1491677"", ""7966805"", ""7113289""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7327050"", ""7805080"", ""270380"", ""7239171"", ""7490735"", ""1757350"", ""7636646"", ""7290137"", ""7125398"", ""7125366""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""4582296"", ""7108043"", ""991142"", ""7562831"", ""3353086"", ""2468148"", ""3746862"", ""7174990"", ""1455862""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""67588"", ""8003099"", ""7435832"", ""7082559"", ""7466996"", ""7907439"", ""7626411"", ""7907440"", ""7934813""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7402796"", ""3349239"", ""7107654"", ""7491456"", ""7240603"", ""7777896"", ""7148994""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7880839"", ""7888038"", ""7124323"", ""7764195"", ""7451471"", ""7290260"", ""7899838"", ""7860466"", ""7750201""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7116157"", ""7971951"", ""7676182"", ""7672295"", ""7717805"", ""7150228"", ""7805921"", ""238005"", ""7167687"", ""7922738""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7864191"", ""7274366"", ""1192808"", ""7113820"", ""7625523"", ""7850889"", ""7358221"", ""7079907""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7433792"", ""7433925"", ""7840105"", ""7597758"", ""7623591"", ""7826945"", ""7534069"", ""1414091"", ""7380886"", ""110910""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7754765"", ""7095708"", ""7204196"", ""7410122"", ""7809074"", ""7852867"", ""256757"", ""7973805"", ""7862783"", ""7086985""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7389316"", ""7974596"", ""7311939"", ""7700487"", ""7076146"", ""7187607"", ""609254"", ""11527"", ""7493757"", ""7492451""]",
733241,en,what is considered attire,"[""1699500""]","[""7171569"", ""7597656"", ""7933515"", ""7170449"", ""7766841"", ""1699500"", ""2158081"", ""7421911"", ""7649080"", ""8004632""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7243330"", ""7389537"", ""7081759"", ""7598385"", ""7234971"", ""7829864"", ""7742103"", ""7676511"", ""7619328"", ""7924696""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""7493507"", ""7442428"", ""3152590"", ""7107443"", ""7132199"", ""1903885"", ""4696351""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7510610"", ""7728289"", ""7695522"", ""7196833"", ""7332142"", ""4023722"", ""7623591"", ""7319497"", ""1414091"", ""7150358""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7598745"", ""7714548"", ""7531298"", ""7585034"", ""7645183"", ""7996617"", ""7394645"", ""7514078"", ""7155303"", ""7098122""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7217405"", ""7466996"", ""7122900"", ""7509196"", ""7615958"", ""7247765"", ""7912439"", ""7291765""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7787972"", ""7167740"", ""7358369"", ""7106774"", ""7900321"", ""5898158"", ""7723393"", ""7599232"", ""4586411"", ""7996617""]",
987767,en,who roy moore lost to,"[""7290624""]","[""7290624"", ""7461249"", ""7138432"", ""7445716"", ""1365882"", ""7718749"", ""7713427"", ""7619078"", ""7326151"", ""7607111""]",
299128,en,how many units of water per month,"[""6720313""]","[""6720313"", ""7776376"", ""684240"", ""7073976"", ""1987259"", ""7563235"", ""2336191"", ""7325989"", ""7440310"", ""77985""]",
814132,en,what is the daily sodium limit,"[""7951365""]","[""714998"", ""7837801"", ""7951365"", ""7567998"", ""1460244"", ""2304767"", ""1987259"", ""7584484"", ""3545260"", ""7143364""]",
874257,en,what literary device does the author use to describe johnny's mugging the outsiders,"[""7867405""]","[""7867405"", ""7907059"", ""7889259"", ""7136068"", ""7289422"", ""7310898"", ""7433620"", ""7341001"", ""8002171"", ""7435397""]",
868598,en,what kind of grades do you need to be a dental hygienist,"[""7743190""]","[""7743190"", ""7360526"", ""7360530"", ""7863564"", ""7545801"", ""6348579"", ""7688776"", ""7944021"", ""7901950"", ""7153558""]",
1071609,en,why is noise a problem,"[""7816796""]","[""7816796"", ""7403659"", ""7747072"", ""7262416"", ""7478795"", ""7846533"", ""7110766"", ""7325759"", ""1011107"", ""7101916""]",
663595,en,what genre is rob thomas,"[""7465375""]","[""7465375"", ""7845737"", ""7689707"", ""7733821"", ""7481478"", ""7398040"", ""7728998"", ""7125398"", ""7915665"", ""7698164""]",
1062203,en,why did brad pitt and angelina jolie divorce,"[""7569446""]","[""7569446"", ""7864039"", ""7292030"", ""7946505"", ""7340726"", ""7859734"", ""7811094"", ""7864034"", ""7339164"", ""7840779""]",
182644,en,examples of drug withdrawal symptoms,"[""7935405""]","[""7615041"", ""7935405"", ""7742389"", ""8000498"", ""7486505"", ""7486503"", ""4631846"", ""7299269"", ""7227332"", ""7173651""]",
