query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7269399"", ""7939043"", ""1518421"", ""7668850"", ""7274740"", ""7683921"", ""2763110"", ""7192340"", ""7529532"", ""7948484""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7269399"", ""7939043"", ""1518421"", ""7274740"", ""7668850"", ""7192340"", ""2763110"", ""7529532"", ""7683921"", ""7260366""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7961975"", ""7627440"", ""7998238"", ""7296579"", ""7677110"", ""7763936"", ""7434058"", ""7491803"", ""1953016"", ""2385796""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""7269399"", ""7524219"", ""7939043"", ""1518421"", ""7451234"", ""7566310"", ""7668850"", ""2763110"", ""7260366"", ""7242742""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7079658"", ""7782982"", ""7094494"", ""7301644"", ""7855509"", ""7192730"", ""7488101"", ""7970364"", ""7696527"", ""7637908""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7998238"", ""7627440"", ""7961975"", ""7143645"", ""7922762"", ""7897789"", ""7122460"", ""7398096"", ""7283678"", ""7680402""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""7269399"", ""7451234"", ""7939043"", ""7129689"", ""7242742"", ""7260366"", ""1518421"", ""7288002"", ""7178558"", ""7274740""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7269399"", ""7939043"", ""1518421"", ""7242742"", ""7668850"", ""7260366"", ""7274740"", ""2763110"", ""7178558"", ""7451234""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7269399"", ""7939043"", ""1518421"", ""7668850"", ""7274740"", ""7192340"", ""2763110"", ""7529532"", ""7683921"", ""7948484""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""7668850"", ""7269399"", ""7939043"", ""1518421"", ""2763110"", ""7524219"", ""7312301"", ""8004079"", ""4804980"", ""7642950""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7269399"", ""7939043"", ""1518421"", ""2763110"", ""8004079"", ""7668850"", ""2754742"", ""7683921"", ""7192340"", ""7512151""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""2496088"", ""7310262"", ""7988639"", ""7154781"", ""7798407"", ""7259271"", ""7411777"", ""4860839"", ""7716198"", ""7271582""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7269399"", ""7939043"", ""1518421"", ""7668850"", ""7524219"", ""7312301"", ""2763110"", ""7192340"", ""8004079"", ""7642950""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7269399"", ""7451234"", ""7129689"", ""7939043"", ""7242742"", ""7260366"", ""7178558"", ""7288002"", ""1518421"", ""7274740""]",
