query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7527060"", ""1335588"", ""7492132"", ""7201584"", ""7305139"", ""331907"", ""7659466"", ""7853204"", ""3276300"", ""7379549""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7105678"", ""7858842"", ""1878861"", ""7152404"", ""7028429"", ""7318694"", ""7085238"", ""7128290"", ""7081391""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""1033337"", ""7452987"", ""7679596"", ""7089741"", ""7455776"", ""7345967"", ""7670160"", ""7519478"", ""7112464"", ""1623640""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7272684"", ""4191529"", ""7606531"", ""7211811"", ""7581583"", ""7595500"", ""7375334"", ""7598541"", ""7480666""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7112652"", ""7533102"", ""7430482"", ""7325629"", ""1979597"", ""7654082"", ""7524000"", ""7641338"", ""382685"", ""7113662""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7805080"", ""7679168"", ""7789644"", ""7890349"", ""7490735"", ""7239171"", ""3909183"", ""7290137"", ""7646041"", ""7964981""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7926476"", ""3353086"", ""991142"", ""7216092"", ""2468148"", ""7842280"", ""7773767"", ""7830190""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7200796"", ""7763140"", ""7213343"", ""67596"", ""7907440"", ""7105483"", ""7082559"", ""7435832""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7080008"", ""7709283"", ""3349239"", ""7777896"", ""7166774"", ""7158898"", ""7969020"", ""7917844"", ""7491456"", ""7210335""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7124323"", ""7764195"", ""7490252"", ""7846757"", ""7827574"", ""7888038"", ""7286801"", ""7287518"", ""7383642""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7073802"", ""7116157"", ""7150228"", ""7873543"", ""7760322"", ""7176107"", ""7748731"", ""7591625"", ""7141415"", ""7517701""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7240126"", ""7998086"", ""7239751"", ""7209206"", ""7349096"", ""7915135"", ""7081906"", ""7268557"", ""7625523""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7848437"", ""7890349"", ""7433792"", ""5625491"", ""7416687"", ""4984236"", ""7826945"", ""7550490"", ""7175331"", ""7338397""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7410122"", ""7204196"", ""7438631"", ""7853910"", ""256757"", ""7809074"", ""7095708"", ""166256"", ""7499172""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7974596"", ""7700487"", ""7389316"", ""7311939"", ""7076146"", ""7187607"", ""609254"", ""7493757"", ""11527"", ""7487520""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7933515"", ""7170449"", ""7647619"", ""7246698"", ""7069399"", ""7857342"", ""7814282"", ""7882791"", ""1699500"", ""7171569""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7214220"", ""7843451"", ""3429513"", ""7676511"", ""7234971"", ""2536541"", ""3847797"", ""7829864"", ""7742103"", ""7081759""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""7493514"", ""7493507"", ""5006012"", ""651395"", ""1903885"", ""7459621"", ""3864104""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""5558092"", ""7653673"", ""1501464"", ""7115550"", ""7510610"", ""4425196"", ""7323291"", ""7413320"", ""7495024""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7598745"", ""7645183"", ""7384736"", ""7996617"", ""7916888"", ""7073772"", ""1623543"", ""7934632"", ""7341517"", ""7661963""]",0.125
992193,zh-en,谁创造了适者生存的概念？ charles darwin karl marx赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7107894"", ""7773767"", ""7902044"", ""7276511"", ""7763743"", ""7615958"", ""7466996"", ""7802025""]",0.2857142857142857
829915,zh-en,经父母consent ，堪萨斯州的marriage age是多少,"[""7787972""]","[""7787972"", ""7900321"", ""7167740"", ""7234193"", ""7358369"", ""5898158"", ""7811094"", ""7106774"", ""7599232"", ""3799029""]",0.25
987767,zh-en,罗伊摩尔lost to了谁,"[""7290624""]","[""7281607"", ""7942709"", ""7952879"", ""7724584"", ""3135398"", ""7290624"", ""7531622"", ""7591713"", ""7843451"", ""7739476""]",0.19999999999999996
299128,zh-en,每月多少units的水,"[""6720313""]","[""7563235"", ""7096348"", ""7073976"", ""7776376"", ""7440310"", ""1616468"", ""7249833"", ""2336191"", ""1987259"", ""6720313""]",0.19999999999999996
814132,zh-en,什么是每日钠limit,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""1460244"", ""7644018"", ""7772677"", ""7617550"", ""7567998"", ""3545260"", ""7623625""]",0.19999999999999996
874257,zh-en,作者用什么文学手法来describe约翰尼抢mugging外人的行为,"[""7867405""]","[""7870839"", ""7867405"", ""7547152"", ""7204388"", ""7844736"", ""7743539"", ""7433620"", ""7188992"", ""7778543"", ""7785547""]",0.25
868598,zh-en,你需要什么样的grades才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""7360530"", ""7743190"", ""6348579"", ""7863564"", ""553068"", ""882642"", ""7944021"", ""7695991"", ""7697136""]",0.09999999999999998
1071609,zh-en,为什么噪音是个problem,"[""7816796""]","[""7816796"", ""7403659"", ""7747072"", ""7113138"", ""7110766"", ""570442"", ""7189738"", ""7478795"", ""1782540"", ""1011107""]",0.19999999999999996
663595,zh-en,罗伯·托马斯是什么genre的,"[""7465375""]","[""7465375"", ""7290399"", ""7481478"", ""7138432"", ""7689707"", ""7575496"", ""7698164"", ""7524413"", ""7728818"", ""7885991""]",0.16666666666666663
1062203,zh-en,为什么布拉德皮特和安吉丽娜朱莉divorce,"[""7569446""]","[""7864039"", ""7946505"", ""7859734"", ""7307861"", ""7339164"", ""7229591"", ""7569446"", ""7573749"", ""7761850"", ""489053""]",0.1428571428571429
182644,zh-en,药物戒断症状的examples,"[""7935405""]","[""7935405"", ""7615041"", ""7173651"", ""7227332"", ""7742389"", ""7299269"", ""7486503"", ""4329693"", ""7966805"", ""7493839""]",0.19999999999999996
931029,zh-en,黄瓜的平均size是多少,"[""7812195""]","[""7812195"", ""7457321"", ""7569893"", ""1722502"", ""7617014"", ""7613369"", ""5264767"", ""7556924"", ""7330021"", ""7344571""]",0.16666666666666663
924580,zh-en,什么威士忌是由小麦made的,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""1676911"", ""7109056"", ""6762494"", ""7986348"", ""194860"", ""7942489"", ""7511407"", ""2007484""]",0.1428571428571429
837702,zh-en,helium的反义词是什么,"[""7799527""]","[""7799527"", ""7197859"", ""7226212"", ""644710"", ""7076046"", ""7965476"", ""7191357"", ""7268725"", ""7135225"", ""7622515""]",0.19999999999999996
1033156,zh-en,大酋长的real name是什么,"[""7212940""]","[""7212940"", ""7875397"", ""7631639"", ""7793300"", ""7759701"", ""7290002"", ""7631636"", ""7963400"", ""7516831"", ""7081759""]",0.16666666666666663
1079185,zh-en,当公司dissolves并负债时会发生什么？,"[""53048""]","[""53048"", ""3592709"", ""6417290"", ""7173266"", ""7397256"", ""7150528"", ""7114254"", ""7493987"", ""7883166"", ""3059745""]",0.125
171534,zh-en,有些汽车use空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7079467"", ""7211972"", ""7082868"", ""7154781"", ""7960849"", ""7234031"", ""7067759"", ""7127370"", ""5420203""]",0.125
838500,zh-en,你arm上抽血的部位叫什么,"[""4707882""]","[""4707882"", ""7561515"", ""7242222"", ""7630376"", ""538189"", ""7273733"", ""735198"", ""7329467"", ""7342775"", ""2485932""]",0.125
361285,zh-en,如何去除carpet上的猫尿渍,"[""7401706""]","[""7401706"", ""8000759"", ""7085272"", ""7801159"", ""7392272"", ""7191576"", ""7305308"", ""7428189"", ""7910955"", ""7365714""]",0.125
1074603,zh-en,为什么use视频进行营销和促销,"[""7845422""]","[""7845422"", ""7966136"", ""7388532"", ""613301"", ""7544522"", ""7716079"", ""1721389"", ""7380009"", ""7333378"", ""7659801""]",0.1428571428571429
931783,zh-en,自我image和自我概念有什么区别,"[""7830900""]","[""7164081"", ""7830900"", ""7610795"", ""7192480"", ""7116157"", ""7649792"", ""7631551"", ""7414682"", ""6271183"", ""7330386""]",0.1428571428571429
1096025,zh-en,国家在md pay护士多少钱,"[""7541711""]","[""7541711"", ""7195763"", ""6584729"", ""7195729"", ""7958813"", ""7447492"", ""363604"", ""7589359"", ""7470986"", ""7529771""]",0.1428571428571429
1037612,zh-en,armadillo的长度是多少,"[""7205573""]","[""7832435"", ""7979967"", ""7699906"", ""7205573"", ""7848804"", ""7368110"", ""7368973"", ""7149539"", ""7871033"", ""7096250""]",0.19999999999999996
1004565,zh-en,epcot的美食美酒节什么时候start,"[""7255591""]","[""7255591"", ""7375794"", ""7503570"", ""7402685"", ""7813102"", ""7182313"", ""7553941"", ""7629808"", ""7753130"", ""7469470""]",0.125
630172,zh-en,中指戴finger是什么意思？,"[""7469958""]","[""7044609"", ""7469958"", ""7710503"", ""7135678"", ""7334427"", ""8005840"", ""7929131"", ""7913898"", ""7983381"", ""7657012""]",0.16666666666666663
650157,zh-en,你是个good egg的表情是什么,"[""7453899""]","[""7453899"", ""7323225"", ""7911726"", ""7562472"", ""7461753"", ""7550490"", ""2000768"", ""7596686"", ""7767342"", ""7868284""]",0.2222222222222222
1031761,zh-en,马尾的structure是什么,"[""7215190""]","[""7275572"", ""7632606"", ""7834203"", ""7697788"", ""7771248"", ""7436902"", ""7155236"", ""7413775"", ""7716178"", ""7793664""]",0.19999999999999996
339855,zh-en,在michigan ，员工多久必须report受伤情况,"[""7359547""]","[""7359547"", ""7399340"", ""4180526"", ""2911180"", ""7677110"", ""7445050"", ""7195763"", ""7358556"", ""7940035"", ""7675348""]",0.25
1006724,zh-en,泰国的independence日是什么时候,"[""7252753""]","[""7252753"", ""4110699"", ""621218"", ""67027"", ""6794229"", ""7253793"", ""4110696"", ""7269951"", ""7739212"", ""7095799""]",0.1428571428571429
411367,zh-en,谷歌在中国被blocked了吗,"[""7633642""]","[""7633642"", ""7282031"", ""7757683"", ""7856346"", ""7249466"", ""7548661"", ""7653402"", ""7471912"", ""7153291"", ""7191479""]",0.1428571428571429
839488,zh-en,kohlrabies的plural是什么,"[""7866009""]","[""7866009"", ""7944865"", ""7570136"", ""7839944"", ""7677954"", ""7230638"", ""7560794"", ""7870958"", ""4765911"", ""7659441""]",0.19999999999999996
1087202,zh-en,low blood的症状是什么,"[""7103722""]","[""7103722"", ""7449503"", ""7273847"", ""1541418"", ""7979212"", ""507491"", ""7173343"", ""7960384"", ""7522664"", ""7498309""]",0.19999999999999996
1058513,zh-en,什么是类dojo used for,"[""7171329""]","[""7171329"", ""7987107"", ""7219802"", ""7912527"", ""7799421"", ""7539298"", ""7977400"", ""7979516"", ""7378091"", ""7471735""]",0.19999999999999996
1054949,zh-en,什么是图书馆的friends,"[""7177052""]","[""7177052"", ""7217535"", ""7560613"", ""7181691"", ""6910071"", ""3432310"", ""7567025"", ""7541190"", ""7519505"", ""7362321""]",0.19999999999999996
190380,zh-en,keep牙龈健康的食物,"[""5092256""]","[""5092256"", ""7386869"", ""7490179"", ""3771021"", ""7237870"", ""7688123"", ""7621326"", ""7471113"", ""7697136"", ""7914958""]",0.19999999999999996
739554,zh-en,理解和掌握有什么difference,"[""7456010"", ""7044609""]","[""7259271"", ""7935615"", ""7773093"", ""7044609"", ""7456010"", ""7685511"", ""7735479"", ""5369288"", ""857325"", ""7174697""]",0.16666666666666663
1059812,zh-en,谁的face在钱上,"[""7290835""]","[""7145341"", ""7290835"", ""7874763"", ""7866428"", ""7196698"", ""7843298"", ""7944075"", ""7770206"", ""7870900"", ""7561090""]",0.16666666666666663
1071161,zh-en,什么是金融的long战略,"[""7157744""]","[""7157744"", ""4440198"", ""7100572"", ""8001682"", ""7100389"", ""7222908"", ""7205823"", ""7522387"", ""7275009"", ""7683496""]",0.16666666666666663
69065,zh-en,我可以用驾照拿到我的plates吗,"[""7392067""]","[""7392067"", ""7508018"", ""164952"", ""7696322"", ""7097756"", ""7475740"", ""7357406"", ""7741001"", ""7140416"", ""7767922""]",0.11111111111111116
831034,zh-en,当提到任何开花植物时，水果的meaning是什么,"[""2077415""]","[""7255023"", ""7662692"", ""2077415"", ""7167106"", ""6834791"", ""458748"", ""7018901"", ""7501202"", ""7153494"", ""7499186""]",0.09090909090909094
1002373,zh-en,你的eyes只在哪儿拍的？,"[""7747666""]","[""7747666"", ""3176369"", ""7810242"", ""1310066"", ""7135418"", ""7607116"", ""3855924"", ""7544997"", ""7852159"", ""7596795""]",0.125
609707,zh-en,montello wi在哪个county,"[""7690114""]","[""7690114"", ""2208454"", ""7816568"", ""7817457"", ""7608888"", ""1699209"", ""7661663"", ""7581376"", ""7832965"", ""7211171""]",0.19999999999999996
393420,zh-en,history上什么是势力范围,"[""7689572""]","[""7403682"", ""7875397"", ""7219802"", ""7324840"", ""8001573"", ""2655831"", ""7886214"", ""7124792"", ""7655766"", ""7257597""]",0.19999999999999996
1084596,zh-en,汽车上的tags需要什么,"[""7126829""]","[""7126829"", ""7508018"", ""7082868"", ""7132332"", ""450426"", ""7735471"", ""7427327"", ""7844579"", ""7259495"", ""7878249""]",0.16666666666666663
1041656,zh-en,助学金的definition是什么,"[""7199394""]","[""7199394"", ""7270201"", ""7859593"", ""7802155"", ""7683779"", ""7166000"", ""7594541"", ""7142823"", ""7638407"", ""6417801""]",0.19999999999999996
1097283,zh-en,king因在伯明翰抗议而在jail里呆了多少天,"[""7426908""]","[""7426908"", ""7368942"", ""7856053"", ""1198367"", ""7497729"", ""5966342"", ""7498046"", ""1220805"", ""7246941"", ""7288730""]",0.16666666666666663
166528,zh-en,ftp是否use appdata文件夹,"[""7373623""]","[""7373623"", ""7517040"", ""7425084"", ""7618847"", ""7181926"", ""7069692"", ""7286050"", ""7396514"", ""7763217"", ""7873543""]",0.19999999999999996
988720,zh-en,谁是芝加哥的original singer,"[""7287922""]","[""7287922"", ""7642166"", ""7910380"", ""7725656"", ""7698164"", ""7826444"", ""7575373"", ""7530140"", ""7736818"", ""6666759""]",0.19999999999999996
1093928,zh-en,iphone x是waterproof的还是防水的,"[""7711108""]","[""7711108"", ""319761"", ""7635388"", ""7299999"", ""7713156"", ""7205685"", ""7841624"", ""7705644"", ""7326865"", ""7868331""]",0.125
735175,zh-en,什么是成本和运费in inco terms,"[""7522344""]","[""7522344"", ""7176679"", ""7717764"", ""1525206"", ""7239467"", ""7047301"", ""159768"", ""7441725"", ""7615545"", ""7410206""]",0.1428571428571429
289276,zh-en,成人应take多少毫克利他林,"[""7559170""]","[""7559170"", ""7772677"", ""7913520"", ""7591413"", ""1524108"", ""7579337"", ""7070008"", ""7443875"", ""714998"", ""7224732""]",0.1428571428571429
