query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7165807"", ""7492132"", ""7272695"", ""7379549"", ""7305139"", ""7365294"", ""7985667"", ""7622515"", ""7659466""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7851318"", ""7105678"", ""7634139"", ""7123276"", ""7531201"", ""7102315"", ""7835826"", ""7262494"", ""7689270""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""7670160"", ""7455776"", ""1033337"", ""1163812"", ""7089741"", ""7679596"", ""7167778"", ""7345967"", ""7795418"", ""7346920""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7375334"", ""7704366"", ""7262294"", ""7146364"", ""7688312"", ""7211811"", ""7481352"", ""7768641"", ""7313355""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7531239"", ""7132300"", ""23800"", ""7216018"", ""7093388"", ""7968313"", ""6976256"", ""5440644"", ""7256413"", ""7224348""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7983669"", ""7125366"", ""7383642"", ""7805080"", ""5972440"", ""7694677"", ""7355808"", ""7122200"", ""7824464"", ""7572869""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""7216092"", ""7865401"", ""7567257"", ""7846219"", ""7759153"", ""7797820"", ""7284068"", ""7847593""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""7213343"", ""67588"", ""7259545"", ""7719848"", ""8003099"", ""67596"", ""7082559"", ""7815026"", ""7763140""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7158898"", ""7709283"", ""7080008"", ""7107654"", ""34489"", ""7867320"", ""7929230"", ""7206592"", ""7495648"", ""7777896""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7383642"", ""7290260"", ""7451471"", ""3645675"", ""7412014"", ""7855353"", ""7764195"", ""7310898"", ""7125366""]",0.16666666666666663
