query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7206684"", ""7272695"", ""7672368"", ""1335588"", ""7555272"", ""7659466"", ""7492132"", ""7165807"", ""7933971"", ""7305139""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""7266832"", ""7292184"", ""1878861"", ""7105678"", ""7730364"", ""7396043"", ""7761431""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""1033337"", ""7670160"", ""7452987"", ""7112464"", ""7431188"", ""7795418"", ""1623640"", ""7455776"", ""7389103"", ""7679596""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""4191529"", ""7704366"", ""7308077"", ""7146364"", ""7272684"", ""4805879"", ""7397248"", ""7679312"", ""1159597""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""764872"", ""7966808"", ""5440644"", ""7531239"", ""7966804"", ""7067829"", ""7110876"", ""7242222"", ""7067901""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7906424"", ""7789644"", ""7287434"", ""7239171"", ""7623844"", ""7789933"", ""7572869"", ""7329333"", ""7636646"", ""1757350""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""2468148"", ""4582296"", ""7619153"", ""7626357"", ""7981469"", ""7318902"", ""277634"", ""3353086"", ""7144521""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7435832"", ""7466996"", ""7626410"", ""7213343"", ""7178601"", ""7914330"", ""7943543""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7491456"", ""3349239"", ""7402796"", ""7777896"", ""7458932"", ""7107654"", ""6876770""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7290399"", ""7124323"", ""7888038"", ""7764195"", ""7290260"", ""7880839"", ""7889259"", ""7239729"", ""7302021""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7221273"", ""7697378"", ""7333096"", ""7150228"", ""7600017"", ""5170594"", ""7660760"", ""7178887"", ""7532949""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7176947"", ""7861394"", ""1192808"", ""7358221"", ""7864191"", ""7079907"", ""7558643"", ""7601153""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7433925"", ""7433792"", ""7104245"", ""7992043"", ""7414499"", ""7695522"", ""7099667"", ""7760858"", ""7809714"", ""7115615""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7236525"", ""7236909"", ""7889379"", ""964670"", ""7679151"", ""256757"", ""7121801"", ""7083239"", ""7237284""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7311939"", ""7974596"", ""7700487"", ""11527"", ""7187607"", ""7493757"", ""7076146"", ""6735652"", ""609254""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7171569"", ""7933515"", ""1699500"", ""7170449"", ""7421911"", ""7766841"", ""7524219"", ""7647619"", ""7856651"", ""7649080""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7253685"", ""2536541"", ""7843451"", ""7389537"", ""1798522"", ""7738141"", ""7081759"", ""7829864"", ""7214220"", ""7742103""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7502930"", ""7122052"", ""651395"", ""7493514"", ""7132199"", ""1903885"", ""1196540"", ""7442428"", ""480677"", ""7765651""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""7105534"", ""7510610"", ""7196833"", ""7695522"", ""1414091"", ""7150358"", ""4595237"", ""5558092"", ""7442410""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7598745"", ""7645183"", ""7714548"", ""7996617"", ""7098122"", ""7531298"", ""7508484"", ""7834912"", ""176136"", ""7585034""]",0.125
992193,zh-en,谁创造了适者生存的概念？ charles darwin karl marx赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7170288"", ""7217405"", ""7929116"", ""7318902"", ""7466996"", ""7192730"", ""67588"", ""7747397""]",0.2857142857142857
829915,zh-en,经父母consent ，堪萨斯州的marriage age是多少,"[""7787972""]","[""7787972"", ""5898158"", ""7106774"", ""7167740"", ""7358369"", ""7900321"", ""7996617"", ""6395661"", ""7790637"", ""7962748""]",0.25
987767,zh-en,罗伊摩尔lost to了谁,"[""7290624""]","[""4212829"", ""7461249"", ""7290624"", ""7702965"", ""7659345"", ""7866833"", ""7857716"", ""7806882"", ""7090039"", ""7866829""]",0.19999999999999996
299128,zh-en,每月多少units的水,"[""6720313""]","[""6720313"", ""7776376"", ""2336191"", ""7229678"", ""7325989"", ""7440310"", ""684240"", ""7073976"", ""7563235"", ""1987259""]",0.19999999999999996
814132,zh-en,什么是每日钠limit,"[""7951365""]","[""7951365"", ""714998"", ""7837801"", ""7567998"", ""7595065"", ""2304767"", ""7644018"", ""7385885"", ""1738230"", ""7070008""]",0.19999999999999996
874257,zh-en,作者用什么文学手法来describe约翰尼抢mugging外人的行为,"[""7867405""]","[""7867405"", ""7907059"", ""7433620"", ""7864218"", ""7381023"", ""7612634"", ""7244994"", ""7717562"", ""7778543"", ""7639740""]",0.25
868598,zh-en,你需要什么样的grades才能成为一名牙科保健员,"[""7743190""]","[""7743190"", ""7360526"", ""7901950"", ""7360530"", ""6348579"", ""7863564"", ""882642"", ""7999259"", ""1861429"", ""553068""]",0.09999999999999998
1071609,zh-en,为什么噪音是个problem,"[""7816796""]","[""7747072"", ""7816796"", ""7087019"", ""7403659"", ""7846533"", ""433444"", ""7367953"", ""7679560"", ""7915201"", ""7125770""]",0.19999999999999996
663595,zh-en,罗伯·托马斯是什么genre的,"[""7465375""]","[""7465375"", ""7689707"", ""7286222"", ""7084659"", ""7733835"", ""7845737"", ""7733821"", ""7698164"", ""4583759"", ""7369727""]",0.16666666666666663
