query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7217353"", ""7527060"", ""7305462"", ""7272695"", ""7165807"", ""7492132"", ""7229862"", ""1335588"", ""7488637""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7292184"", ""7105678"", ""7858842"", ""7396043"", ""7245028"", ""7531201"", ""7128290"", ""7224927""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7112464"", ""7959219"", ""1033337"", ""7795418"", ""8001916"", ""7801066"", ""1163812"", ""7679596"", ""7452987""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7148904"", ""7133583"", ""1159597"", ""4191529"", ""7283678"", ""7697631"", ""7240277"", ""7856336"", ""7439743""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""7531239"", ""7471105"", ""7477943"", ""7647509"", ""109899"", ""7374761"", ""7399600"", ""7719947"", ""7493514"", ""8008902""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7239171"", ""7329333"", ""7624731"", ""7694677"", ""3394797"", ""7805080"", ""7124323"", ""7209022"", ""7259526"", ""7290137""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""7245877"", ""2468148"", ""7216092"", ""4582296"", ""7420461"", ""7624848"", ""7105479"", ""7105483"", ""7123349""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""5910812"", ""7082559"", ""7626411"", ""7257833"", ""7907439"", ""7416432"", ""7876093"", ""7435832""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7080008"", ""7158898"", ""7965476"", ""7107654"", ""7206592"", ""7674848"", ""7402796"", ""3349239"", ""7977659""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7085516"", ""7383642"", ""7287518"", ""7302021"", ""7935493"", ""7265204"", ""7290260"", ""7764195""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7026760"", ""7156063"", ""7327215"", ""7541371"", ""7111419"", ""7277016"", ""7169836"", ""7147226"", ""7270131""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7861394"", ""7358221"", ""7944469"", ""7217353"", ""7928696"", ""7079907"", ""7229862"", ""7165807""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7273604"", ""7433925"", ""7992043"", ""110910"", ""7905618"", ""7255867"", ""7583899"", ""7840105"", ""7211660"", ""7826945""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""924613"", ""7601337"", ""7438631"", ""7597092"", ""7204196"", ""7809074"", ""4484371"", ""7853910"", ""7236909""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7076146"", ""7974596"", ""7311939"", ""7700487"", ""609254"", ""7226690"", ""7073109"", ""6723094"", ""7312387""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7647619"", ""7069399"", ""3900009"", ""7826945"", ""7649080"", ""7816587"", ""7814282"", ""7555333"", ""7301118""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""960180"", ""7843451"", ""7598385"", ""3429513"", ""7402399"", ""7899750"", ""7214220"", ""7814471"", ""7086178"", ""7389537""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""5200958"", ""7765651"", ""7573009"", ""480677"", ""7073140"", ""7674001""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""1501464"", ""7273604"", ""7196833"", ""7332142"", ""7510610"", ""7695522"", ""7380886"", ""7521477"", ""7872590""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7077855"", ""7394645"", ""7934632"", ""7666564"", ""7996617"", ""7384736"", ""7531298"", ""7816587"", ""7585034""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7956784"", ""4772781"", ""7886668"", ""7276511"", ""7265204"", ""7666564"", ""7870543"", ""7253127"", ""7095246""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7221882"", ""7167740"", ""5898158"", ""7358369"", ""6395661"", ""7097506"", ""7468059"", ""7790637"", ""7866575""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7574541"", ""1365882"", ""7718324"", ""7289144"", ""7275935"", ""2796936"", ""7895995"", ""7415038"", ""4765911""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""6720313"", ""7776376"", ""7297131"", ""7563235"", ""7438982"", ""7073976"", ""7364616"", ""7325989"", ""7485559"", ""7579062""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7567998"", ""7617550"", ""2304767"", ""7528795"", ""3545260"", ""1460244"", ""7156891""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7907059"", ""7204340"", ""7152217"", ""7204388"", ""7244994"", ""363824"", ""7433620"", ""7750562"", ""7538644""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7360526"", ""7360530"", ""7743190"", ""7863564"", ""7688776"", ""7944021"", ""7267535"", ""6348579"", ""7545801"", ""7583542""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7747072"", ""7816796"", ""1011107"", ""7087019"", ""1782540"", ""7216983"", ""7325759"", ""7478795"", ""7846533"", ""7564409""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7465375"", ""7286222"", ""7861828"", ""7689707"", ""7247338"", ""7235939"", ""7647619"", ""7422420"", ""7580483"", ""7302021""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7569446"", ""7138192"", ""7430929"", ""7859734"", ""7864039"", ""7966632"", ""7946505"", ""7901881"", ""7598385"", ""7292030""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7173651"", ""7935405"", ""7140020"", ""7486505"", ""7486503"", ""7742389"", ""7615041"", ""4920146"", ""7966805"", ""7759718""]",
931029,es,¿Cuál es el tamaño promedio de pepino?,"[""7812195""]","[""7277294"", ""7205573"", ""7096154"", ""7812195"", ""7725783"", ""7185925"", ""7874158"", ""7236918"", ""7479581"", ""7383364""]",
924580,es,de que se hace el whisky de trigo,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""7235939"", ""1676911"", ""7986348"", ""7949132"", ""7235946"", ""7367627"", ""7109056"", ""7533967""]",
837702,es,¿Qué es lo opuesto al helio?,"[""7799527""]","[""7799527"", ""644710"", ""7235859"", ""7217535"", ""7201584"", ""7492132"", ""7135073"", ""7216073"", ""7965476"", ""7241709""]",
1033156,es,¿Cuál es el verdadero nombre del jefe maestro?,"[""7212940""]","[""7290002"", ""7078555"", ""1285360"", ""7231956"", ""7212940"", ""7226965"", ""7526367"", ""7287029"", ""7659345"", ""7771115""]",
1079185,es,¿Qué pasa cuando una corporación se disuelve y tiene deudas?,"[""53048""]","[""53048"", ""7397256"", ""3592709"", ""7814471"", ""7943121"", ""6417290"", ""7934197"", ""7883166"", ""1140905"", ""7287185""]",
171534,es,¿Algún automóvil usa aire acondicionado para ayudar a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7739302"", ""7215725"", ""7630433"", ""7457418"", ""7492286"", ""7127370"", ""7818798"", ""7067759""]",
838500,es,¿Cómo se llama la parte de tu brazo donde extraen sangre?,"[""4707882""]","[""4707882"", ""7518380"", ""7273634"", ""7630376"", ""6140452"", ""7342775"", ""7178409"", ""1440644"", ""1062868"", ""1077002""]",
361285,es,cómo quitar la mancha de orina de gato de la alfombra,"[""7401706""]","[""7401706"", ""7392272"", ""8000759"", ""7539999"", ""7665038"", ""7085272"", ""7365714"", ""7561515"", ""7191576"", ""8001916""]",
1074603,es,por qué usar videos para marketing y promociones,"[""7845422""]","[""7845422"", ""613301"", ""7544522"", ""7816587"", ""7388532"", ""7734910"", ""7659801"", ""7154100"", ""7826615"", ""7933299""]",
931783,es,¿Cuál es la diferencia entre la autoimagen y el autoconcepto?,"[""7830900""]","[""7830900"", ""7164081"", ""7871793"", ""7104622"", ""7761396"", ""7816587"", ""7594620"", ""7447985"", ""7909394"", ""7713592""]",
1096025,es,¿Cuánto paga el estado a las enfermeras en md?,"[""7541711""]","[""7541711"", ""6584729"", ""7195763"", ""7447492"", ""7959134"", ""7310747"", ""7195729"", ""363604"", ""7265204"", ""7587536""]",
1037612,es,cual es la longitud de un armadillo,"[""7205573""]","[""7205573"", ""7460416"", ""7236918"", ""7620832"", ""7578709"", ""223537"", ""7741773"", ""7096250"", ""7461876"", ""5264767""]",
1004565,es,¿Cuándo comienza el festival de comida y vino en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7813102"", ""7980047"", ""7889800"", ""7884647"", ""7828130"", ""7213638"", ""7257190"", ""7226856""]",
630172,es,¿Qué significa un anillo en el dedo medio?,"[""7469958""]","[""7469958"", ""703196"", ""7830330"", ""7473991"", ""7534457"", ""7827321"", ""7879009"", ""7212767"", ""7523816"", ""7441402""]",
650157,es,¿Qué dice la expresión eres un buen huevo?,"[""7453899""]","[""7453899"", ""7523816"", ""7235939"", ""1557854"", ""7662630"", ""7235946"", ""7657603"", ""7880398"", ""7521486"", ""7470282""]",
1031761,es,cual es la estructura de una cola de caballo,"[""7215190""]","[""7229117"", ""7436902"", ""7632606"", ""7275572"", ""7155236"", ""7215190"", ""7572182"", ""7467345"", ""8003834"", ""7741773""]",
339855,es,¿Qué tan pronto debe un empleado informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7877769"", ""7354468"", ""7399340"", ""7342116"", ""7640131"", ""3161368"", ""2911180"", ""7095246"", ""7373727""]",
1006724,es,¿Cuándo fue el día de la independencia de Tailandia?,"[""7252753""]","[""7252753"", ""7253793"", ""67027"", ""7802832"", ""7193783"", ""7116362"", ""7257327"", ""4110699"", ""3052765"", ""7904065""]",
411367,es,¿Google está bloqueado en China?,"[""7633642""]","[""7633642"", ""7418884"", ""7653402"", ""7841769"", ""7816587"", ""7479235"", ""7846219"", ""7436153"", ""7235939"", ""7869800""]",
839488,es,cuál es el plural de colinabos,"[""7866009""]","[""7866009"", ""7210894"", ""7217535"", ""7872590"", ""7839944"", ""1176630"", ""7944865"", ""7911253"", ""7376225"", ""7504731""]",
1087202,es,¿Cuáles son los síntomas de un nivel bajo de sangre?,"[""7103722""]","[""7273847"", ""5184014"", ""7449503"", ""7518992"", ""1541418"", ""7798067"", ""7520204"", ""507491"", ""7402905"", ""7657649""]",
1058513,es,para que se usa el dojo de clase,"[""7171329""]","[""7171329"", ""7743723"", ""7503056"", ""7555955"", ""3789036"", ""7640887"", ""7474106"", ""7180273"", ""7838103"", ""7869709""]",
1054949,es,que es amigos de la biblioteca,"[""7177052""]","[""7177052"", ""7794580"", ""7217535"", ""7799131"", ""7740330"", ""7705565"", ""7235946"", ""7919977"", ""7689281"", ""7668258""]",
190380,es,alimentos para mantener sanas las encías,"[""5092256""]","[""7490179"", ""7411168"", ""5092256"", ""7361261"", ""7379859"", ""2445156"", ""7942753"", ""7237870"", ""7386869"", ""7148584""]",
739554,es,cual es la diferencia entre comprender y captar,"[""7456010"", ""7044609""]","[""7376225"", ""7044609"", ""7456010"", ""7126790"", ""5253447"", ""7711895"", ""613787"", ""7816587"", ""7956784"", ""7257787""]",
1059812,es,cuya cara está en el dinero,"[""7290835""]","[""7290835"", ""7831820"", ""7841152"", ""7612722"", ""7485241"", ""7577926"", ""7196698"", ""7843298"", ""7769264"", ""7125772""]",
1071161,es,¿Qué es una estrategia larga en finanzas?,"[""7157744""]","[""7157744"", ""7601275"", ""7100389"", ""7205823"", ""7370345"", ""7823965"", ""4805879"", ""7193967"", ""7657978"", ""702694""]",
69065,es,¿Puedo obtener mis placas con un permiso de conducir?,"[""7392067""]","[""7097756"", ""7126829"", ""7392067"", ""7770548"", ""1558710"", ""7257114"", ""7538865"", ""7132332"", ""7982344"", ""7140416""]",
831034,es,¿Cuál es el significado de fruta cuando se refiere a cualquier planta con flores?,"[""2077415""]","[""7662692"", ""2077415"", ""7269212"", ""458748"", ""7101625"", ""7499186"", ""1557854"", ""7662630"", ""7217535"", ""7478005""]",
1002373,es,¿Dónde fue para tus ojos solo filmado?,"[""7747666""]","[""7747666"", ""7272184"", ""7095246"", ""6541514"", ""7651740"", ""7835634"", ""7912657"", ""2890756"", ""7267203"", ""7445896""]",
609707,es,¿En qué condado está Montello?,"[""7690114""]","[""7690114"", ""7661663"", ""2208454"", ""7817457"", ""7091358"", ""7120409"", ""7747129"", ""7268599"", ""7413654"", ""7241958""]",
393420,es,en la historia que es una esfera de influencia,"[""7689572""]","[""7783985"", ""7689572"", ""7676270"", ""7214220"", ""7708831"", ""7816587"", ""7485237"", ""7084529"", ""7392258"", ""7082559""]",
1084596,es,¿Qué necesitas para las etiquetas en el coche?,"[""7126829""]","[""7126829"", ""7176630"", ""1558710"", ""7878249"", ""7132332"", ""4773306"", ""7143645"", ""7550490"", ""7389973"", ""7658969""]",
1041656,es,¿Cuál es la definición de beca en ayuda financiera?,"[""7199394""]","[""7199394"", ""7142823"", ""7859593"", ""1982266"", ""7362818"", ""151534"", ""7166000"", ""7802155"", ""7085423"", ""7100572""]",
1097283,es,¿Cuántos días pasó el rey en la cárcel por protestar en Birmingham?,"[""7426908""]","[""7426908"", ""7856053"", ""7497729"", ""7972434"", ""7247726"", ""7751069"", ""7254379"", ""7895995"", ""7947373"", ""7742841""]",
166528,es,¿usa ftp la carpeta appdata?,"[""7373623""]","[""7373623"", ""7517040"", ""7167848"", ""7869800"", ""7261645"", ""240868"", ""7974044"", ""7074151"", ""7837132"", ""7261836""]",
988720,es,quien es el cantante original de chicago,"[""7287922""]","[""7287922"", ""7698164"", ""7642166"", ""7725656"", ""7874665"", ""7952481"", ""6666759"", ""7885991"", ""7882350"", ""7845737""]",
1093928,es,¿Es el iphone x resistente al agua o al agua?,"[""7711108""]","[""7711108"", ""7550534"", ""7388471"", ""7796400"", ""7091295"", ""7901437"", ""7229200"", ""7874562"", ""7095246"", ""319761""]",
735175,es,lo que es costo y flete en términos,"[""7522344""]","[""7522344"", ""159767"", ""7391655"", ""331380"", ""2086992"", ""7816587"", ""7739791"", ""221891"", ""7197956"", ""7973245""]",
289276,es,cuántos miligramos de ritalin debe tomar un adulto,"[""7559170""]","[""7559170"", ""7798574"", ""7591413"", ""7443875"", ""7771991"", ""7567998"", ""7445506"", ""8005631"", ""7735601"", ""7772677""]",
1092946,es,Beneficios de las velas de cera de abejas y aceite de coco.,"[""7791376""]","[""1733702"", ""7318261"", ""7791376"", ""7573434"", ""7521477"", ""7935146"", ""7816587"", ""7104769"", ""7573435"", ""7728203""]",
988779,es,quien es el líder de bahamas,"[""7287698""]","[""7287698"", ""7289144"", ""7190874"", ""7146494"", ""7795062"", ""7710609"", ""7526367"", ""7774001"", ""7251611"", ""7284090""]",
823310,es,cuál es la función general de la vitamina c,"[""4092416""]","[""4092416"", ""1374083"", ""7716397"", ""7768495"", ""7955062"", ""7076988"", ""4039657"", ""7751031"", ""7955063"", ""7584004""]",
657264,es,que terminó con la discriminación de género,"[""1727593""]","[""635313"", ""7665730"", ""7657954"", ""7245052"", ""7666669"", ""1727593"", ""3037266"", ""7588354"", ""7877769"", ""7766737""]",
209713,es,¿Qué tan grande será un chiweenie?,"[""7330021""]","[""7330021"", ""7594460"", ""7727953"", ""7601989"", ""7298577"", ""7205573"", ""7846964"", ""2850054"", ""7298578"", ""7741773""]",
1017537,es,qué hacer como guardia de seguridad cuando estás solo en un lugar,"[""7237531""]","[""7237531"", ""7095246"", ""7387480"", ""1090781"", ""7354478"", ""7376225"", ""7471665"", ""2209369"", ""7251481"", ""7748512""]",
1101486,es,diferencia entre la red y la conectividad del servidor,"[""7830658""]","[""7830658"", ""7973043"", ""7816587"", ""1563923"", ""7095246"", ""7520000"", ""7221893"", ""7921114"", ""7230286"", ""7705895""]",
1048297,es,costo del nivel de trastes y configuración,"[""7187801""]","[""7925513"", ""7187801"", ""7922855"", ""7700381"", ""2086992"", ""3982002"", ""7507682"", ""7199314"", ""7456999"", ""7920207""]",
383469,es,como entrenar a tu perro para que haga trucos youtube,"[""7522587""]","[""7522587"", ""7816587"", ""7341578"", ""7071717"", ""7095246"", ""7952808"", ""7235946"", ""7503056"", ""7826945"", ""7998238""]",
1022253,es,¿Qué tipo de variable manipula el investigador?,"[""7779110""]","[""896966"", ""7779110"", ""7297406"", ""7340503"", ""2459114"", ""7235939"", ""7659246"", ""7994378"", ""7498811"", ""7567653""]",
1010810,es,en que año salió kingpin,"[""7246941""]","[""7246941"", ""7824465"", ""7944889"", ""7879859"", ""7897425"", ""7725783"", ""7826444"", ""7260903"", ""7662238"", ""7260471""]",
994071,es,¿Qué caso legal obligó a la universidad de Maryland a admitir a un estudiante afroamericano en su facultad de derecho?,"[""7275935""]","[""7275935"", ""7245052"", ""2378839"", ""7098390"", ""7895995"", ""7098048"", ""7604472"", ""7187955"", ""7246746"", ""7729533""]",
1041454,es,¿Cuál es la definición de captura de pantalla?,"[""7199649""]","[""7506157"", ""7199649"", ""7901711"", ""4902384"", ""4883777"", ""7588579"", ""7881518"", ""7989914"", ""7969478"", ""7919955""]",
1003000,es,cuando se construyó el campo grenier en nh,"[""7258738""]","[""7258738"", ""7900732"", ""7155896"", ""7698327"", ""7242802"", ""7439881"", ""7749434"", ""7776424"", ""7900193"", ""7708831""]",
1097736,es,cuánto tiempo para obtener el reembolso de idaho después de su procesamiento,"[""7391855""]","[""7391855"", ""7354468"", ""7318237"", ""4005338"", ""7465867"", ""7901388"", ""2970800"", ""7575164"", ""2206887"", ""2378778""]",
814021,es,¿Cuál es el número de servicio al cliente de Amazon?,"[""148297"", ""1787021""]","[""148297"", ""4790280"", ""1787021"", ""7275747"", ""7078615"", ""7663012"", ""7190528"", ""7458356"", ""7674518"", ""7331293""]",
382452,es,cómo enseñar a mis hijos a organizar su habitación,"[""7503201""]","[""7503201"", ""7251481"", ""7341578"", ""7147226"", ""7538425"", ""7797742"", ""7480734"", ""7095246"", ""7481700"", ""7217353""]",
1101968,es,¿Por qué debería beber una taza de agua por cada taza de café?,"[""7410755""]","[""7410755"", ""737886"", ""7325550"", ""7796400"", ""7959387"", ""7461178"", ""7396071"", ""77985"", ""7420079"", ""7741307""]",
1096006,es,cuánto gana uber al año,"[""7543662""]","[""7543662"", ""324034"", ""7619863"", ""7195490"", ""7916200"", ""7904969"", ""7807867"", ""7300879"", ""7219870"", ""6569263""]",
380145,es,cómo mostrar el código fuente para una vista de Oracle,"[""7701732""]","[""7701732"", ""7147226"", ""7099448"", ""7667311"", ""7741588"", ""7072264"", ""7974044"", ""7816587"", ""7984546"", ""7092822""]",
1043615,es,cual es la estrella mas brillante?,"[""7196980""]","[""7935393"", ""7935390"", ""7196980"", ""4487969"", ""4984619"", ""7451286"", ""7802322"", ""7567652"", ""7095246"", ""7115248""]",
234932,es,cómo los jubilados felices pasan su tiempo,"[""7077191"", ""7077188""]","[""7077191"", ""7077188"", ""7508806"", ""7975382"", ""7256779"", ""7235946"", ""7991881"", ""7309920"", ""7235939"", ""1982266""]",
887599,es,qué pokemon puedes atrapar en pokemon esmeralda,"[""7945986""]","[""7945986"", ""7509610"", ""7357948"", ""7657551"", ""2402791"", ""7924808"", ""7205573"", ""7230083"", ""7747906"", ""7893280""]",
851380,es,¿Cuál es el error más pequeño?,"[""75420""]","[""7627419"", ""7238394"", ""7351573"", ""7101499"", ""7829073"", ""7095246"", ""7471105"", ""7147226"", ""7099807"", ""7916430""]",
841973,es,cuál es el propósito de un sensor de detonación,"[""4757522""]","[""4757522"", ""7128834"", ""7322363"", ""7644466"", ""7526973"", ""7614525"", ""7508761"", ""7734653"", ""7217000"", ""7358221""]",
1025268,es,¿Qué mansión se usó en el engañado?,"[""7225891""]","[""7225891"", ""7535581"", ""7620046"", ""7774001"", ""7912657"", ""7235939"", ""7870634"", ""7806882"", ""7095246"", ""7260450""]",
1047012,es,quien interpretó a miss kitty en la humo de una pistola,"[""4783316""]","[""4783316"", ""7239729"", ""7302021"", ""7239171"", ""7906424"", ""7966632"", ""7285853"", ""7355808"", ""7872329"", ""7284764""]",
119952,es,definir de minimis en la ley,"[""2001175""]","[""2001175"", ""7480931"", ""7654334"", ""1491391"", ""6057028"", ""7190500"", ""7172169"", ""7290198"", ""7238642"", ""7101499""]",
1017959,es,qué presidente pasó la mayor parte del tiempo fuera de la casa blanca,"[""7729353""]","[""7729353"", ""7293681"", ""7813911"", ""7593959"", ""7804887"", ""7615598"", ""7292040"", ""3700241"", ""7293940"", ""7986039""]",
894050,es,¿Cuál debería ser el nivel de oxígeno en su sangre?,"[""7949214""]","[""7949214"", ""7682293"", ""7976667"", ""7767446"", ""299330"", ""7273847"", ""7300204"", ""7960384"", ""7528795"", ""317550""]",
1093885,es,¿Se considera que el fin de semana es un día hábil?,"[""7713298""]","[""7815047"", ""3347477"", ""7492838"", ""7809074"", ""7083275"", ""7354468"", ""7716646"", ""2936682"", ""1248180"", ""7672037""]",
1016676,es,¿Qué ciudad de Kansas es el hogar de Boot Hill?,"[""7238811""]","[""7238811"", ""7120409"", ""7553316"", ""7118860"", ""7914744"", ""7930799"", ""182986"", ""7842038"", ""7208912"", ""7638313""]",
1038180,es,¿Cuál es la importancia de la escucha activa en la comunicación?,"[""7204691""]","[""7204691"", ""7809228"", ""7154100"", ""7370295"", ""7136645"", ""7640014"", ""7328038"", ""7686626"", ""7871793"", ""1688293""]",
746438,es,¿Qué es el ayuno antes del análisis de sangre?,"[""7614909""]","[""443957"", ""7614909"", ""7415638"", ""7431452"", ""443952"", ""7157629"", ""2179325"", ""6055"", ""2437027"", ""7741307""]",
817193,es,¿Cuál es la diferencia entre coaching y mentoring?,"[""7972891"", ""7972893""]","[""7972891"", ""7972893"", ""7405394"", ""7816587"", ""7289759"", ""7871793"", ""7211278"", ""7626519"", ""7927101"", ""7702367""]",
431739,es,¿Yale es una universidad privada?,"[""2452077""]","[""2452077"", ""7888550"", ""3368477"", ""7188652"", ""7264873"", ""7822380"", ""7071774"", ""7571616"", ""7289333"", ""7269399""]",
695968,es,que es un tejido vegetal primario,"[""6182047""]","[""5976199"", ""7273647"", ""7203363"", ""3230991"", ""7970697"", ""7467345"", ""7295767"", ""7779044"", ""7478412"", ""1765448""]",
815243,es,cuál es la definición de mi monólogo,"[""2392352""]","[""2392352"", ""7785547"", ""1058894"", ""7581165"", ""7409913"", ""7101499"", ""7247711"", ""7551078"", ""7688725"", ""7282417""]",
299911,es,¿Cuántas semanas de licencia tiene que ofrecer un empleador por licencia de maternidad?,"[""4101557""]","[""4101557"", ""7928070"", ""7326330"", ""7069832"", ""499891"", ""7354468"", ""7460955"", ""1472054"", ""7538938"", ""1248180""]",
1002148,es,¿Cuándo comenzará Foxconn a fabricar?,"[""7260887""]","[""7260887"", ""7247235"", ""7709097"", ""7968067"", ""7877718"", ""7665546"", ""7095246"", ""7631710"", ""7078615"", ""7822258""]",
997676,es,¿Dónde está el mejor lugar para una planta de dinero?,"[""7269623""]","[""7269623"", ""7095246"", ""7561502"", ""7088695"", ""7659801"", ""7270789"", ""7265204"", ""7396044"", ""7831820"", ""7870900""]",
1077536,es,¿Podré conseguir un trabajo después de la universidad?,"[""7868715""]","[""7868715"", ""8009106"", ""7997696"", ""7645101"", ""7816587"", ""1573856"", ""7860885"", ""7329577"", ""7685760"", ""7569637""]",
457950,es,usuarios más famosos de mermelada de animales,"[""7516170""]","[""7516170"", ""7138192"", ""7247338"", ""7114418"", ""7774695"", ""7636844"", ""7095246"", ""7231956"", ""7451471"", ""7265204""]",
