query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7502195"", ""1335588"", ""7272695"", ""7492132"", ""7933971"", ""7672368"", ""7555272"", ""7985667"", ""1468748""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7028429"", ""1878861"", ""7085238"", ""7292184"", ""7761431"", ""7105678"", ""7495093"", ""7619153"", ""7102315""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""1033337"", ""7670160"", ""7959219"", ""7112464"", ""7679596"", ""7089741"", ""5764941"", ""7795418"", ""7508730"", ""7310262""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""7704366"", ""4191529"", ""7146364"", ""7133583"", ""450961"", ""7581583"", ""7375334"", ""7308077"", ""7156474""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""5584747"", ""5099300"", ""764872"", ""588235"", ""7668684"", ""7325703"", ""7966805"", ""7966808"", ""7512430"", ""8008902""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""270380"", ""7355250"", ""7636646"", ""7490735"", ""7824464"", ""7289730"", ""7209022"", ""1757350"", ""7623844"", ""7932656""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""7619857"", ""1455862"", ""991142"", ""7211302"", ""7284311"", ""7847593"", ""7144521""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""7082559"", ""7466996"", ""7943543"", ""8003099"", ""7626411"", ""7435832"", ""7624224"", ""7626410""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""3349239"", ""7080008"", ""7158898"", ""7206592"", ""7143675"", ""7777896"", ""7977659"", ""7402796"", ""4671299""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7764195"", ""7290260"", ""7880839"", ""7124323"", ""7125360"", ""7685704"", ""7121598"", ""7085516""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7026760"", ""7717805"", ""7125495"", ""7659801"", ""7764675"", ""7333096"", ""7534867"", ""7178887"", ""7111959""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""2038018"", ""7358221"", ""7154106"", ""7861394"", ""7691361"", ""7985667"", ""7274366"", ""7928696"", ""7657465""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433925"", ""7905618"", ""7433792"", ""7992043"", ""7255867"", ""7210214"", ""2263573"", ""7862471"", ""7583899"", ""7783998""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7236525"", ""7601337"", ""7095708"", ""7121801"", ""7853910"", ""256757"", ""7083239"", ""7236909"", ""166256""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7974596"", ""7311939"", ""7700487"", ""7187607"", ""609254"", ""3654352"", ""7493757"", ""7312387"", ""7076146""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7171569"", ""7170449"", ""1699500"", ""7649080"", ""7715036"", ""7736585"", ""7421911"", ""7573780"", ""7857342""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7389537"", ""7081759"", ""7829864"", ""7742103"", ""7843451"", ""7214220"", ""7598385"", ""7541190"", ""7676511"", ""3429513""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""480677"", ""7132199"", ""7493514"", ""1903885"", ""7442428"", ""5006012"", ""7537844"", ""7894150""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7510610"", ""7105534"", ""7196833"", ""7561900"", ""7695522"", ""157069"", ""7490121"", ""7623591"", ""7653673""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7394645"", ""7598745"", ""7395889"", ""7996617"", ""7890657"", ""7585034"", ""7098122"", ""7598017"", ""7621353"", ""7616620""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7956784"", ""7466996"", ""7217405"", ""7394614"", ""7082559"", ""7796544"", ""7333820"", ""7417368""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7106774"", ""7167740"", ""5898158"", ""7900321"", ""7358369"", ""7996617"", ""7723393"", ""7790637"", ""2320067""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7574541"", ""7895995"", ""7869733"", ""7461249"", ""7335515"", ""7718324"", ""2796936"", ""7150336"", ""7252662""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""6720313"", ""7073976"", ""7325989"", ""7776376"", ""7440310"", ""77985"", ""2336191"", ""2173490"", ""7229678"", ""1987259""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7567998"", ""1460244"", ""7485559"", ""2801308"", ""3545260"", ""7568006"", ""7367996""]",
